ref,cote,titre,contenu,analyse_diplomatique,date
00059,0051/GCR,FAX ARRIVEE MARS 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) MARS 2010 PASSAGE GED   : DOCUCOUR,
00060,0052/GCR,FAX ARRIVEE AVRIL 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) AVRIL 2010 PASSAGE GED   : DOCUCOUR,
00061,0053/GCR,FAX ARRIVEE MAI 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) MAI 2010 PASSAGE GED   : DOCUCOUR,
00062,0054/GCR,FAX ARRIVEE JUIN 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) JUIN 2010 PASSAGE GED   : DOCUCOUR,
00063,0055/GCR,FAX ARRIVEE JUILLET 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) JUILLET 2010 PASSAGE GED   : DOCUCOUR,
00064,0056/GCR,FAX ARRIVEE AOUT 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) AOUT 2010 PASSAGE GED   : DOCUCOUR,
00065,0057/GCR,FAX ARRIVEE SEPTEMBRE 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) SEPTEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00066,0058/GCR,FAX DEPART OCTOBRE 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) OCTOBRE 2010 PASSAGE GED   : DOCUCOUR,
00067,0059/GCR,FAX DEPART NOVEMBRE 2010,"SONABHY, FAX DEPART",(CORRESPONDANCE) NOVEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00068,0060/GCR,FAX ARRIVEE DECEMBRE 2010,"SONABHY, FAX ARRIVEE",(CORRESPONDANCE) DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00069,0061/GCR,NOTES DE SERVICE JANVIER-JUILLET 2010,"DIRECTION GENERALE, NOTE DE SERVICE",(CORRESPONDANCE) JANVIER-JUILLET 2010 PASSAGE GED   : DOCUCOUR,
00070,0062/GCR,NOTE DE SERVICE AOUT-DECEMBRE 2010,"DIRECTION GENERALE, NOTE DE SERVICE",(CORRESPONDANCE) AOUT-DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00071,0063/GCR,DECISIONS JANVIER-DECEMBRE 2010,"SONABHY, DECISION",(CORRESPONDANCE) JANVIER-DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00072,0064/GCR,COMPTES RENDUS DE REUNION DE DIRECTION JANVIER-DECEMBRE 2010,"SONABHY, COMPTE RENDU",(CORRESPONDANCE) JANVIER-DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00073,0065/GCR,DELIBERATIONS DES CONSEILS D'AMINISTRATION DE 2010-2019,"SONABHY, DELIBERATION",(CORRESPONDANCE) 2010-2019 PASSAGE GED   : DOCESSEN,
00074,0066/GCR,PROCES VERBAUX JANVIER-DECEMBRE 2010-2011,"SONABHY, PROCES VERBAL",(CORRESPONDANCE) JANVIER-DECEMBRE 2010-2011 PASSAGE GED   : DOCUCOUR,
00075,0067/GCR,ATTESTATIONS JANVIER-DECEMBRE 2010,"SONABHY, ATTESTATION",(ATTESTATION) JANVIER-DECEMBRE 2010 PASSAGE GED   : DOCUCOUR,
00076,0068/GCR,CERTIFICATS JANVIER-DECEMBRE 2010,"SONABHY, CERTIFICAT",(CERTIFICAT) JANVIER-DECEMBRE 2010 2010 PASSAGE GED   : DOCUCOUR,
00077,0514/CJ,CONTRAT DE TRAVAIL A DUREE DETERMINEE N°11/1919 DU 25 AOUT 2011 : SONABHY ET SAWADOGO ISSOUFOU,"TRAVAIL, CONTRAT A DUREE DETERMINEE, SONABHY, SAWADOGO ISSOUFOU",(CONTRAT) DATE;: 25 AOUT 2011 PASSAGE GED   : DOCESSEN,
00078,0515/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE LIVRAISON DE 7700 TM D'ESSENCE N°13/146 DU 24 DECEMBRE 2013 + CONTRAT DE VENTE N°11/066 DU 22 AOUT 2011 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/021 DU 09 MARS 2012 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/018 DU 05 MARS 2012 + LIVRAISON DE 10 000 TM DE SUPER 91 CIF N°12/0056 DU 11 MAI 2012 + CONTRAT DE LIVRAISON DE PRODUITS PETROLIERS N°13/114 DU 19 SEPTEMBRE 2013 + CONTRAT DE LIVRAISON DE JET A1 N°13/147 DU 24 DECEMBRE 2013 + CONTRAT DE LIVRAISON DE JET A1 N°13/148 DU 24 DECEMBRE 2013 : SONABHY ET MERCURIA TRADING,"VENTE, PRODUIT PETROLIER, LIVRAISON, SONABHY, MERCURIA TRADING",(CONTRAT) 201120122013 PASSAGE GED   : DOCESSEN,
00079,0516/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS N°11/058 DU 29 JUIN 2011 : SONABHY ET ADDAX ENERGY,"VENTE, PRODUIT PETROLIER, SONABHY, ADDAX ENERGY",(CONTRAT) DATE;: 29 JUIN 2011 PASSAGE GED   : DOCESSEN,
00080,0517/CJ,CONTRAT DE TRANSPORT N°11/0064 DU 02 AOUT 2011 : SONABHY ET SOCIETE FASO LAWULI,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE FASO LAWULI",(CONTRAT) DATE;: 02 AOUT 2011 PASSAGE GED   : DOCESSEN,
00081,0518/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/0065 DU 02 AOUT 2011 : SONABHY ET ENTREPRISE OUEDRAOGO ALY,"TRANSPORT, PRODUIT PETROLIER, SONABHY, ENTREPRISE OUEDRAOGO ALY",(CONTRAT) DATE;: 02 AOUT  2011 PASSAGE GED   : DOCESSEN,
00082,0519/CJ,CONTRAT D'ENTRETIEN N°2011/001/ASC DU 14 JUILLET 2011 : SONABHY ET CFAO TECHNOLOGIES,"ENTRETIEN, ASCENSEUR, SONABHY, CFAO TECHNOLOGIES",(CONTRAT) DATE;: 14 JUILLET 2011 PASSAGE GED   : DOCESSEN,
00083,0520/CJ,CONTRAT D'ENTRETIEN DES CLIMATISEURS N°2011/001/CLIM DU 14 JUILLET 2011 : SONABHY ET CFAO TECHNOLOGIES,"ENTRETIEN, CLIMATISEUR, SONABHY, CFAO TECHNOLOGIES",(CONTRAT) DATE;: 14 JUILLET 2011 PASSAGE GED   : DOCESSEN,
00084,0083/CA,CONSEIL D'ADMINISTRATION DE LA SONABHY : JEUDI 21 JANVIER 2010,"BUDGET, CONSEIL D'ADMINISTRATION, ACTIVITE, SONABHY","(CORRESPONDANCE, RAPPORT, PROCES VERBAL) DATE;: 21 JANVIER 2010",
00085,0084/CA,CONSEIL D'ADMINISTRATION DE LA SONABHY : MARDI 27 AVRIL 2010,"COMPTE, CONSEIL D'ADMINISTRATION, SONABHY, FINANCE, ASSEMBLEE GENERALE","(CORRESPONDANCE, RAPPORT, ETAT, PROCES VERBAL) DATE;: 27 AVRIL 2010",
00086,0085/CA,CONSEIL D'ADMINISTRATION EXTRAORDINAIRE  DE LA SONABHY : VENDREDI 12 NOVEMBRE 2010,"CONSEIL D'ADMINISTRATION, SONABHY","(CORRESPONDANCE, STATUT, PROCES VERBAL) DATE;: 12 NOVEMBRE 2010",
00087,0086/CA,CONSEIL D'ADMINISTRATION DE LA SONABHY : MARDI 28 DECEMBRE 2010,"CONSEIL D'ADMINISTRATION, SONABHY","(CORRESPONDANCE, RAPPORT) DATE;: 28 DECEMBRE  2010",
00088,0002/GSI,MATERIELS INFORMATIQUES DE LA SONABHY : AFFECTATION,"MATERIEL INFORMATIQUE, AFFECTATION",(FICHE) OBSERVATIONS  : 1 PIECE,2010
00089,0003/GSI,"PRESTATIONS EXTERNES EN INFORMATIQUE : BORDEREAUX DE LIVRAISON, DEVIS, FICHE DE TRAVAIL 2010","PRESTATION INFORMATIQUE, MAINTENANCE, INSTALLATION, INFORMATIQUE","(BORDEREAU, FICHE, RAPPORT) OBSERVATIONS  : 9 PIECES",2010
00090,0006/GDE,DOSSIER SPECIFIQUE : GESTION FINANCIERE DE L'AS-SONABHY : JANVIER-JUIN 2010,"AS SONABHY, CLUB SPORTIF, FINANCE",(PIECE COMPTABLE) JANVIER-JUIN 2010,
00091,0007/GDE,DOSSIER SPECIFIQUE : GESTION FINANCIERE DE L'AS-SONABHY : JUILLET A DECEMBRE 2010,"AS SONABHY, CLUB SPORTIF, FINANCE",(PIECE COMPTABLE) JUILLET-DECEMBRE 2010,
00092,0521/CJ,"CONVENTION SUBSIDIAIRE PORTANT RETROCESSION SOUS FORME DE PRET DU CREDIT BID D16. i/ACPBF.TXT DU 24 NOVEMBRE 1994 : SONABHY, MEF ET BID","CONVENTION, CREDIT, BID, MINISTERE DE L'ECONOMIE ET DES FINANCES, SONABHY, RETROCESSION",(CONTRAT) DATE;: 03 FEVRIER 1997 OBSERVATIONS  : 1 PIECE PASSAGE GED   : DOCESSEN,
00093,0522/CJ,CONTRAT DE VENTE DE FUEL OIL CAF LOME DU 22 DECEMBRE 2010 : SONABHY ET TRAFIGURA,"VENTE, FUEL OIL, SONABHY, TRAFIGURA",(CONTRAT) DATE;: 22 DECEMBRE 2010 OBSERVATIONS  : 1 PIECE PASSAGE GED   : DOCESSEN,
00094,0523/CJ,CONTRAT DE TRAVAIL  A DUREE DETERMINEE N°10/150 DU 27 JANVIER 2010 + CONTRAT N° 14/1765 DU 18 JUIN 2014 + CONTRAT N°15/3639 DU 19 OCTOBRE 2015 : SONABHY ET NIKIEMA KOUDBI,"TRAVAIL, MANUTENTION, SONABHY, NIKIEMA KOUDBI","(CONTRAT) 2010, 2014-2015 OBSERVATIONS  : 3 PIECES PASSAGE GED   : DOCESSEN",
00095,0524/CJ,CONVENTION DE STAGE N°10/45  DU 08 JANVIER 2010  : SONABHY ET ZERBO CHRISTINE,"STAGE, CONVENTION, SONABHY, ARCHIVES, ZERBO CHRISTINE",(CONTRAT) DATE;: 08 JANVIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00096,0525/CJ,CONVENTION DE STAGE N°10/124  DU 26 JANVIER 2010 : SONABHY ET BENON MARCELLIN,"STAGE, CONVENTION, SONABHY, INFORMATIQUE, BENON MARCELLIN",(CONTRAT) DATE;: 26 JANVIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00097,0526/CJ,CONVENTION DE STAGE N°10/157  DU 27 JANVIER 2010 : SONABHY ET ZOUNGRANA W ASMAOU,"STAGE, CONVENTION, SONABHY, COMPTABILITE, ZOUNGRANA W ASMAOU",(CONTRAT) DATE;: 27 JANVIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00098,0527/CJ,CONVENTION DE STAGE N°10/201  DU 03 FEVRIER 2011  : SONABHY ET NITIEMA SVITLANA,"STAGE, CONVENTION, SONABHY, LABORATOIRE, NITIEMA SVITLANA",(CONTRAT) DATE;: 03 FEVRIER 2011 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00099,0528/CJ,CONVENTION DE STAGE N°10/218 DU 04 FEVRIER 2010  : SONABHY ET BOLY HAFISSATOU,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, BOLY HAFISSATOU",(CONTRAT) DATE;: 04 FEVRIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00100,0529/CJ,CONVENTION DE STAGE N°10/224  DU 08 FEVRIER 2010  : SONABHY ET KABRE T IDA REINE,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, KABRE T IDA REINE",(CONTRAT) DATE;: 08 FEVRIER 2011 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00101,0530/CJ,CONVENTION DE STAGE N°10/225  DU 08 FEVRIER 2010 : SONABHY ET  ILBOUDO NATHALIE TENIN,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, ILBOUDO NATHALIE TENIN",(CONTRAT) DATE;: 08 FEVRIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00102,0531/CJ,CONVENTION DE STAGE N°10/228  DU 08 FEVRIER 2010  : SONABHY ET TRAORE MAMADOU,"STAGE, CONVENTION, SONABHY, MECANIQUE GENERALE, ELECTROTECHNIQUE, TRAORE MAMADOU",(CONTRAT) DATE;: 08 FEVRIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00103,0532/CJ,CONVENTION DE STAGE N°10/229  DU 08 FEVRIER 2010 : SONABHY ET GOUEM SOULEYMANE,"STAGE, CONVENTION, SONABHY, COMPTABILITE, GOUEM SOULEYMANE",(CONTRAT) DATE;: 08 FEVRIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00104,0533/CJ,CONVENTION DE STAGE N°10/232  DU 09 FEVRIER 2010 : SONABHY ET SAWADOGO WENDYIIDA AMADOU,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, SAWADOGO WENDYIIDA AMADOU",(CONTRAT) DATE;: 09 FEVRIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00105,0534/CJ,CONVENTION DE STAGE N°10/245 DU 12 FEVRIER 2010 : SONABHY ET KABORE B ANTOINE DE PADOU,"STAGE, CONVENTION, SONABHY, GESTION COMMERCIALE, KABORE B ANTOINE DE PADOU",(CONTRAT) DATE;: 12  FEVRIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00106,0535/CJ,CONVENTION DE STAGE N°10/257  DU 15 FEVRIER 2010 : SONABHY ET OUEDRAOGO TIPOKO ODETTE,"STAGE, CONVENTION, SONABHY, COMPTABILITE, OUEDRAOGO TIPOKO ODETTE",(CONTRAT) DATE;: 15  FEVRIER 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00107,0536/CJ,CONVENTION DE STAGE N°10/337  DU 03 MARS 2010 : SONABHY ET DIALLO IBRAHIM,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, DIALLO IBRAHIM",(CONTRAT) DATE;: 03 MARS 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00108,0537/CJ,CONVENTION DE STAGE N°10/338  DU 03 MARS 2010 : SONABHY ET PARE MASSITA DJENE B,"STAGE, CONVENTION, SONABHY, COMMERCE, PARE MASSITA DJENE B",(CONTRAT) DATE;: 03 MARS 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00109,0538/CJ,CONVENTION DE STAGE N°10/383  DU 17 MARS 2010 : SONABHY ET NANA BRUNO,"STAGE, CONVENTION, SONABHY, RESSOURCE HUMAINE, DROIT, NANA BRUNO",(CONTRAT) DATE;: 17 MARS 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
00110,0539/CJ,CONVENTION DE STAGE N°10/442  DU 29 MARS 2010 : SONABHY ET BAMBARA COMBASSERE CARINE NADEGE,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, BAMBARA COMBASSERE CARINE NADEGE",(CONTRAT) DATE;: 29 MARS 2010 OBSERVATIONS  : 1 PIECE / DOSSIER PHYSIQUE TRANSFERE A LA DRH (BASE DADFI3) PASSAGE GED   : DOCESSEN,
