Code,TITRE,CONTENU,ANA. DIPLOM,DATE
0014/CJ,"ACTES JUDICIAIRES : BURKINA ET SHELL, ONBAH, FASO YAAR, GARAGE KADDY, LNBTP, BICIA, TOTAL, MOBIL OIL BURKINA, ELF OIL BURKINA, DG PIMC, FONCIAS, CMC IMPRESIT, ITALGAZ, BP BURKINA, TORNO","BURKINA ET SHELL, ONBAH, FASO YAAR, GARAGE KADDY, LNBTP, BICIA, TOTAL, MOBIL OIL BURKINA, ELF OIL BURKINA, PIMC, FONCIAS, CMC IMPRESIT, ITALGAZ, BP BURKINA, TORNO, ACTE JUDICIAIRE.","(CORRESPONDANCE, FACTURE, CONTRAT, DELIBERATION)",1995-2000.
0015/CJ,"ACTES JUDICIAIRES : SONABHY ET TAGUI : ASSIGNATION, REDRESSEMENT JUDICIAIRE, DELIBERATION, REGLEMENT, CONCLUSION","SONABHY, TAGUI, ACTE JUDICIAIRE.","(COMMUNIQUE, CORRESPONDANCE)",1994-1997. 2001-2004.
0016/CJ,ETUDE JURIDIQUE : PROJET DE TRANSPORT D'HYDROCARBURE SBTH AVEC SONABHY ET GESTAFRIQUE ; COMITE DE LUTTE,,,
0017/CJ,ETUDE JURIDIQUE : PROJET DE REFORME DU SECTEUR DE L'ENERGIE AU BURKINA FASO,"ENERGIE, BURKINA FASO, REFORME.","(RAPPORT, COURRIER, COMPTE RENDU, COMMENTAIRE)",1996. 1999. 2001-2003.
0018/CJ,ETUDE JURIDIQUE : AUDIT COMPTABLE ET FINANCIER 2002-2003 ; AUDIT FISCAL 2003 ; REFONTE PLAN COMPTABLE SONABHY 1998,"AUDIT, COMPTABILITE, FINANCES, FISCALITE, PLAN COMPTABLE, SYSCOA.","(RAPPORT, CORRESPONDANCE, OFFRE TECHNIQUE)",1998. 2002-2003.
0019/CJ,ETUDE JURIDIQUE ET AUDIT DE L'ORGANISATION ET DES SYSTEMES DE GESTION DES RESSOURCES HUMAINES,"AUDIT, GESTION, RESSOURCE HUMAINE.",(RAPPORT),2004.
0020/CJ,ETUDE JURIDIQUE : ETUDE DIAGNOSTIQUE DU SOUS SECTEUR DES HYDROCARBURES PAR ICEA,"CONSEIL JURIDIQUE, HYDROCARBURE, ICEA.","(RAPPORT, COMMENTAIRE, CORRESPONDANCE)",2003-2005.
0021/CJ,OHADA : ORGANISATION POUR L'HARMONISATION EN AFRIQUE DU DROIT DES AFFAIRES,"OHADA, DROIT DES AFFAIRES, AFRIQUE.",(DOCUMENTATION),1997.
0022/CJ,"ETUDE JURIDIQUE : DOUANE 1995 ; SOCIAL 1994, 1996-1997","DOUANE, TRANSIT, INDEMNITE, VOL, SALAIRE, ASTREINTE.","(STATUT, CORRESPONDANCE, ARRETE)",1994-1997.
0023/CJ,RENCONTRE ET REUNION : UNION JURIDIQUE 1998 ; ETHIQUE D'ENTREPRISE ET BONNE GOUVERNANCE 2004,"SEMINAIRE, ATELIER, UNION JURIDIQUE, BONNE GOUVERNANCE, ETHIQUE D'ENTREPRISE.","(NOTE, PROGRAMME, DOCUMENTATION)",1998. 2004.
0024/CJ,ACTES JURIDIQUES : SONABHY ET IMA TILADO DIT BOUKARE,"ACTE JURIDIQUE, SONABHY, IMA TILADO DIT BOUKARE, TRANSPORT, HYDROCARBURE.",(PROCES VERBAL),2006.
0025/CJ,ACTE JURIDIQUE : SONABHY ET FADOUL TECHNIBOIS,"ACTE JURIDIQUE, SONABHY, FADOUL TECHNIBOIS, PRODUIT PETROLIER.",(CORRESPONDANCE),2007-2009.
0026/CJ,AVIS JURIDIQUE DE MAITRE INOUSSA ZONGO AFFAIRE SONABHY ET ADDAX,"ACTE JURIDIQUE, SONABHY, ADDAX, PRODUIT PETROLIER.","(CORRESPONDANCE, CONTRAT)",2008-2009.
0027/CJ,BAREME INDICATIF HONORAIRES D'AVOCAT,"AVOCAT, HONORAIRE, LEGISLATION.",(BAREME),2003.
0028/CJ,PROJET DE CONTRAT SONABHY ET SONABEL ; AVENANT N°2 A LA POLICE D'ABONNEMENT POUR LA FOURNITURE D'ENERGIE ELECTRIQUE DU 28 NOVEMBRE 2000,"SONABHY, SONABEL, PRODUIT PETROLIER, ENERGIE ELECTRIQUE, AVENANT, ABONNEMENT.",(CONTRAT),"28. NOVEMBRE, 2000."
0029/CJ,POURSUITE JUDICIAIRE CONTRE DIALLO MALIK ET SAWADOGO ADAMA EN 2006,"ACTE JURIDIQUE, DIALLO MALIK, SAWADOGO ADAMA,",,
0030/CJ,JURIDICTION ET CONTENTIEUX : CONVENTION DE CREDIT REVOLVING EN GAZ DE 1998 + AVENANT N°2 DU 01 AVRIL 1998 + CONVENTION DE PREFINANCEMENT DU 13 MARS 2001 + CONVENTION DE CREDIT REVOLVING DU 06 MARS 2002 + CONVENTION DE PREFINANCEMENT DES SUBVENTIONS GAZ DU 23 JANVIER 2003 + FOURNITURE DE DDO A HAGE INDUSTRIES DU 20 JUIN 2008 : STD SODIGAZ ET SONABHY,"CREDIT REVOLVING, PREFINANCEMENT, SUBVENTION, DDO, FOURNITURE, GAZ BUTANE, STD SODIGAZ APC, SONABHY.",(CONVENTION),1998. 2001. 2002. 2003. 2008.
0031/CJ,JURIDICTION ET CONTENTIEUX : CONVENTION PORTANT DEPART NEGOCIE DE SABA DOMBO AMBROISE DISPATCHER A LA SONABHY,"DEPART NEGOCIE, RETRAITE, SABA DOMBO AMBROISE, SONABHY.",(CONVENTION),2004.
0032/CJ,ACCORD DE PRET ENTRE BRIC ET SONABHY POUR LE FINANCEMENT DES IMPORTATIONS DE PRODUITS PETROLIERS,"PRET, BRIC, FINANCEMENT, PRODUIT PETROLIER, SONABHY.",(ACCORD DE PRET),2006.
0033/CJ,,,,
0034/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS PETROLIERS 2008 + CONTRAT DE VENTE DU 14 MARS 2008 + CONTRAT DE VENTE DU 29 SEPTEMBRE 2008+ CONTRAT DE VENTE DU 07 OCTOBRE 2008 + CONTRAT DE VENTE DU 22 JANVIER 2009 + CONTRAT DE VENTE DU 03 JUIN 2011+ CONTRAT DE VENTE DE PRODUITS PETROLIERS 2009 + CONTRAT DE VENTE DU 22 JANVIER 2009 + CONTRAT DE VENTE N°14/071 DU 28 AOUT 2014 + AVENANT N°14/0135 DU 28/08/2014 : OCTOGONE TRADING OIL (OTO) ET SONABHY,"VENTE, PRODUIT PETROLIER, OCTOGONE TRADING OIL, SONABHY.",(CONTRAT),"12. DECEMBRE, 2008-2014."
0035/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0274 DU 09 JUILLET 2020 : SONABHY ET SAVADOGO ZAKARIA,"TRANSPORT, PRODUIT PETROLIER, SAVADOGO ZAKARIA, SONABHY.",(CONTRAT),03. 2020.
0036/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0273 DU 09 JUILLET 2020 : SONABHY ET NAWAL TRANSPORT,"TRANSPORT, PRODUIT PETROLIER, NAWAL TRANSPORT, SONABHY.",(CONTRAT),2009.
0037/CJ,CONTRAT DE PASSAGE DE PRODUITS PETROLIERS ENTRE TOTAL MALI ET SONABHY 2009,"PRODUIT PETROLIER, PASSAGE, TOTAL MALI, SONABHY.",(CONTRAT),2009.
0038/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS ENTRE TRAFIGURA ET SONABHY 2009,"VENTE, PRODUIT PETROLIER, TRAFIGURA, SONABHY, FUEL OIL.",(CONTRAT),"FEVRIER, 2009."
0039/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE SUPERVISION DU 13 MAI 2009 : SONABHY ET SGS BENIN,"SUPERVISION, PRODUIT PETROLIER, SGS BENIN, SONABHY, STOCKAGE.",(CONTRAT),2009.
0040/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE CESSION DE PRODUITS PETROLIERS DU 10 OCTOBRE 2008 + CONTRAT DE PASSAGE DE PRODUITS PETROLIERS 2009 + CONTRAT DE CESSION DE PRODUITS PETROLIERS 2009 + CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS 2009 + PROTOCOLE D'ACCORD N° 11/025 DU 28 MARS 2011 + PROTOCOLE D'ACCORD N°11/0070 DU 29 AOUT 2011 : SONABHY ET SAMPANA SA,"PASSAGE, CESSION, TRANSPORT, ACCORD, STOCKAGE,",,
0041/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°20/0152 DU 18 MAI 2020 + AVENANT N°24/0064 DU 06 FEVRIER 2024 : SONABHY ET PALINGWENDE,"TRANSPORT, PRODUIT PETROLIER, PALINGWENDE, SONABHY.","(CONTRAT, AVENANT)",2020. 2024.
0042/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : SONABHY ET SEGEN 2009,"VENTE, PRODUIT PETROLIER, APPROVISIONNEMENT, SONABHY, SEGEN.",(CONTRAT),2009.
0043/CJ,CONTRAT DE VENTE DE PRODUITS CIF LOME / COTONOU : SONABHY ET TRAFIGURA 2009,"VENTE, PRODUIT PETROLIER, APPROVISIONNEMENT, SONABHY, TRAFIGURA.",(CONTRAT),2009.
0044/CJ,CONTRAT DE VENTE DE PRODUITS CIF LOME : SONABHY ET TRAFIGURA 2009,"VENTE, PRODUIT PETROLIER, APPROVISIONNEMENT, SONABHY, TRAFIGURA.",,
0045/CJ,CONVENTION DE CREDIT COURT TERME ET AUTORISATION DE DECOUVERT DU 04 JUIN 2009 + DU 15 MAI 2009 : SONABHY ET BIB,"CONVENTION, CREDIT, SONABHY, BIB.",(CONTRAT),"04, 15. JUIN, MAI, 2009."
0046/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, BTP-NI, BATIMENTS ET TRAVAUX PUBLICS-NEIMATOULAYE INTERNATIONAL, SONABHY.","(CONTRAT, AVENANT)",22. 2020.
0047/CJ,CONTRAT D'ABONNEMENT POST PAID 2009 + CONTRAT DU 01 AOUT 2011 : TELMOB ET SONABHY,"ABONNEMENT, COMMUNICATION, TELMOB, SONABHY.",(CONTRAT),2009. 2011.
0048/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : TRAFIGURA ET SONABHY 2009,"VENTE, APPROVISIONNEMENT, PRODUIT PETROLIER, TRAFIGURA, SONABHY.",,
0049/CJ,AVENANT AU CONTRAT DE VENTE DE PRODUITS PETROLIERS : TRAFIGURA ET SONABHY 2009,"VENTE, APPROVISIONNEMENT, PRODUIT PETROLIER, TRAFIGURA, SONABHY.",(CONTRAT),"30. JUIN, 2009."
0050/CJ,TEXTES JURIDIQUES : RECUEIL D'AVIS JURIDIQUES ET DE REQUETES ADMINISTRATIVES,"AVIS JURIDIQUE, REQUETE ADMINISTRATIVE, TRESOR PUBLIC, CONSEIL JURIDIQUE.",(TEXTE JURIDIQUE),2009.
0051/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET PEFAN DU 18 AOUT 2009,"VENTE, PRODUIT PETROLIER, SONABHY, PEFAN.",(CONTRAT),"18. AOUT, 2009."
0052/CJ,CONTRAT ENREGISTRE RELATIF A L'ASSISTANCE D'OUVRAGE DE PROJET ERP 2009 + CONTRAT N°05/2009 DU 20 JUILLET 2009 : SONABHY ET PERFORMANCE MANAGEMENT CONSULTING,"ERP, ASSISTANCE, PLAN STRATEGIQUE, PERFORMANCE MANAGEMENT CONSULTING, SONABHY.",(CONTRAT),2009.
0053/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS,"TRANSPORT, PRODUIT PETROLIER, NAWAL SERVICES, SONABHY.","(CONTRAT, AVENANT)",2020. 2024.
0054/CJ,CONVENTION DE PRET A COURT TERME : BOA ET SONABHY,,,
2009,,"PRET, CONVENTION, BOA, SONABHY.",(CONTRAT),2009.
0055/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS 2009 + CONTRAT N°14/217 DU 29 DECEMBRE 2014 + CONTRAT N°15/ + CONTRAT N°15/0238 DU 13 MAI 2015 + CONTRAT DE VENTE N°17/0615 DU 28 DECEMBRE 2017 + CONTRAT DE TRANSPORT N°18/0215 DU 21 FEVRIER 2018 + PROTOCOLE D'ACCORD N°22/0102 DU 03 MARS 2022 : SONABHY ET PETRO GULMU,"VENTE, TRANSPORT, PRODUIT PETROLIER, CREANCE, REMBOURSEMENT, SONABHY, PETRO GULMU.",(CONTRAT),2014. 2009. 2015. 2017. 2018. 2022.
0056/CJ,JURIDICTION ET CONTENTIEUX : VENTE DE PRODUITS PETROLIERS ; CONTRAT DE VENTE DE PRODUITS PETROLIERS,,,
0057/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET SOCIETE GENERALE DE L'EST 2009,"VENTE, PRODUIT PETROLIER, SGE, SONABHY.",(CONTRAT),2009.
0058/CJ,JURIDICTION ET CONTENTIEUX : RENOUVELLEMENT CONTRAT DE MAINTENANCE ORACLE JDE 2009 + CONFIRMATION DE RENOUVELLEMENT DU CONTRAT DE MAINTENANCE DES MODULES ORACLE DU 01 JUIN 2012 + CONFIRMATION DE RENOUVELLEMENT DE CONTRAT DU 26 AOUT 2014 + MARCHE N°33-2012/MICA/SONABHY DU 24 DECEMBRE 2012 POUR LA,"ORACLE , SONABHY, SOMAFOR, JDE EDWARDS ENTERPRISEONE, MAINTENANCE.","(CONTRAT, MARCHE)",2009. 2012. 2014.
0059/CJ,JURIDICTION ET CONTENTIEUX : VENTE ET PASSAGE DE,"VENTE, PASSAGE, ACCORD, PRODUIT PETROLIER, SONABHY, PETRODIS.","(CONTRAT, PROTOCOLE D'ACCORD)",2009. 2015. 2017. 2020. 2022.
0060/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET ELIKAN 2009,"VENTE, PRODUIT PETROLIER, SONABHY, ELIKAN.",(CONTRAT),2009.
0061/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS SIGNE ET ENREGISTRE 2009 + CONTRAT DE VENTE DU 06 AOUT 2010 : SONABHY ET ECO OIL,"VENTE, PRODUIT PETROLIER, SONABHY, ECO OIL.",(CONTRAT),01. 2009. 2010.
0062/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET PETROLUB 2009,"VENTE, PRODUIT PETROLIER, SONABHY, PETROLUB.",(CONTRAT),"01. SEPTEMBRE, 2009."
0063/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS SIGNE,"VENTE, PRODUIT PETROLIER, SONABHY, ACCES OIL.",(CONTRAT),"01. SEPTEMBRE, 2009."
0064/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS : SONABHY ET TRAORE ZOUMANA 2009,"TRANSPORT, PRODUIT PETROLIER, SONABHY, TRAORE ZOUMANA.",(CONTRAT),"29. JUIN, 2009."
0065/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE BAIL DE LOCATION DU 06 FEVRIER 2001 + AVENANT N°1 AU CONTRAT DE BAIL DE RESIDENCE DU 08 OCTOBRE 2003 + AVENANT N°4 2009 AU CONTRAT DE BAIL DE RESIDENCE + AVENANT N°05 AU CONTRAT DE BAIL DE LA RESIDENCE DU 27 AVRIL 2010 + AVENANT N°07 AU CONTRAT N°11/109 + AVENANT N°06 AU CONTRAT DE BAIL DE LA RESIDENCE DU 09 FEVRIER 2012 : SONABHY ET FONDS MONETAIRE INTERNATIONAL,"BAIL, LOCATION, RESIDENCE, SONABHY, FONDS MONETAIRE INTERNATIONAL.","(CONTRAT, AVENANT)",2001. 2003. 2009. 2010. 2011. 2012.
0066/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS 2009 + AVENANT N°13/0061 DU 27 MAI 2013 + CONTRAT N°15/0263 DU 26 MAI 2015 + CONTRAT + CONTRAT N°18/0250 DU 26 FEVRIER 2018 : SONABHY ET KABORE ABLASSE,"TRANSPORT, PRODUIT PETROLIER, KABORE ABLASSE, SONABHY, STCF.","(CONTRAT, AVENANT)",2009. 2013. 2015. 2018.
0067/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS 2009 + AVENANT N°13/0058 DU 25 AVRIL 2013 + CONTRAT N°15/0082 DU 26 FEVRIER 2015 + AVENANT N°15/0308 DU 13 AOUT 2015 + AVENANT N°13/077 DU 01 JUILLET 2013 + AVENANT N°17/0443 DU 21,,,
0068/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET SODIS OIL 2009,"DISTRIBUTION, VENTE, PRODUIT PETROLIER, SODIS OIL, SONABHY.",(CONTRAT),"20. OCTOBRE, 2009."
0069/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS 2009 + CONTRAT DE FOURNITURE DE 2009 + CONTRAT N°15/0280 DU 08 JUILLET 2015 + CONTRAT DE VENTE N°16/0452 DU 14 OCTOBRE 2016 + AVENANT N°17/373 DU 26 JUILLET 2017 + CONTRAT N°18/0784 DU 14 SEPTEMBRE 2018 : SONABHY ET SDHL,"TRANSPORT, FOURNITURE, VENTE, PRODUIT PETROLIER, SONABHY, SDHL.","(CONTRAT, AVENANT)","2009, 2015-2018."
0070,,,,
0070/CJ,CONTRAT DE PRESTATION DE SERVICE DU 25 AVRIL 2006,"PRESTATION DE SERVICE, EXTINCTEUR, MAINTENANCE, SONABHY, DIACFA MATERIAUX.",(CONTRAT),2006.
0071/CJ,CONVENTIONS DE CESSION N°12 ET N°13 : DON HORS PROJET JAPONAIS 2009,"DON, PRODUIT PETROLIER, PROJET JAPONAIS, COOPERATION INTERNATIONALE, JAPON.",(CONVENTION),"23. OCTOBRE, 2009."
0072/CJ,CONVENTION D'EMBRANCHEMENT N°26 ET N°31/BF/DC/99 : SONABHY ET SITARAIL 2003,"EMBRANCHEMENT, DEPOT DE BINGO, DEPOT DE BOBO DIOULASSO, SONABHY, SITARAIL.",(CONVENTION),"JUILLET, 2003."
0073/CJ,AVENANTS 1 ET 2 AU CONTRAT N°19/2005 TRAVAUX,"SPHERE, GAZ BUTANE, SONABHY, FRIEDLANDER, AVENANT.",(CONTRAT),2008.
0074/CJ,ETUDE JURIDIQUE : CAHIERS DE CLAUSES ADMINISTRATIVES GENERALES ET DOSSIERS TYPES D'APPEL D'OFFRES,"MARCHE PUBLIC, CLAUSE ADMINISTRATIVE, APPEL D'OFFRE.",,
0075/CJ,ETUDE JURIDIQUE : PROCES VERBAL DE L'ASSEMBLEE GENERALE CONSTITUTIVE DE LA SOCIETE DE TRANSPORT TAKANA,"TRANSPORT, TAKANA, ASSEMBLEE GENERALE, CONSTITUTION.",(PROCES VERBAL),1998.
0076/CJ,AVENANT N°01 DU CONTRAT DE VENTE DE PRODUITS,"VENTE, PRODUIT PETROLIER, SONABHY, OCTOGONE TRADING OIL.",(CONTRAT),"14. JANVIER, 2010."
0077/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : SONABHY ET OVLAS DU 22 DECEMBRE 2009,"VENTE, PRODUIT PETROLIER, SONABHY, OVLAS.",(CONTRAT),"22. DECEMBRE, 2009."
0078/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS SONABHY ET CPCI DU 15 DECEMBRE 2009,"VENTE, PRODUIT PETROLIER, SONABHY, CPCI.",(CONTRAT),"15. DECEMBRE, 2009."
0079/CJ,CONTRAT DE VENTE DE PRODUITS PETROLIERS : SONABHY ET ENTREPRISE OUMAROU KANAZOE DU 12 NOVEMBRE 2009,"VENTE, PRODUIT PETROLIER, SONABHY, ENTREPRISE OUMAROU KANAZOE.",(CONTRAT),"12. NOVEMBRE, 2009."
0080/CJ,CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS : SONABHY ET SOBUCOP DU 17 DECEMBRE 2009,"VENTE, SONABHY, SOBUCOP, PRODUIT PETROLIER.",(CONTRAT),"17. DECEMBRE, 2009."
0081/CJ,CONTRAT DE PASSAGE DE PRODUITS PETROLIERS : SONABHY ET SOCIETE LAMINE YARA DU 02 OCTOBRE 2009,"PASSAGE, PRODUIT PETROLIER, SONABHY, SOCIETE LAMINE YARA.",(CONTRAT),"02. OCTOBRE, 2009."
0082/CJ,CONVENTION N°01/SIT/DSE/2000 D'APPROVISIONNEMENT DES,"APPROVISIONNEMENT, PRODUIT PETROLIER, SITARAIL, SONABHY.",(CONTRAT),"12. JANVIER, 2000."
0083/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DE PRODUITS FINIS 2000 + AVENANT N°4 AU CONTRAT DE VENTE DE PRODUIT PETROLIER DU 23 JUIN 2004 + CONTRAT DE TIERCE DETENTION DU 29 JUILLET 1999 + AVENANT N°5 AU CONTRAT DE VENTE DU 06 JUIN 2006 + AVENANT N°06 AU CONTRAT DE VENTE DE PRODUITS PETROLIERS 2007 + CONTRAT DE VENTE DU 15 MARS 2013 + CONTRAT N°14/019 DU 13 FEVRIER 2014 + CONTRAT N°14/007 DU 05 FEVRIER 2014 + CONTRAT CADRE DE VENTE DE PRODUITS PETROLIERS DU 03 NOVEMBRE 2016 + CONTRAT SPOT N°16/0372 DU 27 JUILLET 2016 + ACCORD AVEC LA SIR ET SITARAIL DU 19 JUILLET 2018 + CONTRAT DE VENTE N°21/0326 DU 26 OCTOBRE 2021 + CONTRAT DE VENTE N°0325 DU 15 OCTOBRE 2021 + CONTRAT N°0353 DU 15 NOVEMBRE 2021 + CONTRAT N°22/0025 DU 19 JANVIER 2022 + CONTRAT DE VENTE N°22/0116 DU 15 MARS 2022 + CONTRAT DE VENTE N°22/0146 DU 04 AVRIL 2022 + CONTRAT DE VENTE N°22/0202 DU 03 MAI 2022 + CONTRAT DE VENTE N°22/0269 DU 20 MAI 2022 + CONTRAT DE VENTE N°22/0342 DU 22 JUIN 2022 + CONTRAT DE VENTE N°22/0407 DU 26 JUILLET 2022 + CONTRAT DE VENTE N°22/0459 DU 06 SEPTEMBRE 2022 + CONTRAT DE VENTE N°22/0542 DU 14 OCTOBRE 2022 + CONTRAT DE VENTE N°22/0607 DU 09 DECEMBRE 2022 + CONTRAT CADRE DE VENTE DU 23 MARS 2023 : SIR ET SONABHY,"VENTE, APPROVISIONNEMENT, TRANSPORT, SITARAIL, BEN& CO, BICIM, PRODUIT PETROLIER, SIR, SONABHY.","(CONTRAT, AVENANT)","1999, 2000, 2004, 2006, 2007, 2014-2016, 2018, 2021-2023."
0084/CJ,CONTRAT DE PASSAGE DE PRODUITS PETROLIERS : STSL ET SONABHY 1995,"PASSAGE, PRODUIT PETROLIER, STSL, SONABHY.",(CONTRAT),"18. SEPTEMBRE, 1995."
