cote_rangement,titre,dates_extremes,niveau_description,importance_materielle,provenance_ou_processus,initial_processus,mots_cles_matieres,analyse_diplomatique,date_versement,date_enregistrement,passage_ged,duree_utilite_admin,sort_final,notes
 0012/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA MAI 2020, 2020, DOSSIER, 01 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0013/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA  JUIN 2020, 2020, DOSSIER, 03 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0014/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA JUILLET 2020, 2020, DOSSIER, 01 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0015/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA  AOUT 2020, 2020, DOSSIER, 07 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0016/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA NOVEMBRE  2020, 2020, DOSSIER, 01 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0017/GCR, COMMUNICATION INTERNE ET EXTERNE: LETTRE ARRIVEE A PCA DECEMBRE 2020, 2020, DOSSIER, 03 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0018/GCR, COMMUNICATION INTERNE ET EXTERNE: COURRIER INTERNE  PCA JANVIER  2020, 2020, DOSSIER, 08 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0019/GCR, COMMUNICATION INTERNE ET EXTERNE: COURRIER INTERNE A PCA FEVRIER 2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0020/GCR, COMMUNICATION INTERNE ET EXTERNE: COURRIER INTERNE  PCA MARS 2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0021/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INERNE  PCA MAI 2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0022/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INERNE  PCA  JUIN 2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0023/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INERNE  PCA JUILLET 2020, 2020, DOSSIER, 01 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0024/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INERNE  PCA AOUT 2020, 2020, DOSSIER, 01 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0025/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INERNE  PCA SEPTEMBRE 2020, 2020, DOSSIER, 01 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0026/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INERNE  PCA OCTOBRE 2020, 2020, DOSSIER, 03 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 28 AVRIL 2022, DOCUCOUR,,,
 0027/GCR, COMMUNICATION INTERNE ET EXTERNE:RAPPORT DE SEJOUR DU PCA DU 1ER ET 2EME SEMESTRE  2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  SEJOUR DU PCA,  PCA,  SONABHY", RAPPORT, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0028/GCR, COMMUNICATION INTERNE ET EXTERNE:RAPPORT DU COMITE D'AUDIT 2020, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  COMITE D'AUDIT,  SONABHY", RAPPORT, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0029/GCR, COMMUNICATION INTERNE ET EXTERNE:CCERTIFICAT D'AFFECTATION DE VEHICULES   2020, 2020, DOSSIER, 11 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", CERTIFICAT, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0030/GCR, COMMUNICATION INTERNE ET EXTERNE:CCERTIFICAT D'AFFECTATION DE VEHICULES   2021, 2020, DOSSIER, 12 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", CERTIFICAT, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0031/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  JANVIER 2021, 2020, DOSSIER, 01 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0032/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  FEVRIER 2021, 2020, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0033/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA MARS   2021, 2020, DOSSIER, 14 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0034/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  AVRIL 2021, 2020, DOSSIER, 01 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0035/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  MAI  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0036/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  JUIN  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0037/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  JUILLET 2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0038/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  AOUT  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0039/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA SEPTEMBRE  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0040/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA OCTOBRE 2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0041/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  NOVEMBRE 2021, 2020, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0042/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE ARRIVEE PCA  DECEMBRE 2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE ARRIVEE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0043/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA JANVIER  2021, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0044/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA FEVRIER   2021, 2020, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0045/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA  MARS 2021, 2020, DOSSIER, 001PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0046/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA  MAI 2021, 2020, DOSSIER, 03 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0047/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA  JUIN 2021, 2020, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0048/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA JUILLET  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0049/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA  AOUT 2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0050/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA SEPTEMBRE  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0051/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA OCTOBRE  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0052/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA NOVEMBRE  2021, 2020, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0053/GCR, COMMUNICATION INTERNE ET EXTERNE:COURRIER INTERNE PCA DECEMBRE  2021, 2020, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", COURRIER INTERNE, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0054/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA JANVIER  2021, 2021, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0055/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA FEVRIER  2021, 2021, DOSSIER, 03 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0056/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA  MARS 2021, 2021, DOSSIER, 02 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0057/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA  AVRIL 2021, 2021, DOSSIER, 06 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0058/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA  MAI 2021, 2021, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0059/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA  JUIN 2021, 2021, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0060/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA JUILLET  2021, 2021, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0061/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA  AOUT 2021, 2021, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0062/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA SEPTEMBRE  2021, 2021, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0063/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA OCTOBRE  2021, 2021, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0064/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA NOVEMBRE 2021, 2021, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0188/CA, COMMUNICATION INTERNE ET EXTERNE:DOSSIER CONSEIL D'ADMINISTRATION DE LA SONABHY DU 29 AVRIL 2020, 2020, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  CONSEIL D'ADMINISTRATION,  ACTIVITE,  GESTION,  FINACES,  BUDGET,  SONABHY", DELIBERATION, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0189/CA, COMMUNICATION INTERNE ET EXTERNE :DOSSIER CONSEIL D'ADMINISTRATION DE LA SONABHY DU 17 DECEMBRE 2020, 2020, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CONSEIL D'ADMINISTRATION,  ACTIVITE,  GESTION,  MARCHE,  BUDGET,  SONABHY", DELIBERATION, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0190/CA, COMMUNICATION INTERNE ET EXTERNE : DOSSIER CONSEIL D'ADMINISTRATION EXTRAORDINAIRE DE LA SONABHY DU 24 NOVEMBRE 2021, 2021, DOSSIER, 00 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CONSEIL D'ADMINISTRATION,  DEPOT OUAGA EST,  TERRAIN,  SONABHY,  SAABA,  DEMANDE SOCIALE,  LOGEMENT POUR PERSONNEL, ", RAPPORT, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0065/GCR, COMMUNICATION INTERNE ET EXTERNE:LETTRE DEPART DU  PCA DECEMBRE 2021, 2021, DOSSIER, 00 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI," CORRESPONDANCE,  PCA,  SONABHY", LETTRE DEPART, 02 AOUT 2021, 27 AVRIL 2022, DOCUCOUR,,,
 0066/GCR, COMMUNICATION INTERNE ET EXTERNE : PROCES VERBAUX DE TRAVAUX ET RENCONTRES 2020, 2020, DOSSIER, 04 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI (GCR)," CONTRUCTION,  DEPOT DE PENI,  HYDROCARBURE,  GAZ BUTANE,  SPHERE,  DEPOT DE BINGO", PROCES VERBAL DE REUNION,, 24-10-2022, DOCUCOUR, 05 ANS, CONSERVATION DEFINITIVE,
 0191/CA, COMMUNICATION INTERNE ET EXTERNE : DOSSIER DU CONSEIL D'ADMINISTRATION DE LA SONABHY DU 24 FEVRIER 2021, 2021, DOSSIER, 1 PIECE, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI (CA)," CONSEIL D'ADMINISTRATION,  SONABHY,  SESSION EXTRAORDINAIRE", PROCES VERBAL,, 28-11-2022, DOCESSEN, 05 ANS, CONSERVATION DEFINITIVE,
 0192/CA, COMMUNICATION INTERNE ET EXTERNE : CONSEIL D'ADMINISTRATION DE LA SONABHY SUR L'EXERCICE BUDGETAIRE 2022 DU 13 DECEMBRE 2021, 2021, DOSSIER, 16 PIECES, ASSURER LA COMMUNICATION INTERNE ET EXTERNE, ACI (CA)," CONSEIL D'ADMINISTRATION,  ACTIVITE,  EXECUTION BUDGETAIRE,  BUDGET,  BUDGET DETERMINANT,  BUDGET SUPPORT,  AUDIT,  SOCIETE D'ETAT", DELIBERATION,, 20-12-2022, DOCESSEN, 05 ANS, CONCERVATION DEFINITIVE,
 0001/PRO, REALISATION DES PROJETS PETROLIERS: APPEL D'OFFRE Nø2021-001 POUR LA CONSTRUCTION D'UN CENTRE EMPLISEUR DE BOUTEILLES DE GAZ GPL AU DEPOT SONABHY DE BINGO PAR L'ENTREPRISE SA., 2021, DOSSIER, 3 PIECES, CONCEVOIR ET REALISER LES PROJETS PETROLIERS, PRO," CENTRTE EMPLISEUR,  DEPOT DE BINGO,  GAZ BUTANE,  ENTREPRISE INDUSTRIELLLE", OFFRE FINANCIERE, 22/09/2022, 2023, -, 10 ANS, CONSERVATION DEFINITIVE,
