ID,Code,TITRE/DOSSIER,CONTENU,ANA. DIPLOM.,ANNEE,PASSAGE GED,SORT FINAL
00011,0524/CJ,CONVENTION DE STAGE N°10/45  DU 08 JANVIER 2010  : SONABHY ET ZERBO CHRISTINE,"STAGE, CONVENTION, SONABHY, ARCHIVES, ZERBO CHRISTINE",(CONTRAT),2010,DOCESSEN,
00012,0525/CJ,CONVENTION DE STAGE N°10/124  DU 26 JANVIER 2010 : SONABHY ET BENON MARCELLIN,"STAGE, CONVENTION, SONABHY, INFORMATIQUE, BENON MARCELLIN",(CONTRAT),2010,DOCESSEN,
00013,0526/CJ,CONVENTION DE STAGE N°10/157  DU 27 JANVIER 2010 : SONABHY ET ZOUNGRANA W ASMAOU,"STAGE, CONVENTION, SONABHY, COMPTABILITE, ZOUNGRANA W ASMAOU",(CONTRAT),2010,DOCESSEN,
00014,0527/CJ,CONVENTION DE STAGE N°10/201  DU 03 FEVRIER 2011  : SONABHY ET NITIEMA SVITLANA,"STAGE, CONVENTION, SONABHY, LABORATOIRE, NITIEMA SVITLANA",(CONTRAT),2011,DOCESSEN,
00015,0528/CJ,CONVENTION DE STAGE N°10/218 DU 04 FEVRIER 2010  : SONABHY ET BOLY HAFISSATOU,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, BOLY HAFISSATOU",(CONTRAT),2010,DOCESSEN,
00016,0529/CJ,CONVENTION DE STAGE N°10/224  DU 08 FEVRIER 2010  : SONABHY ET KABRE T IDA REINE,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, KABRE T IDA REINE",(CONTRAT),2011,DOCESSEN,
00017,0530/CJ,CONVENTION DE STAGE N°10/225  DU 08 FEVRIER 2010 : SONABHY ET  ILBOUDO NATHALIE TENIN,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, ILBOUDO NATHALIE TENIN",(CONTRAT),2010,DOCESSEN,
00018,0531/CJ,CONVENTION DE STAGE N°10/228  DU 08 FEVRIER 2010  : SONABHY ET TRAORE MAMADOU,"STAGE, CONVENTION, SONABHY, MECANIQUE GENERALE, ELECTROTECHNIQUE, TRAORE MAMADOU",(CONTRAT),2010,DOCESSEN,
00019,0532/CJ,CONVENTION DE STAGE N°10/229  DU 08 FEVRIER 2010 : SONABHY ET GOUEM SOULEYMANE,"STAGE, CONVENTION, SONABHY, COMPTABILITE, GOUEM SOULEYMANE",(CONTRAT),2010,DOCESSEN,
00020,0533/CJ,CONVENTION DE STAGE N°10/232  DU 09 FEVRIER 2010 : SONABHY ET SAWADOGO WENDYIIDA AMADOU,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, SAWADOGO WENDYIIDA AMADOU",(CONTRAT),2010,DOCESSEN,
00021,0534/CJ,CONVENTION DE STAGE N°10/245 DU 12 FEVRIER 2010 : SONABHY ET KABORE B ANTOINE DE PADOU,"STAGE, CONVENTION, SONABHY, GESTION COMMERCIALE, KABORE B ANTOINE DE PADOU",(CONTRAT),2010,DOCESSEN,
00022,0535/CJ,CONVENTION DE STAGE N°10/257  DU 15 FEVRIER 2010 : SONABHY ET OUEDRAOGO TIPOKO ODETTE,"STAGE, CONVENTION, SONABHY, COMPTABILITE, OUEDRAOGO TIPOKO ODETTE",(CONTRAT),2010,DOCESSEN,
00023,0536/CJ,CONVENTION DE STAGE N°10/337  DU 03 MARS 2010 : SONABHY ET DIALLO IBRAHIM,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, DIALLO IBRAHIM",(CONTRAT),2010,DOCESSEN,
00024,0537/CJ,CONVENTION DE STAGE N°10/338  DU 03 MARS 2010 : SONABHY ET PARE MASSITA DJENE B,"STAGE, CONVENTION, SONABHY, COMMERCE, PARE MASSITA DJENE B",(CONTRAT),2010,DOCESSEN,
00025,0538/CJ,CONVENTION DE STAGE N°10/383  DU 17 MARS 2010 : SONABHY ET NANA BRUNO,"STAGE, CONVENTION, SONABHY, RESSOURCE HUMAINE, DROIT, NANA BRUNO",(CONTRAT),2010,DOCESSEN,
00026,0539/CJ,CONVENTION DE STAGE N°10/442  DU 29 MARS 2010 : SONABHY ET BAMBARA COMBASSERE CARINE NADEGE,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, BAMBARA COMBASSERE CARINE NADEGE",(CONTRAT),2010,DOCESSEN,
00027,0540/CJ,CONVENTION DE STAGE N°10/564  DU 22 AVRIL 2010 : SONABHY ET KABORE ABDOUL AZIS,"STAGE, CONVENTION, SONABHY, COMPTABILITE, KABORE ABDOUL AZIS",(CONTRAT),2010,DOCESSEN,
00028,0541/CJ,CONVENTION DE STAGE N°10/733  DU 01 JUIN 2010 : SONABHY ET KABORE ABDOULNASSIROU,"STAGE, CONVENTION, SONABHY, KABORE ABDOULNASSIROU, GESTION COMMERCIALE",(CONTRAT),2010,DOCESSEN,
00029,0542/CJ,CONVENTION DE STAGE N°10/734  DU 01 JUIN 2010 : SONABHY ET SIEBA DRABO FATOU,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, SIEBA DRABO FATOU",(CONTRAT),2010,DOCESSEN,
00030,0543/CJ,CONVENTION DE STAGE N°10/750  DU 02 JUIN 2010 : SONABHY ET KAZAGABOU K IRENE,"STAGE, CONVENTION, SONABHY, FINANCE, COMPTABILITE, KAZAGABOU K IRENE",(CONTRAT),2010,DOCESSEN,
00031,0544/CJ,CONVENTION DE STAGE N°10/751  DU 02 JUIN 2010 : SONABHY ET BOLY MADINA YASMINE,"STAGE, CONVENTION, SONABHY, INFORMATIQUE DE GESTION, BOLY MADINA YASMINE",(CONTRAT),2010,DOCESSEN,
00032,0545/CJ,CONVENTION DE STAGE N°10/753  DU 04 JUIN 2010 : SONABHY ET SOME WINBANFO MARTIAL,"STAGE, CONVENTION, SONABHY, ELECTRONIQUE, MAINTENANCE, INFORMATIQUE, SOME WINBANFO MARTIAL",(CONTRAT),2010,DOCESSEN,
00033,0546/CJ,CONVENTION DE STAGE N°10/754  DU 04 JUIN 2010 : SONABHY ET KOUGORPOA B GHISLAIN,"STAGE, CONVENTION, SONABHY, GENIE MECANIQUE, GENIE PRODUCTIQUE, KOUPORGOA B GHISLAIN",(CONTRAT),2010,DOCESSEN,
00034,0547/CJ,CONVENTION DE STAGE N°10/755  DU 04 JUIN 2010 : SONABHY ET KONE DJENEBA SIA NADINE,"STAGE, CONVENTION, SONABHY, GESTION, AUDIT, KONE DJENEBA SIA NADINE",(CONTRAT),2010,DOCESSEN,
00035,0548/CJ,CONVENTION DE STAGE N°10/881  DU 23 JUIN 2010 : SONABHY ET KABORE PASCALE WENDMY,"STAGE, CONVENTION, SONABHY, SECRETARIAT, BUREAUTIQUE, KABORE PASCALE WENDMY",(CONTRAT),2010,DOCESSEN,
00036,0549/CJ,CONVENTION DE STAGE N°10/882  DU 23 JUIN 2010 : SONABHY ET OUEDRAOGO GISELE BINTOU,"STAGE, CONVENTION, SONABHY, ELECTRICITE INDUSTRIEL, OUEDRAOGO GISELE BINTOU",(CONTRAT),2010,DOCESSEN,
00037,0550/CJ,CONVENTION DE STAGE N°10/883  DU 23 JUIN 2010 : SONABHY ET KABORE ANTOINE,"STAGE, CONVENTION, SONABHY, ELECTROTECHNIQUE, KABORE ANTOINE",(CONTRAT),2010,DOCESSEN,
00038,0551/CJ,CONVENTION DE STAGE N°10/569 DU 22 AVRIL 2010   : SONABHY ET SANFO AISSATA,"STAGE, CONVENTION, SONABHY, RESSOURCE HUMAINE, SANFO AISSATA",(CONTRAT),2010,DOCESSEN,
00039,0552/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 18 MAI 2011 + AVENANT N°12/033 DU 02 AVRIL 2012 + CONTRAT N°18/0231 DU 26 FEVRIER 2018 + AVENANT N°19/0053 DU 11 FEVRIER 2019 +,"TRANSPORT, PRODUIT PETROLIER, SONABHY, SOCIETE BUILDERS ET TRANSFORMERS, TAMBOURA BOUBAKAR","(CONTRAT, AVENANT)","2011, 2012, 2018, 2019, 2020",DOCESSEN,
00040,0553/CJ,JURIDICTION ET CONTENTIEUX : CONVENTION DE CREDIT DECOUVERT DU 29 JUILLET 2011 + CONVENTION DU 16 JUILLET 2015 + CONVENTION DE CREDIT DU 24 AOUT 2016 + GARANTIE AUTONOME DE 1ERE DEMANDE AU CONTRAT,"CONVENTION, CREDIT, BANK OF AFRICA, SONABHY, VIVO ENERGY BURKINA, GARANTIE",(CONTRAT),"2011, 2015, 2016, 2020",DOCESSEN,
00041,0554/CJ,RENOUVELLEMENT AUTORISATION DE STOCKAGE DE DDO DE,"STOCKAGE, DDO, SONAF, ECO OIL",(CONTRAT),2011,DOCESSEN,
00042,0555/CJ,CONVENTION DE CREDIT DU CREDIT DU 28 JUILLET 2011 : SONABHY ET BICIA-B,"CREDIT, CONVENTION, SONABHY, BICIA-B",(CONTRAT),2011,DOCESSEN,
00043,0556/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°11/72 DU 28 SEPTEMBRE 2011 + CONTRAT DE PASSAGE N°15/362 DU 12 NOVEMBRE 2015 +,"FOURNITURE, VENTE, PASSAGE, PRODUIT PETROLIER, SONABHY, MARO, MARINE ROUTIERE",(CONTRAT),"2011, 2015, 2018",DOCESSEN,
00044,0557/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE PASSAGE ET DE STOCKAGE DE PRODUITS PETROLIERS N°13/086 DE 2013 + CONTRAT DE PASSAGE ET DE STOCKAGE N°13/ 0116 DU 30,"PASSAGE, STOCKAGE, BPS, SONABHY, BENIN PETROLEUM SERVICES",(CONTRAT),"2011, 2013",DOCESSEN,
00045,0558/CJ,"CONTRATS D'ENTRETIEN N°2011/002, 2011/009, 2011/015, 2011/016, 2011/017, 2011/018, 2011/019 DU 26","ENTRETIEN, CLIMATISEUR, ASCENSEUR, PHOTOCOPIEUR, CFAO TECHNOLOGIES, SONABHY",(CONTRAT),2011,DOCESSEN,
00046,0559/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/074  DU 28 SEPTEMBRE 2011 + AVENANT N°12/0094 DU 25 JUILLET 2012 + CONTRAT N°17/0134 DU 03 MARS 2017 + CONTRAT N°18/0458 DU 16,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO ABDOUL FATA, SONABHY","(CONTRAT, AVENANT)","2011, 2012, 2017, 2018",DOCESSEN,
00047,0560/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/073 DU 28 SEPTEMBRE 2011 + AVENANT N°13/0010 DU 05 FEVRIER 2013 + CONTRAT,"TRANSPORT, PRODUIT PETROLIER, NANA CONGO RIHANATA, SONABHY","(CONTRAT, AVENANT)","2011, 2013, 2015",DOCESSEN,
00048,0561/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/069 DU 29 AOUT 2011 + AVENANT AU CONTRAT DE TRANSPORT N°12/012 DU 20 FEVRIER 2012 +  AVENANT N°12/0089 DU 25 JUILLET 2012 AU CONTRAT DE TRANSPORT N°11/0069  + AVENANT N°13/0073 DU 01 JUILLET 2013 + AVENANT N°14/0164 DU 23 OCTOBRE 2014 + CONTRAT N°15/0218 DU 17 AVRIL 2015 + AVENANT N°16/025 DU 19 FEVRIER 2016 + AVENANT N°17/0358 DU 25 JUILLET 2017 + CONTRAT N°19/0026 DU 28 JANVIER 2019 + AVENANT N°20/0406 DU 28 DECEMBRE 2020 + AVENANT N°22/0156 DU 11 AVRIL 2022 + AVENANT N°22/0282 DU 31 MAI 2022 + AVENANT N°23/0112 DU 17 FEVRIER 2023 + AVENANT N°23/0435 DU 27 SEPTEMBRE 2023 + AVENANT N°23/0322 DU 16 JUIN 2023 + AVENANT,"TRANSPORT, PRODUIT PETROLIER, DJINADOU INOUSSA AFOLABI ABIODOUN, SONABHY","(CONTRAT, AVENANT)","2011, 2012, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2022, 2023, 2024",DOCESSEN,
00049,0562/CJ,CONTRAT DE TRAITEMENT DE PRODUITS : SIR ET CITC,"PRODUIT PETROLIER, TRAITEMENT, SOCIETE IVOIRIENNE DE RAFFINAGE, CITC",(CONTRAT),1993,DOCESSEN,
00050,0563/CJ,CONTRAT DE TRAVAUX ET FOURNITURE POUR L'EXTENSION DU DEPOT DE BOBO DIOULASSO DU 24 MARS 1999 + AVENANT AUX TRAVAUX ET FOURNITURES POUR L'EXTENSION DU DEPOT,"EXTENSION, DEPOT DE BOBO DIOULASSO, FRIEDLANDER, SONABHY",(CONTRAT),1999,DOCESSEN,
00051,0564/CJ,PROTOCOLE D'ACCORD DE CREATION D'UNE SOCIETE DE PRODUCTION DE BIODIESEL AU BURKINA FASO DU 18,"CREATION, PRODUCTION, BIODIESEL, BURKINA FASO, SOFITEX, BIODIESEL INTERNATIONAL CORPORATION, SONABHY",(CONTRAT),2006,DOCESSEN,
00052,0565/CJ,POLICE D'ASSURANCE INDEMNITE DE FIN DE CARRIERE DU,"ASSURANCE, INDEMNITE, FIN DE CARRIERE, SONAR, SONABHY",(CONTRAT),2007,DOCESSEN,
00053,0566/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS DU 13 MARS 2008 + AVENANT N°14/0009 DU 07 FEVRIER 2014 + AVENANT N°20/0317 DU,"TRANSPORT, PRODUIT PETROLIER, COTTRAS, SONABHY","(CONTRAT, AVENANT)","2008, 2014, 2020",DOCESSEN,
00054,0567/CJ,AVENANT N°10 ET N°11 DE RENOUVELLEMENT DE RISQUES,"ASSURANCE, AVENANT, RISQUE, INCENDIE, SONAR, SONABHY",(CONTRAT),2008,DOCESSEN,
00055,0568/CJ,AVENANT N°11 ET N°12 DE RENOUVELLEMENT RISQUES,"AVENANT, RISQUE, INCENDIE, SONAR, SONABHY",(CONTRAT),2011,DOCESSEN,
00056,0569/CJ,POLICE D'ASSURANCE TOUS RISQUES SAUF DES,"ASSURANCE, RISQUE, AVENANT, SONAR, SONABHY",(CONTRAT),2011,DOCESSEN,
00057,0570/CJ,POLICE D'ASSURANCE INCENDIE DES BATIMENTS ET DES,"ASSURANCE, AVENANT, INCENDIE, BATIMENT, EQUIPEMENT, SONAR, SONABHY",(CONTRAT),2011,DOCESSEN,
00058,0571/CJ,POLICE D'ASSURANCE RESPONSABILITE CIVILE GENERALE :,"ASSURANCE, AVENANT, RESPONSABILITE CIVILE, SONAR, SONABHY",(CONTRAT),2011,DOCESSEN,
00059,0572/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/0068 DU 29 AOUT 2011 + AVENANT N°14/0010 DU 07 FEVRIER 2014 + AVENANT N°14/118 DU 20 AOUT 2014 + AVENANT N°17/0551 DU 15 NOVEMBRE 2017 + CONTRAT N°18/0309 DU 06 MARS 2018 + AVENANT N°18/0523 DU 01 JUIN 2018 + AVENANT N°22/0357,"TRANSPORT, PRODUIT PETROLIER, GANITEX, SONABHY","(CONTRAT, AVENANT)","2011, 2014, 2017, 2018, 2022",DOCESSEN,
00060,0573/CJ,CONTRAT POUR LA GESTION PRIVEE DU RESTAURANT DU,"GESTION, RESTAURANT, RESSOURCE HUMAINE, GEGA, SONABHY",(CONTRAT),2011,DOCESSEN,
00061,0574/CJ,AVENANT AU CONTRAT DE VENTE DE 30 000 MT DE MOGAS,"AVENANT, VENTE, MOGAS, ADDAX ENERGY, SONABHY",(CONTRAT),2011,DOCESSEN,
00062,0575/CJ,AVENANT D'INCORPORATION D'OBJETS ASSURES DU 15 JUIN 2011:SONABHY ET SONAR,"AVENANT, ASSURANCE, VEHICULE, SONAR, SONABHY",(CONTRAT),2011,DOCESSEN,
00063,0576/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°11/063 DU 01 AOUT 2011 + PROTOCOLE D'ACCORD N°14/0113 DU 13 AOUT 2014 + PROTOCOLE D'ACCORD AVENANT (001) N°14/151 DU 10 OCTOBRE 2014 + CONTRAT DE VENTE N°17/0728 DU 29,"FOURNITURE, PRODUIT PETROLIER, VENTE, FASO OIL, SONABHY",(CONTRAT),"2011, 2014, 2017",DOCESSEN,
00064,0577/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO ABDOULAYE, CSTT, SONABHY",(CONTRAT),2011,DOCESSEN,
00065,0578/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/062 DU 28 JUILLET 2011 + AVENANT N°12/0133 DU 12 OCTOBRE 2012 + AVENANT N°13/0056 DU 25 AVRIL 2013 + CONTRAT N°15/0040 DU 13 FEVRIER 2015 + AVENANT N°16/042  DU  25 FEVRIER 2016 + AVENANT N°17/0259 DU 14 JUIN 2017 + CONTRAT N°18/00088 DU 03 FEVRIER 2018 + AVENANT N°23/0265 DU,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO ZAKARIA, SONABHY","(CONTRAT, AVENANT)","2011, 2012, 2013, 2015, 2016, 2017, 2018, 2023",DOCESSEN,
00066,0579/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS,"TRANSPORT, PRODUIT PETROLIER, BM TRADING, SONABHY",(CONTRAT),2011,DOCESSEN,
00067,0580/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/078 DU 24 OCTOBRE 2011 + CONTRAT N°15/0089 DU 02,"TRANSPORT, PRODUIT PETROLIER, SANOU ISSOUF, STAR-BF, SONABHY",(CONTRAT),"2011, 2015",DOCESSEN,
00068,0581/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS N°11/077 DU 24 OCTOBRE 2011 + CONTRAT N°15/0149 DU 26,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO K. OUSSENI, SONABHY","(CONTRAT, AVENANT)","2011, 2015, 2016",DOCESSEN,
00069,0582/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS,"TRANSPORT, PRODUIT PETROLIER, SAWADOGO SOULEYMANE, SONABHY",(CONTRAT),2011,DOCESSEN,
00070,0583/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS,"TRANSPORT, PRODUIT PETROLIER, OUEDRAOGO JEAN, SONABHY",(CONTRAT),2011,DOCESSEN,
00071,0584/CJ,CONTRAT DE TRANSPORT DE PRODUITS PETROLIERS,"TRANSPORT, PRODUIT PETROLIER, DRABO ISSA, SONABHY",(CONTRAT),2011,DOCESSEN,
00072,0585/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE FOURNITURE DE 20 000 TM DE PRODUITS PETROLIERS N°11/081 DU 07 DECEMBRE 2011 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°12/015 DU 28 FEVRIER 2012 + AVENANT N°12/0060 DU 15 MAI 2012 AU CONTRAT N°11/080 + AVENANT N°12/0086 DU 09 JUILLET 2012 AU CONTRAT N°11/080 + CONTRAT DE VENTE DE PRODUITS PETROLIERS N°13/0095 DU 14 AOUT 2013 + CONTRAT N°14/0063 DU 25 AVRIL 2014 + CONTRAT N°14/0086 DU 09 JUIN 2014 + CONTRAT DE FOURNITURE DE PRODUITS PETROLIERS N°15/0001 DU 05 JANVIER 2015 + CONTRAT N°15/0141 DU 20 MARS 2015 + AVENANT N°15/208 DU 13 AVRIL 2015 + CONTRAT N°15/0207 DU 13 AVRIL 2015 + CONTRAT DE VENTE,"FOURNITURE, VENTE, PRODUIT PETROLIER, BENIN PETRO TRADING, SONABHY","(CONTRAT, AVENANT)","2011, 2012, 2013, 2014, 2015",DOCESSEN,
00073,0586/CJ,JURIDICTION ET CONTENTIEUX : TRANSPORT DE PRODUITS PETROLIERS ; CONTRAT N°15/0160 DU 03 AVRIL 2015+ CONTRAT N°18/00238 DU 26 FEVRIER 2018  + CONTRAT N°18/0852 DU 02 NOVEMBRE 2018 + AVENANT N°21/0137 DU 23 JUIN 2021 + AVENANT N°23/0518 OU 0516 DU 24 NOVEMBRE 2023 + CONTRAT N° 24/00463 DU 04/ SEPTEMBRE 2024:SONABHY ET EOAF (OUEDRAOGO ABDOUL KARIM),"SONABHY, EOAF, OUEDRAOGO ABDOUL KARIM, TRANSPORT, PRODUIT PETROLIER","(CONTRAT, AVENANT)","2015, 2018, 2021, 2023",DOCESSEN,
00074,0587/CJ,JURIDICTION ET CONTENTIEUX : CONTRAT DE VENTE DU 12 DECEMBRE 2008 + CONTRAT N°11/083 DU 14 DECEMBRE 2011 + AVENANT N°001 DU 14 JANVIER 2010 + CONTRAT DE VENTE N°10/515 DU 14 AVRIL 2010 + PROTOCOLE D'ACCORD DU 22 OCTOBRE 2010 + AVENANT N°002 DU 16 JANVIER 2012 + CONTRATN°12/0080 DU 05 JUILLET 2012 + AVENANT N°13/012 DU 18 FEVRIER 2013 + CONTRAT N°13/033 DU 25 MARS 2013 + CONTRAT N°13/0081 DU 05 JUILLET 2013 + CONTRAT N°14/0001 DU 07 JANVIER 2014 + AVENANT N°14/0133 DU 28 AOUT 2014 + AVENANT (001) N°14/134 DU 28 AOUT 2014 + ACTE DE NANTISSEMENT AVEC MERCURIA DU 22 AOUT 2014 + CONTRAT N°14/0176 DU 17 DECEMBRE 2014 + AVENANT N°15/0261 DU 26 MAI 2015 + CONTRAT DE PASSAGE N°14/0183 DU 22 DECEMBRE 2014 + PROTOCOLE D'ACCORD N°13/0082 DU 11 JUILLET 2013 + CONTRAT N°15/0169 DU 07 AVRIL 2015 + CONTRAT N°16/0485 DU 17 NOVEMBRE 2016 + AVENANT N°001 AU CONTRAT N°16/485 DU 11 MAI 2018 + AVENANT N°001 DU 11 MAI 2018 + CONTRAT N°22/0067 DU 10 FEVRIER 2022 + CONTRAT DE VENTE N°22/0266 DU 18 MAI 2022 + AVENANT N°22/0393 DU 15 JUILLET 2022 + CONTRAT DE VENTE N°22/0482 DU 15 SEPTEMBRE 2022 + AVENANT N°22/0556 DU 24 OCTOBRE 2022 + AVENANT N°23/0002 DU 05 JANVIER 2023 + AVENANT N°23/0003 DU 05 JANVIER 2023 + CONTRAT DE VENTE N°23/0232 DU 19 AVRIL 2023 + AVENANT N°23/0310 DU 12 JUIN 2023 + CONTRAT DE VENTE SPOT N°23/0244 DU 26 AVRIL 2023 + AVENANT N°23/0160 DU 15 MARS 2023 + CONTRAT D'ACHAT N°23/0476 DU 30 OCTOBRE 2023 +,"ACHAT, VENTE, PASSAGE, STOCKAGE, PRODUIT PETROLIER, OCTOGONE TRADING OIL, OCTOGONE STOCKAGE DE PRODUITS PETROLIERS, OSPP, NANTISSEMENT, SONABHY, MERCURIA","(CONTRAT, AVENANT)","2008, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018, 2022, 2023",DOCESSEN,
