ID,Cote,Intitulé,Période début,Type,Quantité,Fonction,Code fonction,Mots-clés,Types de documents,Date ouverture,Date clôture,Système,Durée conservation,Sort final,Période fin,Observations
13,0010 /GFC,GESTION FINANCIERE ET COMPTABLE: TRANSPORT DE PRODUITS,OCTOBRE 2020,DOSSIER,609 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,25-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
14,0011 /GFC,GESTION FINANCIERE ET COMPTABLE:TRANSPORT DE PRODUITS,NOVEMBRE 2020,DOSSIER,705 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,26-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
15,0012 /GFC,GESTION FINANCIERE ET COMPTABLE:TRANSPORT DE PRODUITS,DECEMBRE 2020,DOSSIER,733 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,TRANSPORT; COMPTABILITE; FINANCE; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,26-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
16,0013 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE JANVIER 2020,JANVIER 2020,DOSSIER,122 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
17,0014 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE FEVRIER 2020,FEVRIER 2020,DOSSIER,84 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
18,0015 /GFC,GESTION FINANCIERE ET COMPTABLE: ACHATS LOCAUX DE MARS 2020,MARS 2020,DOSSIER,69 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
19,0016 /GFC,GESTION FINANCIERE ET COMPTABLE: ACHATS LOCAUX DE AVRIL 2020,AVRIL 2020,DOSSIER,65 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
20,0017 /GFC,GESTION FINANCIERE ET COMPTABLE: ACHATS LOCAUX DE MAI 2020,MAI 2020,DOSSIER,55 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
21,0018 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE JUIN 2020,JUIN 2020,DOSSIER,68 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
22,0019 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE JUILLET 2020,JUILLET 2020,DOSSIER,61 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
23,0020 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE AOUT 2020,AOUT 2020,DOSSIER,54 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
24,0021 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE SEPTEMBRE,SEPTEMBRE 2020,DOSSIER,81 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
25,022 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE OCTOBRE 2020,OCTOBRE 2020,DOSSIER,51 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
26,0023 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE NOVEMBRE 2020,NOVEMBRE 2020,DOSSIER,91 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
27,0024 /GFC,GESTION FINANCIERE ET COMPTABLE:ACHATS LOCAUX DE DECEMBRE 2020,DECEMBRE 2020,DOSSIER,91 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,ACHAT LOCAL; FACTURATION; FINANCE; COMPTABILITE,PIECE COMPTABLE,30-06-2021,31-08-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
28,0025 /GFC,GESTION FINANCIERE ET COMPTABLE: NOTE DE DEBIT DE JANVIER 2020,JANVIER 2020,DOSSIER,1717 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,PIECE COMPTABLE,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
29,0026 /GFC,GESTION FINANCIERE ET COMPTABLE: NOTES DE DEBIT DE FEVRIER,FEVRIER 2020,DOSSIER,2140 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
30,0027 /GFC,GESTION FINANCIERE ET COMPTABLE: NOTES DE DEBIT DE MARS 2020,MARS 2020,DOSSIER,1348 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
31,0028 /GFC,GESTION FINANCIERE ET COMPTABLE: NOTES DE DEBIT DE AVRIL 2020,AVRIL 2020,DOSSIER,1159 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
32,0029 /GFC,GESTION FINANCIERE ET COMPTABLE: NOTES DE DEBIT DE MAI 2020,MAI 2020,DOSSIER,1201 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
33,0030 /GFC,GESTION FINANCIERE ET COMPTABLE: NOTES DE DEBIT DE JUIN 2020,JUIN 2020,DOSSIER,1823 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
34,0031 /GFC,GESTION FINANCIERE ET COMPTABLE:NOTES DE DEBIT DE JUILLET 2020,JUILLET 2020,DOSSIER,1307 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
35,0032 /GFC,GESTION FINANCIERE ET COMPTABLE: NOTES DE DEBIT DE AOUT 2020,AOUT 2020,DOSSIER,1653 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
36,0033 /GFC,GESTION FINANCIERE ET COMPTABLE:NOTES DE DEBIT DE SEPTEMBRE,SEPTEMBRE 2020,DOSSIER,1457 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
37,0034 /GFC,GESTION FINANCIERE ET COMPTABLE:NOTES DE DEBIT DE OCTOBRE 2020,OCTOBRE 2020,DOSSIER,1268 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
38,0035 /GFC,GESTION FINANCIERE ET COMPTABLE:NOTES DE DEBIT DE NOVEMBRE,NOVEMBRE 2020,DOSSIER,1308 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
39,0036 /GFC,GESTION FINANCIERE ET COMPTABLE:NOTES DE DEBIT DE DECEMBRE,DECEMBRE 2020,DOSSIER,1415 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; DEBIT; PRODUIT PETROLIER,NOTE DE DEBIT,30-06-2021,08-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
40,0037 /GFC,GESTION FINANCIERE ET COMPTABLE:FACTURATION DES VENTES DE,JANVIER 2020,DOSSIER,1886 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; FACTURATION; COMPTABILITE; PRODUIT PETROLIER; FINANCE,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
41,0038 /GFC,GESTION FINANCIERE ET COMPTABLE: FACTURATION DES VENTES DE,FEVRIER 2020,DOSSIER,1827 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
42,0039 /GFC,GESTION FINANCIERE ET COMPTABLE: FACTURATION DES VENTES DE,MARS 2020,DOSSIER,1991 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
43,0040 /GFC,GESTION FINANCIERE ET COMPTABLE:FACTURATION DES VENTES DE,AVRIL 2020,DOSSIER,1857 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
44,0041 /GFC,GESTION FINANCIERE ET COMPTABLE:FACTURATION DES VENTES DE,MAI 2020,DOSSIER,1811 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
45,0042 /GFC,GESTION FINANCIERE ET COMPTABLE: FACTURATION DES VENTES DE,JUIN 2020,DOSSIER,1977 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
46,0043 /GFC,GESTION FINANCIERE ET COMPTABLE: FACTURATION DES VENTES DE,JUILLET 2020,DOSSIER,1798 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
47,0044 /GFC,GESTION FINANCIERE ET COMPTABLE:FACTURATION DES VENTES DE,AOUT 2020,DOSSIER,1615 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
48,0045 /GFC,GESTION FINANCIERE ET COMPTABLE:FACTURATION DES VENTES DE,SEPTEMBRE 2020,DOSSIER,1826 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
49,0046 /GFC,GESTION FINANCIERE ET COMPTABLE: FACTURATION DES VENTES DE,OCTOBRE 2020,DOSSIER,1641 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
50,0047 /GFC,GESTION FINANCIERE ET COMPTABLE: FACTURATION DES VENTES DE,NOVEMBRE 2020,DOSSIER,1796 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
51,0048 /GFC,GESTION FINANCIERE ET COMPTABLE:FACTURATION DES VENTES DE,DECEMBRE 2020,DOSSIER,1988 PIECES,ASSURER LA GESTION FINANCIERE ET COMPTABLE,GFC,VENTE; COMPTABILITE; FINANCE; PRODUIT PETROLIER; FACTURATION,FACTURE,30-06-2021,16-09-2022,NON,10ANS,CONSERVATION DEFINITIVE,,
52,0049/GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK:DEMANDE DE,JANVIER 2020,DOSSIER,21 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,21-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
53,0050/GFC,GESTION FINANCIERE ET COMPTABLE :CORIS BANK : DEMANDE DE,FEVRIER  2020,DOSSIER,27 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,21-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
54,0051 /GFC,GESTION FINANCIERE ET COMPTABLE :CORIS BANK:DEMANDE DE,MARS 2020,DOSSIER,35 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,21-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
55,0052 /GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK:DEMANDE DE,AVRIL 2020,DOSSIER,24 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,21-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
56,0053 /GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK:DEMANDE DE,MAI 2020,DOSSIER,28 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
57,0054 /GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK:DEMANDE DE,JUIN 2020,DOSSIER,37 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
58,0055 /GFC,GESTION FINANCIERE ET COMPTABLE :CORIS BANK:DEMANDE DE,JUILLET 2020,DOSSIER,30 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
59,0056 /GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK:DEMANDE DE,AOUT 2020,DOSSIER,31 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
60,0057 /GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK :DEMANDE DE,SEPTEMBRE 2020,DOSSIER,41 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
61,0058 /GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK :DEMANDEDE,OCTOBRE 2020,DOSSIER,34 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
62,0059 /GFC,GESTION FINANCIERE ET COMPTABLE :CORIS BANK :DEMANDE DE,NOVEMBRE 2020,DOSSIER,36 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
63,0060 /GFC,GESTION FINANCIERE ET COMPTABLE : CORIS BANK:DEMANDE DE,DECEMBRE 2020,DOSSIER,26 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; CORIS BANK; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
64,0061 /GFC,GESTION FINANCIERE ET COMPTABLE :BSIC:DEMANDE DE VIREMENT,JANVIER 2020,DOSSIER,2 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
65,0062 /GFC,GESTION FINANCIERE ET COMPTABLE :BSIC:DEMANDE DE VIREMENT,FEVRIER 2020,DOSSIER,7 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
66,0063 /GFC,GESTION FINANCIERE ET COMPTABLE :BSIC:DEMANDE DE VIREMENT,MARS 2020,DOSSIER,6 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
67,0064 /GFC,GESTION FINANCIERE ET COMPTABLE :BSIC:DEMANDE DE VIREMENT,AVRIL 2020,DOSSIER,7 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
68,0065 /GFC,GESTION FINANCIERE ET COMPTABLE : BSIC:DEMANDE DE VIREMENT,MAI 2020,DOSSIER,4 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
69,0066 /GFC,GESTION FINANCIERE ET COMPTABLE : BSIC:DEMANDE DE VIREMENT,JUIN 2020,DOSSIER,10 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
70,0067 /GFC,GESTION FINANCIERE ET COMPTABLE : BSIC:DEMANDE DE VIREMENT,JUILLET 2020,DOSSIER,8 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
71,0068 /GFC,GESTION FINANCIERE ET COMPTABLE :BSIC:DEMANDE DE VIREMENT,AOUT 2020,DOSSIER,3 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
72,0069 /GFC,GESTION FINANCIERE ET COMPTABLE : BSIC:DEMANDE DE VIREMENT,SEPTEMBRE 2020,DOSSIER,7 PIECES,GESTION FINANCIERE ET COMPTABLE,GFC,VIREMENT; COMPTABILITE; BSIC; FINANCE,ORDRE DE VIREMENT; PIECE COMPTABLE,30-06-2021,23-09-2022,NON,10 ANS,CONSERVATION DEFINITIVE,,
