ref,titre,contenu,analyse_diplomatique,annee
0015/FRP,Factures de ventes de produits pétroliers ECO OIL BURKINA janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, ECO OIL BURKINA","(FACTURE, NOTE DE DEBIT, NOTE DE CREDIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 280 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0016/FRP,Factures de ventes de produits pétroliers ELIKAN janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, ELIKAN","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 261 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0017/FRP,Factures de ventes de produits pétroliers ACCESS OIL janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, ACCESS OIL","(FACTURE) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 224 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0018/FRP,Factures de ventes de produits pétroliers SGE janvier à novembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SGE","(FACTURE) MOIS : JANVIER-NOVEMBRE,",2010 OBSERVATIONS  : 138 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0019/FRP,Factures de ventes de produits pétroliers PEFAN SA janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, PEFAN","(FACTURE) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 131 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0020/FRP,Factures de ventes de produits pétroliers société EBOMAF janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SOCIETE EBOMAF","(FACTURE) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 73 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0021/FRP,Factures de ventes de produits pétroliers entreprise OUMAROU KANAZOE janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, ENTREPRISE OUMAROU KANAZOE","(FACTURE) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 70 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0022/FRP,Factures de ventes de produits pétroliers ETAT MAJOR GENERAL DES ARMEES janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, ETAT MAJOR GENERAL DES ARMEES","(FACTURE) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 69 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0023/FRP,Factures de ventes de produits pétroliers SONABHY janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SONABHY","(FACTURE, NOTE DE DEBIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 72 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0024/FRP,Factures de ventes de produits pétroliers PETRO GULMU février à novembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, PETRO GULMU","(FACTURE, NOTE DE CREDIT) MOIS : FEVRIER-NOVEMBRE,",2010 OBSERVATIONS  : 43 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0025/FRP,Factures de ventes de produits pétroliers PETROLUB janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, PETROLUB","(FACTURE) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 34 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0026/FRP,Factures de ventes de produits pétroliers SOCIETE PETRO AFRIQUE 2010 - 2011,"FACTURATION, VENTE, PRODUIT PETROLIER, PETRO AFRIQUE",(FACTURE),20102011 OBSERVATIONS  : 27 pièces (2010) + 2 PIECES (2011) PASSAGE GED   : NON SORT FINAL : ELIMINATION
0027/FRP,Factures de ventes de produits pétroliers CPCI INTERNATIONAL janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, CPCI INTERNATIONAL","(FACTURE, NOTE DE DEBIT, NOTE DE CREDIT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 49 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0028/FRP,Factures de ventes de produits pétroliers MEGA ENERGIE SA décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, MEGA ENERGIE","(FACTURE) MOIS : DECEMBRE,",2010 OBSERVATIONS  : 18 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0029/FRP,Factures de ventes de produits pétroliers SOPEK INTERNATIONAL juin à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SOPEK INTERNATIONAL","(FACTURE) MOIS : JUIN-DECEMBRE,",2010 OBSERVATIONS  : 09 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0030/FRP,Factures de ventes de produits pétroliers TOTAL MALI janvier à décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, TOTAL MALI","(FACTURE) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 11 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0031/FRP,Factures de ventes de produits pétroliers AFRIQUE OIL MALI avril 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, AFRIQUE OIL MALI","(FACTURE) MOIS : AVRIL,",2010 OBSERVATIONS  : 02 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0032/FRP,Factures de ventes de produits pétroliers SOYATT MALI avril 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SOYATT MALI","(FACTURE) MOIS : AVRIL,",2010 OBSERVATIONS  : 01 pièce PASSAGE GED   : NON SORT FINAL : ELIMINATION
0033/FRP,Factures de ventes de produits pétroliers PETRO BURKINA PLUS décembre 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, PETRO BURKINA PLUS","(FACTURE) MOIS : DECEMBRE,",2010 OBSERVATIONS  : 01 pièce PASSAGE GED   : NON SORT FINAL : ELIMINATION
0034/FRP,Factures de ventes de produits pétroliers SAMPANA SA janvier 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SAMPANA SA","(FACTURE) MOIS : JANVIER,",2010 OBSERVATIONS  : 01 pièce PASSAGE GED   : NON SORT FINAL : ELIMINATION
0035/FRP,Factures de ventes de produits pétroliers SOCIETE LAMINE YARA 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SOCIETE LAMINE YARA",(FACTURE),2010 OBSERVATIONS  : 04 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0036/FRP,Factures de ventes de produits pétroliers SOCIETE MALI BAMAGO janvier 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, SOCIETE MALI BAMAGO","(FACTURE) MOIS : JANVIER,",2010 OBSERVATIONS  : 01 pièce PASSAGE GED   : NON SORT FINAL : ELIMINATION
0037/FRP,Factures de ventes de produits pétroliers LAH & FLIS BAMAGO janvier 2010,"FACTURATION, VENTE, PRODUIT PETROLIER, LAH & FLIS BAMAGO","(FACTURE) MOIS : JANVIER,",2010 OBSERVATIONS  : 01 pièce PASSAGE GED   : NON SORT FINAL : ELIMINATION
0038/FRP,Mouvements des stocks de produits pétroliers sorties dépôt de bingo janvier à décembre 2010,"STOCK, PRODUIT PETROLIER, DEPOT DE BINGO","(ETAT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 401 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0039/FRP,Mouvements des stocks de produits pétroliers sorties dépôt de bobo janvier à décembre 2010,"STOCK, PRODUIT PETROLIER, DEPOT DE BOBO","(ETAT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 447 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0040/FRP,Etats des réceptions de produits pétroliers sorties dépôt de bingo janvier à décembre 2010,"RECEPTION, PRODUIT PETROLIER, STOCK, DEPOT DE BINGO","(ETAT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 238 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0041/FRP,Etats des réceptions de produits pétroliers sorties dépôt de bobo janvier à décembre 2010,"RECEPTION, PRODUIT PETROLIER, STOCK, DEPOT DE BOBO","(ETAT) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 151 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0042/FRP,Etats récapitulatifs des sorties de produits pétroliers dépôt de bingo janvier à décembre 2010,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO","(ETAT RECAPITULATIF) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 537 pièces PASSAGE GED   : OUI SORT FINAL : ELIMINATION
0043/FRP,Etats récapitulatifs des sorties de produits pétroliers dépôt de bobo janvier à décembre 2010,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO","(ETAT RECAPITULATIF) MOIS : JANVIER-DECEMBRE,",2010 OBSERVATIONS  : 512 pièces PASSAGE GED   : OUI SORT FINAL : ELIMINATION
0044/FRP,Notes de débit de produits pétroliers n° 001 à 235 2010,"FACTURATION, VENTE , PRODUIT PETROLIER",(NOTE DE DEBIT),"2010 OBSERVATIONS  : 234 pièces (manquants: n° 111, 128, 129, 130, 132, 176) PASSAGE GED   : NON SORT FINAL : ELIMINATION"
0045/FRP,Bordereaux de remise chèques ECO OIL BURKINA 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, ECO OIL BURKINA",(BORDEREAU),2010 OBSERVATIONS  : 23 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0046/FRP,Bordereaux de remise chèques LIBYA OIL BURKINA 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, LIBYA OIL BURKINA",(BORDEREAU),2010 OBSERVATIONS  : 08 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0047/FRP,Bordereaux de remise chèques ECODIS 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, ECODIS",(BORDEREAU),2010 OBSERVATIONS  : 43 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0048/FRP,Bordereaux de remise chèques SOCIETE GENERALE DE L'EST 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, SOCIETE GENERALE DE L'EST",(BORDEREAU),2010 OBSERVATIONS  : 37 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0049/FRP,Bordereaux de remise chèques ELIKAN 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, ELIKAN",(BORDEREAU),2010 OBSERVATIONS  : 37 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0050/FRP,Bordereaux de remise chèques OTAM 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, OTAM",(BORDEREAU),2010 OBSERVATIONS  : 19 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0051/FRP,Bordereaux de remise chèques SOGEL BURKINA 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, SOGEL BURKINA",(BORDEREAU),2010 OBSERVATIONS  : 18 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0052/FRP,Bordereaux de remise chèques ACCESS OIL SA 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, ACCESS OIL",(BORDEREAU),2010 OBSERVATIONS  : 40 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0053/FRP,Bordereaux de remise chèques ORYX BURKINA 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, ORYX BURKINA BURKINA",(BORDEREAU),2010 OBSERVATIONS  : 38 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0054/FRP,Bordereaux de remise chèques PETRO GULMU 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, PETRO GULMU",(BORDEREAU),2010 OBSERVATIONS  : 12 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0055/FRP,Bordereaux de remise chèques PETRODIS 2010,"REGLEMENT, VENTE , PRODUIT PETROLIER, PETRODIS",(BORDEREAU),2010 OBSERVATIONS  : 53 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0056/FRP,Situation des comtes clients 2010,"REGLEMENT, CLIENT, VENTE , PRODUIT PETROLIER",(ETAT),2010 OBSERVATIONS  : 51 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0057/FRP,Caution de garantie de paiement clients 2010-2011,"REGLEMENT, CLIENT, VENTE , PRODUIT PETROLIER, GARANTIE",(CAUTION DE GARANTIE),2010-2011 OBSERVATIONS  : 51 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0058/FRP,Mouvements de stocks de produits pétroliers 2010,"RECEPTION, SORTIE, STOCK, PRODUIT PETROLIER, DEPOT DE BINGO, DEPOT DE BOBO",(ETAT),2010 OBSERVATIONS  : 461 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0059/FRP,Mouvements de stocks de produits pétroliers 2011,"RECEPTION, SORTIE, STOCK, PRODUIT PETROLIER, DEPOT DE BINGO, DEPOT DE BOBO",(ETAT),2011 OBSERVATIONS  : 43 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0060/FRP,Factures de vente de produits pétroliers 2011,"FACTURATION, VENTE, PRODUIT PETROLIER",(FACTURE),2011 OBSERVATIONS  : 50 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0061/FRP,Notes de débit de vente de produits pétroliers 2011,"FACTURATION, VENTE, PRODUIT PETROLIER",(NOTE DE DEBIT),2011 OBSERVATIONS  : 262 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0062/FRP,Notes de crédit de vente de produits pétroliers 2011,"FACTURATION, VENTE, PRODUIT PETROLIER",(NOTE DE CREDIT),2011 OBSERVATIONS  : 20 pièces PASSAGE GED   : NON SORT FINAL : ELIMINATION
0001/APP,GESTION DES ACHATS: SITUATION DES STOCKS: ETAT DE MISE EN ENTREPOT DE LA SONACOP DE 2010,"STOCK, PRODUIT PETROLIER, ENTREPOT FICTTIF, SONACOP",(ETAT),2010 OBSERVATIONS  : 04 PIECES PASSAGE GED   : NON SORT FINAL : ELIMINATION
0002/APP,PLANIFICATION DES BESOINS: SITUATION ET ETAT DES STOCKS DE PRODUITS PETROLIERS PAR DEPOT DE L'ANNEE 2010,"STOCK, PRODUIT PETROLIER, DEPOT COTIER",(ETAT),2010 OBSERVATIONS  : 09 PIECES PASSAGE GED   : NON SORT FINAL : ELIMINATION
0003/APP,PLANIFICATION DES BESOINS: SITUATION ET ETAT DES STOCKS DE PRODUITS PETROLIERS PAR DEPOT DE L'ANNEE 2011,"STOCK, PRODUIT PETROLIER, COEFFICENT MOYEN, DEPOT COTIER, PLANNING, STSL, SONACOP, ORYX BURKINA","(ETAT) DATE EXTREME  : 2010-2011,",2010-2011 OBSERVATIONS  : 30 PIECES PASSAGE GED   : NON SORT FINAL : ELIMINATION
0004/APP,LANIFICATION DES BESOINS: SITUATION ET ETAT DES STOCKS DE PRODUITS PETROLIERS PAR DEPOT DE L'ANNEE 2011,"STOCK, PRODUIT PETROLIER, DEPOT COTIER","(ETAT) DATE EXTREME  : 2012,",2012 OBSERVATIONS  : 20 PIECES PASSAGE GED   : NON SORT FINAL : ELIMINATION
0086/FRP,"GESTION DES COMMANDES: BON DE COMMANDE DE PRODUITS PETROLIERS DE KANAZOE ET FREZRES, TOTAL BURKINA ET AMBASSADE DES ETATS UNIS","COMMANDE, PRODUIT PETROLIER, KANAZOE ET FRERES, AMBASSADE DES ETATS UNIS","(BON DE COMMANDE) DATE EXTREME  : 2010,",2010 OBSERVATIONS  : 03 PIECES PASSAGE GED   : NON SORT FINAL : ELIMINATION
