reference,code,titre,contenu,analyse,date
00001,0001/MS,TRAVAUX SUPPLEMENTAIRES SUR L'ENTRETIEN DECENNAL DU DEPOT DE BINGO PAR EERI-BF ,"ENTRETIEN DECENNAL, EERI-BF, DEPOT DE BINGO ","(CORRESPONDANCE, RAPPORT, ETAT)","2009-2010,"
00032,0031/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier avril 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: AVRIL, ANNEE;: 2010 OBSERVATIONS  : 108 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",11 - 20
00033,0032/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier mai 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: MAI, ANNEE;: 2010 OBSERVATIONS  : 101 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",01 - 10
00034,0033/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier octobre 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: OCTOBRE, ANNEE;: 2010 OBSERVATIONS  : 112 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",01 - 10
00035,0034/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier novembre 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: NOVEMBRE, ANNEE;: 2010 OBSERVATIONS  : 104 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",01 - 10
00036,0035/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier novembre 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: NOVEMBRE, ANNEE;: 2010 OBSERVATIONS  : 106 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",11 - 20
00037,0036/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier novembre 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: NOVEMBRE, ANNEE;: 2010 OBSERVATIONS  : 110 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",21 - 30
00038,0037/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier décembre 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: DECEMBRE, ANNEE;: 2010 OBSERVATIONS  : 112 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",01 - 10
00039,0038/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier décembre 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: DECEMBRE, ANNEE;: 2010 OBSERVATIONS  : 107 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",11 - 20
00040,0039/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier décembre 2010 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: DECEMBRE, ANNEE;: 2010 OBSERVATIONS  : 41 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",21 - 30
00041,0040/STO,Bordereaux de livraison de produit pétrolier janvier 2011 ,"LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: JANVIER, ANNEE;: 2011 OBSERVATIONS  : 72 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ",(BORDEREAU DE LIVRAISON),01 - 30
00042,0041/STO,Bons d'enlèvement & bordereaux de livraison de produit pétrolier avril 2011 ,"ENLEVEMENT, LIVRAISON, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: AVRIL, ANNEE;: 2011 OBSERVATIONS  : 100 documents PASSAGE GED   : NON SORT FINAL;: ELIMINATION ","(BON D'ENLEVEMENT, BORDEREAU DE LIVRAISON)",01 - 30
00043,0042/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO JANVIER 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: JANVIER, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00044,0043/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO FEVRIER 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: FEVRIER, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00045,0044/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO MARS 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: MARS, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00046,0045/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO AVRIL 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: AVRIL, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00047,0046/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO MAI 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: MAI, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00048,0047/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO JUIN 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: JUIN, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00049,0048/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO JUILLET 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: JUILLET, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00050,0049/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO AOUT 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: AOUT, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00051,0050/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO SEPTEMBRE 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: SEPTEMBRE, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00052,0051/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO OCTOBRE 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: OCTOBRE, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00053,0052/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO NOVEMBRE 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: NOVEMBRE, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00054,0053/STO,ETATS RECAPITULATIFS DES SORTIES GAZ DEPOT DE BINGO DECEMBRE 2012 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: DECEMBRE, ANNEE;: 2012 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT RECAPITULATIF),"2012,"
00055,0054/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO JANVIER 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: JANVIER, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00056,0055/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO FEVRIER 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: FEVRIER, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00057,0056/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO MARS 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: MARS, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00058,0057/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO AVRIL 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: AVRIL, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00059,0058/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO MAI 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: MAI, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00060,0059/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO JUIN 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: JUIN, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00061,0060/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO JUILLET 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: JUILLET, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00062,0061/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO AOUT 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: AOUT, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00063,0062/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO SEPTEMBRE 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: SEPTEMBRE, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00064,0063/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO OCTOBRE 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: OCTOBRE, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00065,0064/STO,ETATS DECADAIRES DES RECEPTIONS DE PRODUITS PETROLIERS DEPOT DE BINGO NOVEMBRE 2011 ,"RECEPTION, PRODUIT PETROLIER, DEPOT DE BINGO MOIS;: NOVEMBRE, ANNEE;: 2011 PASSAGE GED   : OUI SORT FINAL;: DESTRUCTION ",(ETAT DECADAIRE),"2011,"
00066,0065/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO JANVIER 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: JANVIER, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00067,0066/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO FEVRIER 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: FEVRIER, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00068,0067/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO MARS 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: MARS, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00069,0068/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO AVRIL 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: AVRIL, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00070,0069/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO MAI 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: MAI, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00071,0070/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO JUIN 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: JUIN, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00072,0071/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO JUILLET 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: JUILLET, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00073,0072/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO AOUT 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: AOUT, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00074,0073/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO SEPTEMBRE 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: SEPTEMBRE, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00075,0074/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO OCTOBRE 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: OCTOBRE, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00076,0075/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO NOVEMBRE 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: NOVEMBRE, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00077,0076/STO,ETATS JOURNALIERS DES SORTIES DE PRODUITS PETROLIERS DEPOT DE BOBO DECEMBRE 2011 ,"SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: DECEMBRE, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT JOURNALIER),"2011,"
00078,0077/STO,MOUVEMENT DES STOCKS DE PRODUITS PETROLIERS DEPOT DE BOBO JANVIER 2011 ,"RECEPTION, SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: JANVIER, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT ),"2011,"
00079,0078/STO,MOUVEMENT DES STOCKS DE PRODUITS PETROLIERS DEPOT DE BOBO FEVRIER 2011 ,"RECEPTION, SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: FEVRIER, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT ),"2011,"
00080,0079/STO,MOUVEMENT DES STOCKS DE PRODUITS PETROLIERS DEPOT DE BOBO MARS 2011 ,"RECEPTION, SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: MARS, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT ),"2011,"
00081,0080/STO,MOUVEMENT DES STOCKS DE PRODUITS PETROLIERS DEPOT DE BOBO AVRIL 2011 ,"RECEPTION, SORTIE, PRODUIT PETROLIER, DEPOT DE BOBO MOIS;: AVRIL, ANNEE;: 2011 PASSAGE GED   : NON SORT FINAL;: DESTRUCTION ",(ETAT ),"2011,"
