ID,Cote,Titre,Contenu Dossier,Analyse Diplomatique,Date Extrême,Année,Passage GED,Sort Finale
00021,0020/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR D.K. BURKINA 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , D.K. BURKINA, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00022,0021/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR AMANDINE SERVICE 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , AMANDINE SERVICE, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00023,0022/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ARKO IMPRIMERIE 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , ARKO IMPRIMERIE , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00024,0023/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR TECHNIFEU 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , TECHNIFEU, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00025,0024/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR GIBCACI-B DIVISION 2010,"APPEL D'OFFRE , CONSOMMABLE INFORMATIQUE , GIBCACI-B DIVISION, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00026,0025/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR AFRICA MOTORS 2010,"APPEL D'OFFRE , VEHICULE, AFRICA MOTORS , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00027,0026/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR DIACFA AUTO 2010,"APPEL D'OFFRE , VEHICULE, DIACFA AUTOMOBILES, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00028,0027/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR MEGA TECH 2010,"APPEL D'OFFRE , VEHICULE, MEGA TECH, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00029,0028/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR SEAB 2010,"APPEL D'OFFRE , VEHICULE, SEAB, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00030,0029/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR CFAO MOTORS BURKINA 2010,"APPEL D'OFFRE , VEHICULE, CFAO MOTORS BURKINA , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00031,0030/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR SOCOMEX 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , SOCOMEX, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00032,0031/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR KAROL INTERNATIONAL 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , KAROL INTERNATIONAL, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00033,0032/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR HSF SERVICE 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , HSF SERVICE , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00034,0033/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR EERI-BF 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , EERI-BF , SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00035,0034/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR DIACFA 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , DIACFA, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00036,0035/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LA FOURNITURE CINQ FUTS D'EMULSEUR DE 1000 LITTRES PAR STEA 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , STEA, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00037,0035/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LA FOURNITURE CINQ FUTS D'EMULSEUR DE 1000 LITTRES PAR STEA 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , STEA, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00038,0036/GRM,TITRE/DOSSIER : DOSSIER D'APPEL D'OFFRES POUR LA FOURNITURE CINQ FUTS D'EMULSEUR DE 1000 LITTRES PAR AFRIQUE - ECO 2010,"APPEL D'OFFRE , FOURNITURE DE BUREAU , AFRIQUE ECO, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00039,0037/GRM,"TITRE/DOSSIER : FOURNITURE DE FLESCIBLES, CLES TRICOISES ET POTES A JAUGER PAR STEA 2010","APPEL D'OFFRE , FLEXIBLE , STEA, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00040,0038/GRM,TITRE/DOSSIER : FOURNITURE DE CAPSULES POUR ROBINETS ET CLAPETS PAR STEA 2010,"APPEL D'OFFRE , CAPSULE, ROBINET, CLAPET, STEA, SONABHY","(OFFRE FINANCIERE, OFFRE TECHNIQUE )",,2010,,
00041,0039/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR FASO KANU 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, SONABHY",(CORRESPONDANCE),,2010,,
00042,0040/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR SEFCO 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, SEFCO, SONABHY",,,2010,,
00043,0040/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR SEFCO 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, SEFCO, SONABHY",,,2010,,
00044,0041/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AGENCE PERSPECTIVE 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, AGENCE PERSPECTIVE, SONABHY",,,2010,,
00045,0042/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR ARCHI CONSULT 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, ARCHI CONSULT, SONABHY",,,2010,,
00046,0043/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR BECCO 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, BECCO, SONABHY",,,2010,,
00047,0044/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AGE 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, AGE, SONABHY",,,2010,,
00048,0045/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AGEIM 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, AGEIM, SONABHY",,,2010,,
00049,0046/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR MISSION D'ETUDES ET DE MAITRISE D'OUVRAGE 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, MCMO, SONABHY",,,2010,,
00050,0047/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR CETIS 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, CETIS, SONABHY",,,2010,,
00051,0048/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR SATA AFRIQUE 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, SATA AFRIQUE, SONABHY",,,2010,,
00052,0049/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AG.I.R 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, AG.I.R, SONABHY",,,2010,,
00053,0050/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR PC-BAT BURKINA 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, PC- BAT BURKINA , SONABHY",,,2010,,
00054,0052/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR LOUIS BERGER 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, LOUIS BERGER , SONABHY",,,2010,,
00055,0053/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR ARCADE 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, ARCADE, SONABHY",,,2010,,
00056,0054/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR ETICOB 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, ETICOB, SONABHY",,,2010,,
00057,0056/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AICET 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, AICET, SONABHY",,,2010,,
00058,0057/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR CARURE 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, CARURE, SONABHY",,,2010,,
00059,0059/GRM,"TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR SEREIN 2010","MANIFESTATION D'INTERET , REHABILITATION, INFRASTRUCTURE, SEREIN, SONABHY",,,2010,,
00060,0060/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR TOTAL 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, TOTAL, SONABHY",,,2010,,
00061,0061/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR SEFCO 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, SEFCO, SONABHY",,,2010,,
00062,0062/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR PARLYM 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, PARLYM, SONABHY",,,2010,,
00063,0063/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR GENIVAR 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, GENIVAR, SONABHY",,,2010,,
00064,0064/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR AGENCE PERSPECTIVE 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, AGENCE PERSPECTIVE, SONABHY",,,2010,,
00065,0065/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR AGENCE KHEOPS 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, AGENCE KHEOPS, SONABHY",,,2010,,
00066,0066/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR CARURE 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, CARURE , SONABHY",,,2010,,
00067,0067/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR GROUPEMENT CONSULT - GTAM 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, CONSULT GTAM , SONABHY",,,2010,,
00068,0068/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR PC - BAT-BURKINA 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, PC-BAT -BURKINA , SONABHY",,,2010,,
00069,0069/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR ARDI 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, ARDI, SONABHY",,,2010,,
00070,0070/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR SATA AFRIQUE 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, SATA AFRIQUE , SONABHY",,,2010,,
00071,0071/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR BEM 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, BEM, SONABHY",,,2010,,
00072,0072/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR INTER - PLAN 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, INTER - PLAN , SONABHY",,,2010,,
00073,0073/GRM,TITRE/DOSSIER : MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR ETICOB 2010,"MANIFESTATION D'INTERET , ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, ETICOB, SONABHY",,,2010,,
00074,0074/GRM,TITRE/DOSSIER : DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR DIACFA 2010,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, DIACFA, SONABHY",,,2010,,
00075,0075/GRM,TITRE/DOSSIER : DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR E.L.F 2010,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, E.L.F SERVICE , SONABHY",,,2010,,
00076,0076/GRM,TITRE/DOSSIER : DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PARFOF ELECTRONIQUE 2010,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, FOF ELECTRONIQUE , SONABHY",,,2010,,
00077,0077/GRM,TITRE/DOSSIER : DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR STEA 2010,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, STEA, SONABHY",,,2010,,
00078,0078/GRM,TITRE/DOSSIER : DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR GNAKENE MOUSTAPHA TECHNO 2010,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, GNAKENE MOUSTAPHA, SONABHY",,,2010,,
00079,0079/GRM,TITRE/DOSSIER : DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR D.K. BURKINA 2010,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, D.K BURKINA, SONABHY",,,2010,,
00080,0080/GRM,"TITRE/DOSSIER : DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR EKAF 2010","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, EKAF, SONABHY",,,2010,,
00081,0081/GRM,"TITRE/DOSSIER : DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR UNISTAR 2010","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, UNISTAR, SONABHY",,,2010,,
