ID,Code,Titre_dossier,CONTENU,Analyse_diplomatique,DATE,Numeros_pieces,OBSERVATIONS,Passage_GED,Base_GED,Sort_final
00032,0032/SP,TRAITEMENT DES SALAIRES SEPTEMBRE - DECEMBRE 2005,"PAIE, RESSOURCE HUMAINE",(JUSTIFICATIFS DE SALAIRE),"SEPTEMBRE-DECEMBRE, 2005",,,,,
00033,0033/SP,VIREMENT DES SALAIRES 2001-2002,"PAIE, PERSONNEL",(CORRESPONDANCE),2001-2002,,,,,
00034,0034/SP,VIREMENT DES SALAIRES 2003-2004,"PAIE, PERSONNEL",(CORRESPONDANCE),,,,,,
00035,0035/SP,VIREMENT DES SALAIRES 2005,"PAIE, PERSONNEL",(CORRESPONDANCE),2005,,,,,
00036,0036/SP,VIREMENT DES SALAIRES 2001-2002,"PAIE, PERSONNEL",(CORRESPONDANCE),2001-2002,,,,,
00037,0037/SP,VIREMENT DES SALAIRES 2004-2005,"PAIE, PERSONNEL",(CORRESPONDANCE),2004-2005,,,,,
00038,0038/SP,AUTRES VIREMENTS ; RAPPELS SUR NOTATIONS ; LIQUIDATION DE DROITS ; RAPPEL PRIME D'ANCIENNETE ; RAPPEL AUGMENTATION DE SALAIRE ; RAPPEL AUGEMENTATION D'INDEMNITE 2000-2009,"RESSOURCE HUMAINE, NOTATION, INDEMNITE, PRIME D'ANCIENNETE, SALAIRE, AUGMENTATION, LIQUIDATION DE DROITS","(CORRESPONDANCE, ETAT DE RAPPEL)",2000-2009,,,,,
00039,0039/SP,REVERSEMENT CNSS ; IUTS 2001-2003,"RETENUE CNSS, RETENUE IUTS, PERSONNEL",(ETAT DE REVERSEMENT),2001-2003,,,,,
00040,0040/SP,FICHES DE FORMATION DU PERSONNEL 2000,"FORMATION, PERSONNEL",(FICHE),2000,,,,,
00041,0041/SP,NOTES DE SERVICE 2000-2002,"ADMINISTRATION , PERSONNEL",(NOTE DE SERVICE),2000-2002,,,,,
00042,0042/SP,NOTES DE SERVICE 2003-2004,"ADMINISTRATION, PERSONNEL",(NOTE DE SERVICE),2003-2004,,,,,
00043,0043/SP,NOTES DE SERVICE 2005,"ADMINISTRATION, PERSONNEL",(NOTE DE SERVICE),2005,,,,,
00044,0044/SP,"DECISIONS 2000, 2001, 2002","ADMINISTRATION, PERSONNEL",(DOCUMENT LEGISLATIF),2000-2002,,,,,
00045,0045/SP,FICHES INDIVIDUELLES DU PERSONNEL 2000-2001,"PAIE, PERSONNEL",(FICHE),2000-2001,,,,,
00046,0046/SP,FICHES INDIVIDUELLES DE PAIE AGENTS BOBO 2001-2005,"PAIE, PERSONNEL, BOBO",(FICHE),2001-2005,,,,,
00047,0047/SP,ORDRES DE MISSION DES AGENTS SONABHY,"MISSION, PERSONNEL",(ORDRE DE MISSION),2000-2002,,,,,
00048,0048/SP,ORDRES DE MISSION DES AGENTS SONABHY,"MISSION, PERSONNEL",(ORDRE DE MISSION),2003-2004,,,,,
00049,0049/SP,ORDRES DE MISSION DES AGENTS SONABHY,"MISSION, PERSONNEL",(ORDRE DE MISSION),2004-2005,,,,,
00050,0050/SP,VIREMENT AIDE A L'EQUIPEMENT POUR LE PERSONNEL,"AIDE A L'EQUIPEMENT, PERSONNEL",(CORRESPONDANCE),2003-2004,,,,,
00051,0051/SP,CREDITS AU PERSONNEL DE LA SONABHY,"CREDIT, PERSONNEL",(ETAT),2003-2004,,,,,
00052,0052/SP,ORDRES DE PAIEMENT AUX JOURNALIERS ET CONTRACTUELS,"PAIEMENT, JOURNALIER, CONTRACTUEL",(ORDRE DE PAIEMENT),2004-2005,,,,,
00053,0053/SP,LIVRE DE PAIE 2000-2001,"PAIE, PERSONNEL",(LIVRE DE PAIE),2000-2001,,,,,
00054,0054/SP,LIVRE DE PAIE 2000-2001,"PAIE, PERSONNEL",(LIVRE DE PAIE),"2000-2001,",,,,,
00055,0055/SP,LIVRE DE PAIE 2000-2003,"PAIE, PERSONNEL",(LIVRE DE PAIE),2000-2003,,,,,
00056,0056/SP,DEMANDES DE STAGE 2000,STAGE DE FORMATION,(CORRESPONDANCE),2000,,,,,
00057,0057/SP,DEMANDE DE STAGE 2001,STAGE DE FORMATION,(CORRESPONDANCE),2001,,,,,
00058,0058/SP,DEMANDES DE STAGE 2002,STAGE DE FORMATION,(CORRESPONDANCE),2002,,,,,
00059,0059/SP,DEMANDES DE STAGE 2003,STAGE DE FORMATION,(CORRESPONDANCE),2003,,,,,
00060,0060/SP,DEMANDES DE STAGE 2004-2005,STAGE DE FORMATION,(CORRESPONDANCE),2004-2005,,,,,
00061,0061/SP,DEMANDES D'EMPLOI 2001-2002,EMPLOI,(CORRESPONDANCE),2001-2002,,,,,
00062,0062/SP,DEMANDE D'EMPLOI 2003-2004,EMPLOI,(CORRESPONDANCE),2003-2004,,,,,
00063,0063/SP,DEMANDES D'EMPLOI 2005,EMPLOI,(CORRESPONDANCE),2005,,,,,
00064,0064/SP,COURRIER DEPART 2000-2001,"COURRIER, PERSONNEL",(CORRESPONDANCE),2000-2001,,,,,
00065,0065/SP,COURRIER DEPART 2002-2003,"COURRIER, PERSONNEL",(CORRESPONDANCE),2002-2003,,,,,
00066,0066/SP,COURRIER DEPART 2003-2004,"COURRIER, PERSONNEL",(CORRESPONDANCE),"2003-2004,",,,,,
00067,0067/SP,COURRIER DEPART 2004,"COURRIER, PERSONNEL",(CORRESPONDANCE),2004,,,,,
00068,0068/SP,COURRIER DEPART 2005,"COURRIER, PERSONNEL",(CORRESPONDANCE),2005,,,,,
00069,0069/SP,COURRIER ARRIVEE 2000-2002,"COURRIER, PERSONNEL",(CORRESPONDANCE),2000-2002,,,,,
00070,0070/SP,COURRIER ARRIVEE 2003,"COURRIER, PERSONNEL",(CORRESPONDANCE),2003,,,,,
00071,0071/SP,COURRIER ARRIVEE EXTERNE 2004,"COURRIER, PERSONNEL",(CORRESPONDANCE),2004,,,,,
00072,0072/SP,COURRIER ARRIVEE EXTERNE 2005,"COURRIER, PERSONNEL",(CORRESPONDANCE),2005,,,,,
00073,0073/SP,COURRIER DU DAF AU DIRECTEUR GENERAL 2000-2001,"COURRIER, PERSONNEL",(CORRESPONDANCE),2000-2001,,,,,
00074,0074/SP,COURRIER ARRIVEE DU DAF AU DIRECTEUR GENERAL 2002-2003,"COURRIER, PERSONNEL",(CORRESPONDANCE),2002-2003,,,,,
00075,0075/SP,FAX ARRIVEE ET DEPART 2000-2003,"TELECOPIE, PERSONNEL",(CORRESPONDANCE),2000-2003,,,,,
00076,0076/SP,DOCUMENTS DE BASE POUR LA PAIE 2000,"PAIE, PERSONNEL",(DOCUMENT DE BASE),2000,,,,,
00077,0077/SP,DEMANDE D'AUTORISATION D'ABSENCE ET REPRISE DE SERVICE 2004-2005,"AUTORISATION D'ABSENCE, REPRISE DE SERVICE, PERSONNEL",(FICHE),2004-2005,,,,,
00078,0078/SP,DEMANDE D'AUTORISATION D'ABSENCE 2005-2006,"AUTORISATION D'ABSENCE, PERSONNEL",(FICHE),2005-2006,,,,,
00079,0001/SF,COURRIER ARRIVE JANVIER A MAI 2000,"COURRIER, FINANCE, SONABHY",(CORRESPONDANCE),"JANVIER-MAI, 2000",,,,,
00080,0002/SF,COURRIER ARRIVE JUIN A DECEMBRE 2000,"COURRIER, FINANCE, SONABHY",(CORRESPONDANCE),"JUIN-DECEMBRE, 2000",,,,,
00081,0003/SF,COURRIER ARRIVEE 2000 I,"COURRIER, FINANCE, SONABHY",(CORRESPONDANCE),2000,,,,,
00082,0004/SF,COURRIER ARRIVEE 2000 II,"COURRIER, FINANCES",(CORRESPONDANCE),2000,,,,,
00083,0005/SF,COURRIER ARRIVEE 2000 III,"COURRIER, FINANCE",(CORRESPONDANCE),2000,,,,,
00084,0006/SF,ETATS DES SUBVENTIONS ET DIVERS COURRIER 2001-2004,"SUBVENTION, COURRIER, FINANCE","(ETAT, CORRESPONDANCE)",2001-2004,,,,,
00085,0007/SF,COURRIER ARRIVEE 2003 I,"COURRIER, FINANCE",(CORRESPONDANCE),2003,,,,,
00086,0008/SF,COURRIER ARRIVEE 2003 II,"COURRIER, FINANCE",(CORRESPONDANCE),2003,,,,,
00087,0009/SF,COURRIER ARRIVEE 2004 I,"COURRIER, FINANCE",(CORRESPONDANCE),2004,,,,,
00088,0010/SF,COURRIER ARRIVEE 2004 II,"COURRIER, FINANCE",(CORRESPONDANCE),2004,,,,,
00089,0011/SF,COURRIER ARRIVEE 2004 III,"COURRIER, FINANCE",(CORRESPONDANCE),2004,,,,,
00090,0012/SF,COURRIER ARRIVEE 2004 IV,"COURRIER, FINANCE",(CORRESPONDANCE),2004,,,,,
00091,0013/SF,BORDEREAUX D'ENVOI DE CHEQUE 2000 I,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2000,,,,,
00092,0014/SF,BORDEREAUX D'ENVOI DE CHEQUE 2000 II,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2000,,,,,
00093,0015/SF,BORDEREAUX D'ENVOI DE CHEQUE 2000 III,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2000,,,,,
00094,0016/SF,BORDEREAUX D'ENVOI DE CHEQUE 2001,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2001,,,,,
00095,0017/SF,BORDEREAUX D'ENVOI DE CHEQUE 2002 I,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2002,,,,,
00096,0018/SF,BORDEREAUX D'ENVOI DE CHEQUE 2002 II,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2002,,,,,
00097,0019/SF,BORDEREAUX D'ENVOI DE CHEQUE 2001-2002,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2001-2002,,,,,
00098,0020/SF,BORDEREAUX D'ENVOI DE CHEQUE 2002 III,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2002,,,,,
00099,0021/SF,BORDEREAUX D'ENVOI DE CHEQUE 2002 IV,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2002,,,,,
00100,0022/SF,BORDEREAUX D'ENVOI DE CHEQUE 2002 V,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2002,,,,,
00101,0023/SF,BORDEREAUX D'ENVOI DE CHEQUE 2002 VI,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2002,,,,,
00102,0024/SF,BORDEREAUX D'ENVOI DE CHEQUE 2002-2003,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2002-2003,,,,,
00103,0025/SF,BORDEREAUX D'ENVOI DE CHEQUE 2003 I,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2003,,,,,
00104,0026/SF,BORDEREAUX D'ENVOI DE CHEQUE 2003 II,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2003,,,,,
00105,0027/SF,BORDEREAUX D'ENVOI DE CHEQUE 2003 III,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2003,,,,,
00106,0028/SF,BORDEREAUX D'ENVOI DE CHEQUE 2003 IV,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2003,,,,,
00107,0029/SF,BORDEREAUX D'ENVOI DE CHEQUE 2003 V,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2003,,,,,
00108,0030/SF,BORDEREAUX D'ENVOI DE CHEQUE 2003 VI,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2003,,,,,
00109,0031/SF,BORDEREAUX D'ENVOI DE CHEQUE 2004 I,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2004,,,,,
00110,0032/SF,BORDEREAUX D'ENVOI DE CHEQUE 2004 II,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2004,,,,,
00111,0033/SF,BORDEREAUX D'ENVOI DE CHEQUE 2004 III,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2004,,,,,
00112,0034/SF,BORDEREAUX D'ENVOI DE CHEQUE 2004 IV,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2004,,,,,
00113,0035/SF,BORDEREAUX D'ENVOI DE CHEQUE 2005 I,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2005,,,,,
00114,0036/SF,BORDEREAUX D'ENVOI DE CHEQUE 2005 II,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2005,,,,,
00115,0037/SF,BORDEREAUX D'ENVOI DE CHEQUE 2005 III,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2005,,,,,
00116,0038/SF,BORDEREAUX D'ENVOI DE CHEQUE 2005 IV,"CHEQUE, REGLEMENT, FINANCE",(BORDEREAU D'ENVOI),2005,,,,,
00117,0039/SF,BROUILLARD DE CAISSE 2000-2001,"CAISSE, REGLEMENT, FINANCE",(BROUILLARD ),2000-2001,,,,,
00118,0040/SF,BROUILLARD ET BONS DE CAISSE 2002,"CAISSE, REGLEMENT, FINANCE","(BROUILLARD, BON DE COMMANDE )",2002,,,,,
00119,0041/SF,BROUILLARD DE CAISSE ET CARNETS ET BONS DE CAISSE 2003,"CAISSE, FINANCE, REGLEMENT","(BROUILLARD, CARNET, BON DE COMMANDE )",2003,,,,,
00120,0042/SF,BROUILLARD DE CAISSE 2004-2005,"CAISSE, REGLEMENT, FINANCE",(BROUILLARD),2004-2005,,,,,
00121,0043/SF,BROUILLARD DE BANQUE ET CHEQUES ANNULES 2002,"BANQUE, REGLEMENT, FINANCE","(BROUILLARD, CHEQUE)",2002,,,,,
00122,0044/SF,SOUCHES DE CHEQUIER BCB 2000,"CHEQUE, REGLEMENT, BCB",(CHEQUIER),2000,,,,,
00123,0045/SF,SOUCHES DE CHEQUIER BIB BICIA 2000,"CHEQUE, REGLEMENT, BIB, BICIA",(CHEQUIER),2000,,,,,
00124,0046/SF,SOUCHES DE CHEQUIER ECOBANK BOA 2000,"CHEQUE, REGLEMENT, ECOBANK, BOA",(CHEQUIER),2000,,,,,
00125,0047/SF,SOUCHES DE CHEQUIER SGBB TRESOR 2000,"CHEQUE, REGLEMENT, SGBB, TRESOR",(CHEQUIER),2000,,,,,
00126,0048/SF,SOUCHES DE CHEQUIER BCB 2001-2002,"CHEQUE, REGLEMENT, BCB",(CHEQUIER),2001-2002,,,,,
00127,0049/SF,SOUCHES DE CHEQUIER BIB 2001-2002,"CHEQUE, REGLEMENT, BIB",(CHEQUIER),2001-2002,,,,,
00128,0050/SF,SOUCHES DE CHEQUIER BICIA TRESOR 2001-2002,"CHEQUE, REGLEMENT, BICIA, TRESOR",(CHEQUIER),2001-2002,,,,,
00129,0051/SF,SOUCHES DE CHEQUIER BOA ECOBANK 2001-2002,"CHEQUE, REGLEMENT, BOA, ECOBANK",(CHEQUIER),2001-2002,,,,,
00130,0052/SF,SOUCHES DE CHEQUIER SGBB 2001-2002,"CHEQUE, REGLEMENT, SGBB",(CHEQUIER),2001-2002,,,,,
00131,0053/SF,SOUCHES DE CHEQUIER BCB ECOBANK SGBB BOA BIB 2003,"CHEQUE, REGLEMENT, BCB, ECOBANK, SGBB, BOA, BIB",(CHEQUIER),2003,,,,,
00132,0054/SF,CARNETS DE RECUS 2000 I,"CAISSE, REGLEMENT, FINANCE",(CARNET),2000,,,,,
00133,0055/SF,CARNETS DE RECUS 2000 II,"CAISSE, REGLEMENT, FINANCE",(CARNET),2000,,,,,
00134,0056/SF,CARNETS ET BONS DE CAISSE 2000,"CAISSE, REGLEMENT, FINANCE","(CARNET, BON DE COMMANDE )",2000,,,,,
00135,0057/SF,CARNETS DE RECUS 2001 I,"CAISSE, REGLEMENT, FINANCE",(CARNET),2001,,,,,
00136,0058/SF,CARNETS DE RECUS 2001 II,"CAISSE, REGLEMENT, FINANCE",(CARNET),2001,,,,,
00137,0059/SF,CARNETS DE RECUS DE CAISSE 2003,"CAISSE, REGLEMENT, FINANCE",(CARNET),2003,,,,,
00138,0060/SF,CARNETS DE RECUS DE CAISSE 2003-2004,"CAISSE, REGLEMENT, FINANCE",(CARNET),2003-2004,,,,,
00139,0061/SF,CARNETS DE RECUS DE CAISSE 2004-2005,"CAISSE, REGLEMENT, FINANCE",(CARNET),2004-2005,,,,,
00140,0062/SF,RECUS DE CAISSE 2005,"CAISSE, REGLEMENT, FINANCE",(CARNET),2005,,,,,
00141,0063/SF,TICKETS DE GAZ 2002,"GAZ DU PERSONNEL, REGLEMENT, FINANCE",(TICKET),2002,,,,,
00142,0064/SF,SITUATION DE TRESORERIE 2002-2003,"TRESORERIE, FINANCE",(ETAT),2002-2003,,,,,
00143,0065/SF,SITUATION DE TRESORERIE 2003,"TRESORERIE, FINANCE",(ETAT),2003,,,,,
00144,0066/SF,SITUATION DE TRESORERIE 2004,"TRESORERIE, FINANCE",(ETAT),2004,,,,,
00145,0067/SF,SITUATION DE TRESORERIE 2005 I,"TRESORERIE, FINANCE",(ETAT),2005,,,,,
00146,0068/SF,SITUATION DE TRESORERIE 2005 II,"TRESORERIE, FINANCE",(ETAT),2005,,,,,
00147,0069/SF,COURS DE DOLLARS - CAUTION - PLATT'S 2000-2004,"DEVISE DE MONNAIE, PRODUIT PETROLIER, FINANCE",,2000-2004,,,,,
00148,0070/SF,VIREMENT ESPECES 2003,FINANCE,(CORRESPONDANCE),2003,,,,,
00149,0071/SF,RELEVES BANCAIRES 2000 I,"BANQUE, FINANCE",(RELEVE BANCAIRE),2000,,,,,
00150,0072/SF,RELEVES BANCAIRES 2000 II,"BANQUE, FINANCE",(RELEVE BANCAIRE),2000,,,,,
00151,0073/SF,RELEVES BANCAIRES BIB 2001,"BANQUE, BIB, FINANCE",(RELEVE BANCAIRE),2001,,,,,
00152,0074/SF,RELEVES BANCAIRES BICIA BIB SGBB BOA BCB ECOBANK TRESOR 2001,"BANQUE, BICIA, BIB, SGBB, BOA, BCB,  ECOBANK, TRESOR",(RELEVE BANCAIRE),2001,,,,,
00153,0075/SF,GRAND LIVRE RELEVES BANCAIRES ET ETAT DE RAPPROCHEMENT 2000,"BANQUE, FINANCE","(GRAND LIVRE, RELEVE BANCAIRE, ETAT DE RAPPROCHEMENT)",2000,,,,,
00154,0076/SF,EXTRAIT GRAND LIVRE - RELEVES BANCAIRES BOA BCB BIB SGBB 2001,"BOA, BCB, BIB, SGBB, FINANCE","(GRAND LIVRE, RELEVE BANCAIRE)",2001,,,,,
00155,0077/SF,ETAT DE RAPPROCHEMENT BANCAIRE - EXTRAIT GRAND LIVRE 2001,"BANQUE, FINANCES","(ETAT, GRAND LIVRE)",2001,,,,,
00156,0078/SF,ETAT DE RAPPROCHEMENT ; GRANDS LIVRES ; RELEVES BANCAIRES 2002,"BANQUE, FINANCES","(ETAT, RELEVE, GRAND LIVRE)",2002,,,,,
00157,0079/SF,ETAT DE RAPPROCHEMENT BANCAIRE 2003,"BANQUE, FINANCES",(ETAT),2003,,,,,
00158,0080/SF,ETAT DE RAPPROCHEMENT BANCAIRE JANVIER A JUIN 2003,"BANQUE, FINANCES",(ETAT),"JANVIER-JUIN, 2003",,,,,
00159,0081/SF,ETAT DE RAPPROCHEMENT BANCAIRE JUIN A DECEMBRE 2003,"BANQUE, FINANCES",(ETAT),"JUIN-DECEMBRE, 2003",,,,,
00160,0082/SF,ETAT DE RAPPROCHEMENT BANCAIRE 2004,"BANQUE, FINANCES",(ETAT),2004,,,,,
00161,0083/SF,ETAT DE RAPPROCHEMENT BANCAIRE 2005,"BANQUE, FINANCES",(ETAT),2005,,,,,
00162,0084/SF,RELEVES BANCAIRES 2002,"BANQUE, FINANCES",(RELEVE BANCAIRE),2002,,,,,
00163,0085/SF,GRAND LIVRE ; RELEVES BANCAIRES ; ETATS DE RAPPROCHEMENT 2002,"BANQUE, FINANCES","(ETAT, RELEVE BANCAIRE, GRAND LIVRE)",2002,,,,,
00164,0086/SF,RELEVES BANCAIRES 2003,"BANQUE, FINANCES",(RELEVE BANCAIRE),2003,,,,,
00165,0087/SF,RELEVES BANCAIRES 2004-2005,"BANQUE, FINANCES",(RELEVE BANCAIRE),2004-2005,,,,,
00166,0088/SF,RELEVES BANCAIRES 2004,"BANQUE, FINANCES",(RELEVE BANCAIRE),2004,,,,,
00167,0089/SF,RELEVES BANCAIRES 2005 I,"BANQUE, FINANCES",(RELEVE BANCAIRE),2005,,,,,
00168,0090/SF,RELEVES BANCAIRES 2005 II,"BANQUE, FINANCES",(RELEVE BANCAIRE),2005,,,,,
00169,0091/SF,BONS DE COMMANDE 2000,"COMMANDE, REGLEMENT",(BON DE COMMANDE ),2000,,,,,
00170,0092/SF,BONS DE COMMANDE 2003-2004,"COMMANDE, REGLEMENT",(BON DE COMMANDE),2003-2004,,,,,
00171,0093/SF,LETTRES DE COMMANDE 2003-2004,"COMMANDE, REGLEMENT",(LETTRE DE COMMANDE),2003-2004,,,,,
00172,0094/SF,MARCHES 2003-2004,"MARCHE, REGLEMENT",(DOSSIER D'ACHAT),2003-2004,,,,,
00173,0095/SF,DEMANDE DE DECAISSEMENT 2000,"CAISSE, FINANCES",(FORMULAIRE),2000,,,,,
00174,0096/SF,PREVISIONS DE RECOUVREMENT 2003-2005,"RECOUVREMENT, FINANCES",(ETAT),2003-2005,,,,,
00175,0097/SF,AVIS BANCAIRE JANVIER - JUIN 2002,"BANQUE, FINANCES",(AVIS BANCAIRE),"JANVIER-JUIN, 2002",,,,,
00176,0098/SF,AVIS BANCAIRES JUILLET - DECEMBRE 2002,"BANQUE, FINANCES",(AVIS BANCAIRE),"JUILLET - DECEMBRE, 2002",,,,,
00177,0099/SF,FACTURES VENTES PRODUITS PETROLIERS 2001,"VENTE, PRODUIT PETROLIER",(FACTURE),2001,,,,,
00178,0100/SF,FACTURES VENTES PRODUITS PETROLIERS 2001-2002,"VENTE, PRODUIT PETROLIER",(FACTURE),2001-2002,,,,,
