ref,cote,titre,contenu,analyse_diplomatique,date
810,0196/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°651 - 730,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2002,
811,0197/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°731 - 800,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2002,
812,0198/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N° 801 - 814,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2002,
813,0199/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°002 - 050,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2003,
814,0200/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N°051 - 090,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2003,
815,0201/STR,DECLARATION D'IMPORTATION TEMPORAIRE (S4) : N° 091 - 150,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2003,
816,0202/STR,DECLARATION TRIE CEDEAO 1999-2001,"TRIE CEDEAO, TRANSIT, PRODUIT PETROLIER, DEDOUANEMENT",(DECLARATION) 1999-2001 0817,
817,0203/STR,DECLARATION TRIE CEDEAO JANVIER-FEVRIER 2002,"TRIE CEDEAO, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(DECLARATION),"JANVIER-FEVRIER, 2002"
818,0204/STR,DECLARATION D'ENTREES EN ENTREPOT: CARBURANT AUTO,"DECLARATION D'ENTREE EN ENTREPOT, CARBURANT AUTO, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER","(DECLARATION S4, FICHE DECADE, IMPRIME DOUANE, DECLARATION TRIE CEDEAO) 2003",
819,0205/STR,DECLARATION D'ENTREE EN ENTREPOT: CARBURANT AUTO,"DECLARATION D'ENTREE EN ENTREPOT, CARBURANT AUTO, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, FICHE DECADE, IMPRIME DOUANE, DECLARATION TRIE CEDEAO) 2003",
820,0206/STR,DECLARATION D'ENTREE EN ENTREPOT: CARBURANT AUTO,"DECLARATION D'ENTREE EN ENTREPOT, CARBURANT AUTO, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, FICHE DECADE, IMPRIME DOUANE, DECLARATION TRIE CEDEAO) 2003",
821,0207/STR,DECLARATION D'ENTREE EN ENTREPOT: CARBURANT AUTO,"DECLARATION D'ENTREE EN ENTREPOT, CARBURANT AUTO, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, FICHE DECADE, IMPRIME DOUANE, DECLARATION TRIE CEDEAO) 2003",
822,0208/STR,DECLARATION D'ENTREE EN ENTREPOT: PETROLE LAMPANT,"DECLARATION D'ENTREE EN ENTREPOT, PETROLE, PRODUIT PETROLIER, DEDOUANEMENT, TRANSIT","(DECLARATION S4, FICHE DECADE, IMPRIME DOUANE, DECLATION TRIE CEDEAO) 2003",
823,0209/STR,DECLARATION D'ENTREE EN ENTREPOT: PETROLE LAMPANT,"DECLARATION D'ENTREE EN ENTREPOT, PETROLE, PRODUIT PETROLIER, DEDOUANEMENT, TRANSIT","(DECLARATION S4, FICHE DECADE, IMPRIME DOUANE, DECLARATION TRIE CEDEAO) 2003",
824,0210/STR,DECLARATION D'ENTREE EN ENTREPOT: GAZOIL,"DECLARATION D'ENTREE EN ENTREPOT, GAZOIL, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, FICHE DECADE, IMPRIME DOUANE) 2003",
825,0211/STR,DECLARATION D'ENTREE EN ENTREPOT: GASOIL,"DECLARATION D'ENTREE EN ENTREPOT, GAZOIL, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, FICHE DECADE, IMPRIME DOUANE) 2003",
826,0212/STR,DECLARATION D'ENTREE EN ENTREPOT: GAZOIL,"DECLARATION D'ENTREE EN ENTREPOT, GAZOIL, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, FICHE DECADE, IMPRIME DOUANE) 2003",
827,0213/STR,DECLARATION D'ENTREE EN ENTREPOT: GAZOIL,"DECLARATION D'ENTREE EN ENTREPOT, GAZOIL, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, FICHE DECADE, IMPRIME DOUANE) 2003",
828,0214/STR,DECLARATION D'ENTREE EN ENTREPOT: GAZOIL,"DECLARATION D'ENTREE EN ENTREPOT, GAZOIL, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003",
829,0215/STR,DECLARATION D'ENTREE EN ENTREPOT: GAZ BUTANE,"DECLARATION D'ENTREE EN ENTREPOT, GAZ BUTANE, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003",
830,0216/STR,DECLARATION D'ENTREE EN ENTREPOT: DDO,"DECLARATION D'ENTREE EN ENTREPOT, DDO, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003",
831,0217/STR,DECLARATION D'ENTREE EN ENTREPOT: CARBURANT AUTO,"DECLARATION D'ENTREE EN ENTREPOT, CARBURANT AUTO, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003-2004 0832",
832,0218/STR,DECLARATION D'ENTREE EN ENTREPOT: PETROLE LAMPANT,"DECLARATION D'ENTREE EN ENTREPOT, PETROLE, PRODUIT PETROLIER, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003-2004 0833",
833,0219/STR,DECLARATION D'ENTREE EN ENTREPOT: GAZOIL,"DECLARATION D'ENTREE EN ENTREPOT, PRODUIT PETROLIER, GAZOIL, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003-2004 0834",
834,0220/STR,DECLARATION D'ENTREE EN ENTREPOT: SUPER CARBURANT,"DECLARATION D'ENTREE EN ENTREPOT, PRODUIT PETROLER, SUPER CARBURANT, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003-2004 0835",
835,0221/STR,DECLARATION D'ENTREE EN ENTREPOT: DDO,"DECLARATION D'ENTREE EN ENTREPOT, PRODUIT PETROLIER, DDO, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003-2004 0836",
836,0222/STR,DECLARATION D'ENTREE EN ENTREPOT: GAZ BUTANE,"DECLARATION D'ENTREE EN ENTREPOT, PRODUIT PETROLIER, GAZ BUTANE, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2003-2004 0837",
837,0223/STR,DECLARATION D'ENTREE EN ENTREPOT: CARBURANT AUTO,"DECLARATION D'ENTREE EN ENTREPOT, PRODUIT PETROLIER, CARBURANT AUTO, TRANSIT, DEDOUANEMENT","(DECLARATION S4, DECLARATION TRIE CEDEAO, IMPRIME DOUANE, FICHE DECADE) 2004",
838,0224/STR,STRUCTURE DES PRIX,"STRUCTURE DES PRIX, TAXE, DOUANE, PRODUIT PETROLIER","(ARRETE, ETAT) 2002",
839,0225/STR,STRUCTURE DES PRIX,"STRUCTURE DES PRIX, TAXE, DOUANE, PRODUIT PETROLIER","(ARRETE, ETAT) 2003-2004 0840",
840,0226/STR,DIVERS DOCUMENTS DU TRANSIT,"TRANSIT, SONABHY, PRODUIT PETROLIER, MTT B, DOUANE","(CORRESPONDANCE, FACTURE, ETAT, DECLARATION) 2000-2002 0841",
841,0227/STR,DECLARATION D'IMPORTATION TEMPORAIRE: CARBURANT AUTO N° 276 A 464,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
842,0228/STR,DECLARATION D'IMPORTATION TEMPORAIRE: CARBURANT AUTO N° 491 A 664,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
843,0229/STR,DECLARATION D'IMPORTATION TEMPORAIRE: CARBURANT AUTO N° 677 A 783,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
844,0230/STR,DECLARATION D'IMPORTATION TEMPORAIRE: CARBURANT AUTO N° 759 A 888,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
845,0231/STR,DECLARATION D'IMPORTATION TEMPORAIRE: SUPER CARBURANT N° 543 A 873,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
846,0232/STR,DECLARATION D'IMPORTATION TEMPORAIRE: GAZOIL N° 399 A 490,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
847,0233/STR,DECLARATION D'IMPORTATION TEMPORAIRE: GAZOIL N° 499 A 680,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
848,0234/STR,DECLARATION D'IMPORTATION TEMPORAIRE: GAZOIL N° 681 A 778 & 782 A 883,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
849,0235/STR,DECLARATION D'IMPORTATION TEMPORAIRE: PETROLE N°226 A 500,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
850,0236/STR,DECLARATION D'IMPORTATION TEMPORAIRE: PETROLE N°530 A 891,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
851,0237/STR,DECLARATION D'IMPORTATION TEMPORAIRE: GAZ BUTANE N°314 A 619,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
852,0238/STR,DECLARATION D'IMPORTATION TEMPORAIRE: GAZ BUTANE N° 657 A 890,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2004,
853,0239/STR,DECLARATION D'IMPORTATION TEMPORAIRE: CARBURANT AUTO N° 007 A 088,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2005,
854,0240/STR,DECLARATION D'IMPORTATION TEMPORAIRE: GAZOIL N° 015 A 098,"TRANSIT, S4, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME S4) 2005,
855,0241/STR,TRANSIT C4 & S4 N° 0001 A 0500,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2001,
856,0242/STR,TRANSIT C4 & S4 N° 0501 A 1000,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2001,
857,0243/STR,TRANSIT C4 & S4 N° 1001 A 1500,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2001,
858,0244/STR,TRANSIT C4 & S4 N° 1501 A 2000,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2001,
859,0245/STR,TRANSIT C4 & S4 N° 2001 A 2500,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2001,
860,0246/STR,TRANSIT C4 & S4 N° 2501 A 3000,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2001,
861,0247/STR,TRANSIT C4 & S4 N° 3001 A 3500,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2001,
862,0248/STR,TRANSIT C4 & S4 N° 0001 A 0500,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2002,
863,0249/STR,TRANSIT C4 & S4 N° 0501 A 1000,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2002,
864,0250/STR,TRANSIT C4 & S4 N° 1001 A 1500,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2002,
865,0251/STR,TRANSIT C4 & S4 N° 1501 A 2000,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2002,
866,0252/STR,TRANSIT C4 & S4 N° 2001 A 2500,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2002,
867,0253/STR,TRANSIT C4 & S4 N° 2501 A 3000,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2002,
868,0254/STR,TRANSIT C4 & S4 N° 3001 A 3500 DE 2002 ET 4001 A 4068 DE 2003,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2002-2003 0869,
869,0255/STR,TRANSIT C4 & S4 N° 0501 A 1000 DE 2004,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2004,
870,0256/STR,TRANSIT C4 & S4 N° 1001 A 1500 DE 2004,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2004,
871,0257/STR,TRANSIT C4 & S4 N° 1501 A 2000 DE 2004,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2004,
872,0258/STR,TRANSIT C4 & S4 N° 2001 A 2500 DE 2004,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2004,
873,0259/STR,TRANSIT C4 & S4 N° 2501 A 3000 DE 2004,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2004,
874,0260/STR,TRANSIT C4 & S4 N° 3001 A 3500 ET 4001 A 4069 DE 2004,,,
2004,,,"DECLARATION DE MISE A LA CONSOMMMATION, DECLARATION D'ENTREE EN ENTREPOT, SONABHY, TRANSIT, DEDOUANEMENT, PRODUIT PETROLIER",(IMPRIME) 2004,
875,0261/STR,DECLARATION DE MISE A LA CONSOMMATION GAZ BUTANE,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZ BUTANE, PRODUIT PETROLIER",(IMPRIME),"FEVRIER-AOUT, 2001"
876,0262/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE AUTO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE AUTO, PRODUIT PETROLIER",(IMPRIME),"JANVIER-AVRIL, 2002"
877,0263/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE AUTO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE AUTO, PRODUIT PETROLIER",(IMPRIME),"MAI-AOUT, 2002"
878,0264/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE AUTO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE AUTO, PRODUIT PETROLIER",(IMPRIME),"SEPTEMBRE-DECEMBRE, 2002"
879,0265/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"JANVIER-AVRIL, 2002"
880,0266/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"MAI-AOUT, 2002"
881,0267/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"SEPTEMBRE-DECEMBRE, 2002"
882,0268/STR,DECLARATION DE MISE A LA CONSOMMATION PETROLE LAMPANT,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, PETROLE LAMPANT, PRODUIT PETROLIER",(IMPRIME),"JANVIER-MAI, 2002"
883,0269/STR,DECLARATION DE MISE A LA CONSOMMATION PETROLE LAMPANT,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, PETROLE LAMPANT, PRODUIT PETROLIER",(IMPRIME),"JUIN-DECEMBRE, 2002"
884,0270/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"JANVIER-MARS, 2002"
885,0271/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"AVRIL-JUIN, 2002"
886,0272/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"JUILLET-SEPTEMBRE, 2002"
887,0273/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"OCTOBRE-DECEMBRE, 2002"
888,0274/STR,DECLARATION DE MISE A LA CONSOMMATION DDO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, DDO, PRODUIT PETROLIER",(IMPRIME),"JANVIER-AOUT, 2002"
889,0275/STR,DECLARATION DE MISE A LA CONSOMMATION DDO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, DDO, PRODUIT PETROLIER",(IMPRIME),"SEPTEMBRE-DECEMBRE, 2002"
890,0276/STR,DECLARATION DE MISE A LA CONSOMMATION GAZ BUTANE,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZ BUTANE, PRODUIT PETROLIER",(IMPRIME),"JANVIER-JUIN, 2002"
891,0277/STR,DECLARATION DE MISE A LA CONSOMMATION GAZ BUTANE,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZ BUTANE, PRODUIT PETROLIER",(IMPRIME),"JUILLET-DECEMBRE, 2002"
892,0278/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE AUTO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE AUTO, PRODUIT PETROLIER",(IMPRIME),"JANVIER-MARS, 2003"
893,0279/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE AUTO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE AUTO, PRODUIT PETROLIER",(IMPRIME),"MAI-JUIN, 2003"
894,0280/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE AUTO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE AUTO, PRODUIT PETROLIER",(IMPRIME),"AOUT-SEPTEMBRE, 2003"
895,0281/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE AUTO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE AUTO, PRODUIT PETROLIER",(IMPRIME),"OCTOBRE-DECEMBRE, 2003"
896,0282/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"JANVIER-MARS, 2003"
897,0283/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"AVRIL-MAI, 2003"
898,0284/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"JUILLET-SEPTEMBRE, 2003"
899,0285/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"OCTOBRE-DECEMBRE, 2003"
900,0286/STR,DECLARATION DE MISE A LA CONSOMMATION PETROLE LAMPANT,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, PETROLE LAMPANT, PRODUIT PETROLIER",(IMPRIME),"JANVIER-MAI, 2003"
901,0287/STR,DECLARATION DE MISE A LA CONSOMMATION PETROLE LAMPANT,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, PETROLE LAMPANT, PRODUIT PETROLIER",(IMPRIME),"JUIN-SEPTEMBRE, 2003"
902,0288/STR,DECLARATION DE MISE A LA CONSOMMATION PETROLE LAMPANT,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, PETROLE LAMPANT, PRODUIT PETROLIER",(IMPRIME),"OCTOBRE-DECEMBRE, 2003"
903,0289/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"JANVIER-FEVRIER, 2003"
904,0290/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"MARS-AVRIL, 2003"
905,0291/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"MAI-JUIN, 2003"
906,0292/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"JUILLET-AOUT, 2003"
907,0293/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"SEPTEMBRE-OCTOBRE, 2003"
908,0294/STR,DECLARATION DE MISE A LA CONSOMMATION GAZOIL,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZOIL, PRODUIT PETROLIER",(IMPRIME),"NOVEMBRE-DECEMBRE, 2003"
909,0295/STR,DECLARATION DE MISE A LA CONSOMMATION DDO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, DDO, PRODUIT PETROLIER",(IMPRIME),"JANVIER-AVRIL, 2003"
910,0296/STR,DECLARATION DE MISE A LA CONSOMMATION DDO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, DDO, PRODUIT PETROLIER",(IMPRIME),"MAI-AOUT, 2003"
911,0297/STR,DECLARATION DE MISE A LA CONSOMMATION DDO,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, DDO, PRODUIT PETROLIER",(IMPRIME),"SEPTEMBRE-DECEMBRE, 2003"
912,0298/STR,DECLARATION DE MISE A LA CONSOMMATION GAZ BUTANE,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZ BUTANE, PRODUIT PETROLIER",(IMPRIME),"JANVIER-AVRIL, 2003"
913,0299/STR,DECLARATION DE MISE A LA CONSOMMATION GAZ BUTANE,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZ BUTANE, PRODUIT PETROLIER",(IMPRIME),"MAI-AOUT, 2003"
914,0300/STR,DECLARATION DE MISE A LA CONSOMMATION GAZ BUTANE,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, GAZ BUTANE, PRODUIT PETROLIER",(IMPRIME),"SEPTEMBRE-DECEMBRE, 2003"
915,0301/STR,DECLARATION DE MISE A LA CONSOMMATION ESSENCE SUPER,"DECLARATION DE MISE A LA CONSOMMMATION, SONABHY, TRANSIT, DEDOUANEMENT, ESSENCE SUPER, PRODUIT PETROLIER",(IMPRIME),"JANVIER-MARS, 2004"
