ref,cote,titre,contenu,analyse_diplomatique,date
0040,0040/DG,PROJET OPTIMUM : COMITE DE PILOTAGE,"PROJET OPTIMUM, SONABHY, PLAN STRATEGIQUE.","(CORRESPONDANCE, RAPPORT)",2000.
0041,0041/DG,PROJET OPTIMUM : ORGANISATION PROCESS ET QUALITE,"PROJET OPTIMUM, SONABHY, PROCESS ET QUALITE, PLAN STRATEGIQUE.","(CORRESPONDANCE, RAPPORT)",2005.
0042,0042/DG,PROJET OPTIMUM : CONDUITE DU CHANGEMENT,"PROJET OPTIMUM, SONABHY, CONDUITE AU CHANGEMENT, PLAN STRATEGIQUE.","(CORRESPONDANCE, RAPPORT)",2005.
0043,0043/DG,PROJET OPTIMUM : SYSTEME D'INFORMATION,"PROJET OPTIMUM, SONABHY, SYSTEME D'INFORMATION, PLAN STRATEGIQUE.",(RAPPORT),2005.
0044,0044/DG,PROJET OPTIMUM : RESSOURCES HUMAINES,"PROJET OPTIMUM, SONABHY, PLAN STRATEGIQUE, RESSOURCE HUMAINE.",(RAPPORT),2005.
0045,0045/DG,CERTIFICATS ET ATTESTATION ENVERS LA SONABHY,"SONABHY, OFFICE DE SANTE DES TRAVAILLEURS, CERTIFICAT, ATTESTATION.",(DOCUMENT DE RECONNAISSANCE),2001-2005.
0046,0046/DG,STRUCTURE DE PRIX 2001-2005,"STRUCTURE DE PRIX, PRODUIT PETROLIER.",(ARRETE),2001-2005.
0047,0047/DG,ATELIER SUR LA BONNE GOUVERNANCE : RENCONTRE GOUVERNEMENT ET SECTEUR PRIVE - FORUM AGOA,"BONNE GOUVERNANCE, FORUM AGOA, SECTEUR PRIVE.",(DOSSIER),2004-2006.
0048,0048/DG,PROJETS DE BUDGET,"BUDGET, SONABHY.",(RAPPORT),2004-2005.
0049,0049/DG,RAPPORTS DU BUDGET 2003-2004 - EXECUTION DU BUDGET - RAPPORT ACTIVITE - BILAN,"BUDGET, SONABHY, ACTIVITE, BILAN.",(RAPPORT),2003-2004.
0050,0050/DG,"SECTEUR DE L'ENERGIE : ICEA, CERE, BANQUE MONDIALE, FMI","ENERGIE, BANQUE MONDIALE, FMI, ICEA, CERE.",(DOSSIER),2000.
0051,0051/DG,STRATEGIE COMMUNICATION ET SENSIBILISATION,"COMMUNICATION, ENERGIE, SENSIBILISATION.",(RAPPORT),2004.
0052,0052/DG,CADRE STRATEGIQUE DE LUTTE CONTRE LA PAUVRETE (CSLP) - CELLULE DE REFLEXION ELARGIE SUR LA REFORME DU SECTEUR DE L'ENERGIE (CERE),"PAUVRETE, ENERGIE, CSLP, BURKINA FASO.","(CORRESPONDANCE, COMPTE RENDU, RAPPORT)",2001-2005. 2008.
0053,0053/DG,PRODUITS PETROLIERS DU NIGERIA ET DE LA LYBIE,"PRODUIT PETROLIER, NIGERIA, LYBIE.",(DOSSIER),1998. 2004-2005.
0054,0054/DG,UNIVERSITE DE OUAGA / SONABHY - PARTENARIAT EGYPTO-BURKINABE - PROMOTION SECTEUR DES OLEAGINEUX - JOURNEE ECONOMIQUE DU BURKINA - PROJET LOI SUR L'EDUCATION,"UNIVERSITE DE OUAGA, EDUCATION, SECTEUR DES OLEAGINEUX, EGYPTE, ECONOMIE, BURKINA FASO.","(DOSSIER, LOI)",2003.
0055,0055/DG,BANQUE MONDIALE 2001,"PRODUIT PETROLIER, BANQUE MONDIALE.",(DOSSIER),2001.
0056,0056/DG,DIVERS DOSSIERS : SONAR - ONAP/M - OMC - ARYAN & CO - FADOUL - GRAF - CEN/SAD,"SONAR, OMC, ONAP, ARYAN ET CO, FADOUL TECHNIBOIS, GRAF, CEN/SAD.",(DOSSIER),2003-2006.
0057,0057/DG,ORYX BURKINA - SIR,"ORYX BURKINA, SIR.",(DOSSIER),2004-2005.
0058,0058/DG,"AUDITS FISCALES, DE COMPTES, ETATS FINANCIERS, CONTROLE INTERNE","AUDIT, CONTROLE INTERNE, FISCALITE, COMPTE, ETAT FINANCIER.",(RAPPORT),2001-2005. 1995.
0059,0059/DG,"DIVERS DOSSIERS : VENTES, TRESORERIE, APPROVISIONNEMENT, INFORMATIQUE, TRANSPORT, MAINTENANCE ET SECURITE, CONSEIL JURIDIQUE, MATERIEL, ARCHIVES ET DOCUMENTATION","VENTE, TRESORERIE, APPROVISIONNEMENT, INFORMATIQUE, TRANSPORT, MAINTENANCE, SECURITE, CONSEIL JURIDIQUE, MATERIEL, ARCHIVES, DOCUMENTATION.",(DOSSIER),2000-2005.
0060,0060/DG,RESSOURCES HUMAINES  A LA SONABHY,"RESSOURCE HUMAINE, SONABHY, NUMERIS, BILAN SALARIAL, JPR CONSULTANTS, RECRUTEMENT, PERFECTUM.",(DOSSIER),2003-2006.
0061,0061/DG,DIVERS DOSSIERS : ESSENCE PLOMB - DDO SONABEL - SPHERE - CE/GPL - SINISTRE AU BUMIGEB 2006.,"ESSENCE PLOMB, SPHERE, SONABEL, DDO, CE/GPL, SINISTRE, BUMIGEB, INCENDIE, DEPOT DE BINGO.","(DOSSIER, RAPPORT, EXPOSE)",2003-2004. 2006.
0062,0062/DG,DELIBERATIONS DES CONSEILS D'ADMINISTRATION DE 2000-2009,"DELIBERATION, CONSEIL D'ADMINISTRATION, SONABHY.",(CORRESPONDANCE),2000-2009.
0063,0063/DG,NOTES DE SERVICE 2003-2005,"NOTE DE SERVICE, DIRECTION GENERALE, SONABHY.",(CORRESPONDANCE),2003-2005.
0064,0001/SG,DECLARATION FISCALE DE LA SONABHY,"FISCALITE, SONABHY.",(DOCUMENT FISCAL),2001.
0065,0002/SG,SITUATION DE TRESORERIE,"TRESORERIE, SONABHY.",(ETAT),1996-2000.
0066,0003/SG,COMPTES RENDUS - RAPPORTS - PROCES VERBAUX,"COURRIER, PRODUIT PETROLIER.","(CORRESPONDANCE, RAPPORT)",1996-2000.
0067,0004/SG,COURRIER ARRIVEE ET DEPART INTERNE I,"COURRIER, SONABHY.",(CORRESPONDANCE),1999-2000.
0068,0005/SG,COURRIER ARRIVEE ET DEPART INTERNE II,"COURRIER, SONABHY.",(CORRESPONDANCE),1999-2000.
0069,0006/SG,COURRIER ARRIVEE ET DEPART INTERNE,"COURRIER, SONABHY.",(CORRESPONDANCE),2000-2001.
0070,0007/SG,COURRIER DEPART ET ARRIVE INTERNE,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0071,0008/SG,COURRIER DEPART N°99/883 - 00/029,"COURRIER, SONABHY.",(CORRESPONDANCE),1999-2000.
0072,0009/SG,COURRIER DEPART N° 03-152,"COURRIER, SONABHY.",(CORRESPONDANCE),2000.
0073,0010/SG,COURRIER DEPART N°153-231,"COURRIER, SONABHY.",(CORRESPONDANCE),2000.
0074,0011/SG,COURRIER DEPART N°231-362,"COURRIER, SONABHY.",(CORRESPONDANCE),2000.
0075,0012/SG,COURRIER DEPART N°363 - 492,"COURRIER, SONABHY.",(CORRESPONDANCE),2000.
0076,0013/SG,COURRIER DEPART N°493 - 620,"COURRIER, SONABHY.",(CORRESPONDANCE),2000.
0077,0014/SG,COURRIER DEPART N°621 - 742,"COURRIER, SONABHY.",(CORRESPONDANCE),2000.
0078,0015/SG,COURRIER DEPART N°743 -904,"COURRIER, SONABHY.",(CORRESPONDANCE),2000.
0079,0016/SG,PLAN DE COMPTE SYSCOA,"SYSCOA, COMPTABILITE.",(RAPPORT),1997-2002.
0080,0017/SG,STRUCTURE DE PRIX - REGLEMENTATION GENERALE DES MARCHES PUBLICS,"STRUCTURE DE PRIX, PRODUIT PETROLIER, MARCHE PUBLIC.","(RAPPORT, ARRETE)","1990-1998, 2001."
0081,0018/SG,AVANT PROJET DE BUDGET 2003 - BUDGET 2000-2001,"BUDGET, SONABHY.",(RAPPORT),2000-2003.
0082,0019/SG,COURRIER DEPART N°905 -01/44,"COURRIER, SONABHY.",(CORRESPONDANCE),2000. 2001.
0083,0020/SG,COURRIER DEPART N°115-278,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0084,0021/SG,COURRIER DEPART N° 279 - 422,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0085,0022/SG,COURRIER DEPART N°423 - 544,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0086,0023/SG,COURRIER DEPART N°545 - 664,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0087,0024/SG,COURRIER DEPART N°665 - 796,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0088,0025/SG,COURRIER DEPART N°797 - 973,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0089,0026/SG,COURRIER DEPART N°974 - 1095,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0090,0027/SG,COURRIER DEPART N°01/1096 - 02/087,"COURRIER, SONABHY.",(CORRESPONDANCE),2001. 2002.
0091,0028/SG,COURRIER DEPART N°088 - 226,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0092,0029/SG,LETTRE DEPART N°227 - 346,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0093,0030/SG,LETTRE DEPART N°347 - 472,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0094,0031/SG,LETTRE DEPART N°473 -631,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0095,0032/SG,LETTRE DEPART N°632 - 784,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0096,0033/SG,LETTRE DEPART N°785 -910,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0097,0034/SG,COURRIER DEPART N°911 - 1095,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0098,0035/SG,LETTRE DEPART N° 03/001 -128,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0099,0036/SG,LETTRE DEPART N°129 - 256,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0100,0037/SG,LETTRE DEPART N°257 -369,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0101,0038/SG,LETTRE DEPART N°370 - 512,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0102,0039/SG,LETTRE DEPART N° 513 -617,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0103,0040/SG,LETTRE DEPART N° 618 -770,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0104,0041/SG,LETTRE DEPART N° 771 - 874,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0105,0042/SG,LETTRE DEPART N°875 -987,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0106,0043/SG,LETTRE DEPART N°994 - 1146,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0107,0044/SG,COURRIER ARRIVE JANVIER - JUILLET 2001,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0108,0045/SG,COURRIER ARRIVE AOUT-OCTOBRE 2001,"COURRIER, SONABHY.",(CORRESPONDANCE),2001.
0109,0046/SG,COURRIER ARRIVE NOVEMBRE 2001 - MARS 2002,"COURRIER, SONABHY.",(CORRESPONDANCE),2001-2002.
0110,0047/SG,COURRIER ARRIVE MARS -MAI 2002,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0111,0048/SG,COURRIER ARRIVE JUIN-AOUT 2002,"COURRIER, SONABHY.",(CORRESPONDANCE),2002.
0112,0049/SG,COURRIER ARRIVE SEPTEMBRE 2002 - JANVIER 2003,"COURRIER, SONABHY.",(CORRESPONDANCE),2002. 2003.
0113,0050/SG,COURRIER DEPART JANVIER-JUIN 2003,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0114,0051/SG,COURRIER DEPART JUIN - SEPTEMBRE 2003,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0115,0052/SG,COURRIER DEPART OCTOBRE - DECEMBRE 2003,"COURRIER, SONABHY.",(CORRESPONDANCE),2003.
0116,0053/SG,COURRIER DEPART DU SECRETAIRE GENERAL,"COURRIER, SONABHY, SECRETARIAT GENERAL.",(CORRESPONDANCE),1996-2003.
0117,0054/SG,SITUATION DE TRESORERIE,"TRESORERIE, SONABHY.",(ETAT),2000-2004.
0118,0055/SG,DIFFERENTS ETATS DE LA DIRECTION TECHNIQUE,"PRODUIT PETROLIER, DEPOT PETROLIER, EXPLOITATION.",(ETAT),2000-2003.
0119,0056/SG,COMPTES RENDUS - PROCES VERBAUX - RAPPORTS,"COURRIER, SONABHY.","(RAPPORT, CORRESPONDANCE)",1999-2003.
0120,0057/SG,COMITE DE GESTION DE L'INFIRMERIE SIEGE SONABHY (COGEISS),"COGEISS, INFIRMERIE, GESTION, SONABHY.","(RAPPORT, STATUT, CORRESPONDANCE)",1995-1998.
0121,0058/SG,COURRIER ARRIVE,"FAX, TELEX, COURRIER, SONABHY.",(CORRESPONDANCE),1996-2004.
0122,0059/SG,COURRIER DEPART : FAX,"COURRIER, SONABHY.",(CORRESPONDANCE),1996-2004.
0123,0060/SG,COURRIER ARRIVE JANVIER-DECEMBRE 2004,"COURRIER, SONABHY.",(CORRESPONDANCE),2004.
0124,0061/SG,DIVERS COURRIERS INTERNES,"COURRIER, SONABHY.",(CORRESPONDANCE),2004.
0125,0062/SG,COURRIER DEPART JANVIER - MARS 2004,"COURRIER, SONABHY.",(CORRESPONDANCE),"JANVIER-MARS, 2004."
0126,0063/SG,COURRIER JANVIER - MARS 2004,"DECISION, NOTE DE SERVICE, CIRCULAIRE, ATTESTATION, CERTIFICAT, CONTRAT,  VIREMENT, SONABHY.",(CORRESPONDANCE),"JANVIER-MARS, 2004."
0127,0064/SG,"COURRIER DEPART AVRIL, MAI, JUIN 2004","COURRIER, SONABHY.",(CORRESPONDANCE),"AVRIL-JUIN, 2004."
0128,0065/SG,COURRIER DEPART MAI - JUIN 2004,"COURRIER, SONABHY.",(CORRESPONDANCE),"MAI-JUIN, 2004."
0129,0066/SG,COURRIER DEPART JUILLET - SEPTEMBRE 2004,"COURRIER, SONABHY.",(CORRESPONDANCE),"JUILLET-SEPTEMBRE, 2004."
0130,0067/SG,COURRIER DEPART JUILLET - SEPTEMBRE 2004 II,"COURRIER, SONABHY.",(CORRESPONDANCE),"JUILLET-SEPTEMBRE, 2004."
0131,0068/SG,DIVERS ETATS DE LA DIRECTION TECHNIQUE,"PRODUIT PETROLIER, DEPOT PETROLIER, SONABHY.",(ETAT),2003-2004.
0132,0069/SG,PIECES JOINTES AU COURRIER N°00/357,"COURRIER, SONABHY.","(RAPPORT, CORRESPONDANCE)",2000.
0133,0070/SG,"PIECES JOINTES AU COURRIER N°00/562, 00/411, 00/438, 00678","COURRIER, SONABHY.","(RAPPORT, CORRESPONDANCE)",2000.
0134,0071/SG,"PIECES JOINTES COURRIER N°01/519, 01/167, 01/556, 01/901, 01/477, 01/336, 01/475","COURRIER, SONABHY.","(RAPPORT, CORRESPONDANCE)",2001.
0135,0072/SG,"PIECES JOINTES DU COURRIER N° 02/363, 02/354, 02/619, 02/519, 02/459, 02/953, 02/405","COURRIER, SONABHY.","(RAPPORT, CORRESPONDANCE)",2002.
0136,0073/SG,"PIECES JOINTES DU COURRIER N°03/269, 03/332, 03/040, 03/425, 03/572, 03/391","COURRIER, SONABHY.","(CORRESPONDANCE, RAPPORT)",2003.
0137,0074/SG,"PIECES JOINTES DU COURRIER N° 03/713, 03/801, 03/185, 03/186","COURRIER, SONABHY.","(RAPPORT, PROCES VERBAL)",2003.
0138,0075/SG,"PIECES JOINTES DU COURRIER N°04/886-894, 04/792, 04/1140, 04/577, 04/672, 04/521","COURRIER, SONABHY.","(RAPPORT, CORRESPONDANCE)",2004.
0139,0076/SG,,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"JANVIER.  - FEVRIER, 2005."
0140,0077/SG,,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"MARS.  - AVRIL, 2005."
0141,0078/SG,,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"MAI.  - JUIN, 2005."
0142,0079/SG,,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"JUILLET.  - AOUT, 2005."
0143,0080/SG,,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"SEPTEMBRE.  - OCTOBRE, 2005."
0144,0081/SG,,"COURRIER DEPART, PAIEMENT , SONABHY.","(ETAT, CORRESPONDANCE)","NOVEMBRE.  - DECEMBRE, 2005. OBSERVATIONS : MOIS DE DECEMBRE EST INCOMPLET."
0145,0082/SG,LETTRE ARRIVEE JANVIER - NOVEMBRE 2005,"LETTRE ARRIVEE, SONABHY.",(CORRESPONDANCE),"JANVIER-NOVEMBRE, 2005."
0146,0083/SG,,"NOTE DE SERVICE, NOTE D'INFORMATION, ORDRE DE MISSION D'AUDIT, CIRCULAIRE, SONABHY.",(CORRESPONDANCE),2005. OBSERVATIONS : MOIS DE DECEMBRE INCOMPLET.
0147,0084/SG,,"DECISION, CONTRAT, CONVENTION, ATTESTATION, CERTIFICAT, SONABHY.",(CORRESPONDANCE),2005. OBSERVATIONS : MOIS DE DECEMBRE INCOMPLET.
0148,0085/SG,LETTRE DEPART OCTOBRE - DECEMBRE 2004,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),2004.
0149,0086/SG,,"CONTRAT, CERTIFICAT, COURRIER, SONABHY.","(CONTRAT, CORRESPONDANCE)","OCTOBRE-DECEMBRE , 2004."
0150,0087/SG,,"LETTRE ARRIVEE, FINANCES, SONABHY.","(DOCUMENT FINANCIER, CORRESPONDANCE)",2005.
0151,0088/SG,COURRIER ARRIVE ET DEPART : INSTANCES 2002-2005,"COURRIER, SONABHY.",(CORRESPONDANCE),2002-2005.
0152,0089/SG,,"COURRIER, SONABHY.","(RAPPORT, ETAT, CONTRAT, FONDS DE DOSSIER)",2005. 2006.
0153,0090/SG,LETTRE ARRIVEE ET DEPART 2005,"COURRIER, SONABHY.",(CORRESPONDANCE),2005.
0154,0091/SG,LETTRE DEPART DE LA SONABHY JANVIER-FEVRIER 2006,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"JANVIER.  - FEVRIER, 2006."
0155,0092/SG,LETTRE DEPART DE LA SONABHY MARS-AVRIL 2006,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"MARS.  - AVRIL, 2006."
0156,0093/SG,LETTRE DEPART DE LA SONABHY MAI - JUIN 2006,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"MAI.  - JUIN, 2006."
0157,0094/SG,LETTRE DEPART DE LA SONABHY JUILLET-AOUT 2006,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"JUILLET.  - AOUT, 2006."
0158,0095/SG,LETTRE DEPART DE LA SONABHY SEPTEMBRE-OCTOBRE 2006,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"SEPTEMBRE.  - OCTOBRE, 2006."
0159,0096/SG,LETTRE DEPART DE LA SONABHY NOVEMBRE-DECEMBRE 2006,"COURRIER DEPART, SONABHY.",(CORRESPONDANCE),"NOVEMBRE.  - DECEMBRE, 2006."
0160,0097/SG,NOTES DE SERVICE ET NOTES D'INFORMATION 2006,"NOTE DE SERVICE, NOTE D'INFORMATION, SONABHY.",(CORRESPONDANCE),2006.
0161,0098/SG,"COURRIER DEPART : DECISIONS, ORDRES DE MISSION D'AUDIT, CONTRATS ET CONVENTION, CERTIFICATS, ATTESTATIONS, CIRCULAIRES","COURRIER DEPART, SONABHY.",(CORRESPONDANCE),2006.
0162,0099/SG,COURRIER ARRIVE JANVIER-NOVEMBRE 2006,"LETTRE ARRIVEE, SONABHY.",(CORRESPONDANCE),"JANVIER-NOVEMBRE, 2006."
0163,0100/SG,"COURRIER ARRIVE : ARRETES, CONTRATS, DECRETS 2006","ARRETE, CONTRAT, DECRET, SONABHY.",(CORRESPONDANCE),2006.
0164,0101/SG,CONTRATS DE TRANSPORT2002,"CONTRAT, TRANSPORT, SONABHY.",(CONTRAT),2002.
0165,0102/SG,CONTRATS DE TRANSPORT 2002-2005,"CONTRAT, TRANSPORT, SONABHY.",(CONTRAT),2002. 2005.
0166,0103/SG,,"COURRIER, SONABHY.","(RAPPORT, CORRESPONDANCE)",2006.
0167,0104/SG,SITUATION DE TRESORERIE 2006,"TRESORERIE, FINANCES, SONABHY.",(ETAT),2006.
0168,0001/PE,MODERNISATION DES ACTIVITES GAZ SONABHY : ATECAS,"GAZ BUTANE, SONABHY, ATECAS.",(DOSSIER DE SOUMISSION),2000.
0169,0002/PE,MODERNISATION DES ACTIVITES GAZ DE LA SONABHY : PROPOSITION TECHNIQUE VOL 1,"GAZ BUTANE, SONABHY, ATECAS.",(PROPOSITION TECHNIQUE),2000.
0170,0003/PE,MODERNISATION DES ACTIVITES GAZ DE LA SONABHY : PROPOSITION TECHNIQUE VOL 2,"GAZ BUTANE, SONABHY, ATECAS.",(PROPOSITION TECHNIQUE),2000.
0171,0004/PE,MODERNISATION DES ACTIVITES GAZ SONABHY : PROPOSITION TECHNIQUE,"GAZ BUTANE, SONABHY, ATECAS.",(PROPOSITION TECHNIQUE),2000.
0172,0005/PE,MODERNISATION DES ACTIVITES GAZ DE LA SONABHY : PROPOSITION TECHNIQUE VOL 2,"GAZ BUTANE, SONABHY, ATECAS.",(PROPOSITION TECHNIQUE),2000.
0173,0006/PE,MODERNISATION DES ACTIVITES GAZ DE LA SONABHY  : PROPOSITION TECHNIQUE VOL 1,"GAZ BUTANE, SONABHY, ATECAS.",(PROPOSITION TECHNIQUE),2000.
