ref,titre,contenu,analyse_diplomatique,date
0013/ST,ETATS DROITURE STSL ET GESTOCI 2001,"PRODUIT PETROLIER, ENLEVEMENT, DROITURE, GESTOCI, STSL",(ETAT),2001
0014/ST,ETATS RECEPTIONS ET SORTIES 2003,"PRODUIT PETROLIER, RECEPTION, SORTIE, BINGO",(ETAT),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN 2003"
0015/ST,ETATS RECEPTIONS ET SORTIES 2003,"PRODUIT PETROLIER, RECEPTION, SORTIE, BINGO",(ETAT),"JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2003"
0016/ST,ETATS D'EMISSION DES BINS D'ENLEVEMENT JANVIER-AVRIL,"PRODUIT PETROLIER, ENLEVEMENT, DEPOT, TRANSPORT","(ETAT, BON)","JANVIER, FEVRIER, MARS, AVRIL 2004"
0017/ST,ETATS D'EMISSION DES BONS D'ENLEVEMENTS MAI-AOUT 2004,"PRODUIT PETROLIER, ENLEVEMENT, DEPOT, TRANSPORT","(ETAT, BON)","MAI, JUIN, JUILLET, AOUT 2004"
0018/ST,BONS JAUNES JANVIER-JUIN 2000,"PRODUIT PETROLIER, TRANSPORT, DEPOT COTIER",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN 2000"
0019/ST,BONS JAUNES MOBIL OIL JANVIER-SEPTEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, EPTEMBRE 2000"
0020/ST,BONS JAUNES MOBIL OIL OCTOBRE-DECEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"OCTOBRE, NOVEMBRE, DECEMBRE 2000"
0021/ST,BONS JAUNES BURKINA & SHELL JANVIER-SEPTEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE 2000"
0022/ST,BONS JAUNES BURKINA & SHELL OCTOBRE-DECEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"OCTOBRE, NOVEMBRE, DECEMBRE 2000"
0023/ST,BONS JAUNES ELF OIL JANVIER-SEPTEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE 2000"
0024/ST,BONS JAUNES ELF OIL OCTOBRE-DECEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"OCTOBRE, NOVEMBRE, DECEMBRE 2000"
0025/ST,BONS JAUNES SONABHY JANVIER-AOUT 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT 2000"
0026/ST,BONS JAUNES SONABHY SEPTEMBRE-DECEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2000"
0027/ST,BONS JAUNES TOTAL JANVIER-SEPTEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE 2000"
0028/ST,BONS JAUNES TOTAL OCTOBRE-DECEMBRE 2000,"PRODUIT PETROLIER, BON DEPOT , TRANSPORT",(BON),"OCTOBRE, NOVEMBRE, DECEMBRE 2000"
0029/ST,BONS JAUNES SONABHY 2001,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"JANVIER, FEVRIER, MARS, AVRIL 2001"
0030/ST,BONS JAUNES SONABHY 2001,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"MAI, JUIN, JUILLET, AOUT 2001"
0031/ST,BONS JAUNES SONABHY 2001,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2001"
0032/ST,BONS JAUNES BURKINA & SHELL 2001,"PRODUIT PETROLIER, BON JAUNE, BURKINA & SHELL",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI 2001"
0033/ST,BONS JAUNES BURKINA & SHELL 2001,"PRODUIT PETROLIER, BON JAUNE, BURKINA & SHELL",(BON),"JUIN, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2001"
0034/ST,"BONS JAUNES TOTAL, ELF 2001","PRODUIT PETROLIER, BON JAUNE, TOTAL, ELF",(BON),"JANVIER, FEVRIER, MARS 2001"
0035/ST,"BONS JAUNES TOTAL, ELF 2001","PRODUIT PETROLIER, BON JAUNE, TOTAL, ELF",(BON),"AVRIL, MAI, JUIN 2001"
0036/ST,"BONS JAUNES TOTAL, ELF 2001","PRODUIT PETROLIER, BON JAUNE, TOTAL, ELF",(BON),"JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2001"
0037/ST,BONS JAUNES MOBIL OIL 2001,"PRODUIT PETROLIER, BON JAUNE, MOBIL OIL",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2001"
0038/ST,BONS JAUNES SONABHY 2002,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET 2002"
0039/ST,BONS JAUNES SONABHY 2002,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"AOUT, SEPTEMBRE, OCTOBRE 2002"
0040/ST,BONS JAUNES SONABHY 2002,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"NOVEMBRE, DECEMBRE 2002"
0041/ST,"BONS JAUNES TOTAL, ELF 2002","PRODUIT PETROLIER, BON JAUNE, TOTAL, ELF",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET 2002"
0042/ST,BONS JAUNES MOBIL OIL 2002,"PRODUIT PETROLIER, BON JAUNE, MOBIL OIL",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2002"
0043/ST,"BONS JAUNES TOTAL, ELF 2002","PRODUIT PETROLIER, BON JAUNE, TOTAL, ELF",(BON),"AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2002"
0044/ST,BONS JAUNES BURKINA & SHELL 2002,"PRODUIT PETROLIER, BON JAUNE, BURKINA & SHELL",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2002"
0045/ST,BONS JAUNES SONABHY 2003,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"JANVIER, FEVRIER 2003"
0046/ST,BONS JAUNES SONABHY 2003,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"MARS, AVRIL 2003"
0047/ST,BONS JAUNES SONABHY 2003,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"MAI, JUIN 2003"
0048/ST,BONS JAUNES SONABHY 2003,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"JUILLET, AOUT 2003"
0049/ST,BONS JAUNES SONABHY 2003,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"SEPTEMBRE, OCTOBRE 2003"
0050/ST,BONS JAUNES SONABHY 2003,"PRODUIT PETROLIER, BON JAUNE, SONABHY",(BON),"NOVEMBRE, DECEMBRE 2003"
0051/S3,BONS JAUNES TOTAL 2003,"PRODUIT PETROLIER, BON JAUNE, TOTAL",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN 2003"
0052/ST,BONS JAUNES TOTAL 2003,"PRODUIT PETROLIER, BON JAUNE, TOTAL",(BON),"JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2003"
0053/ST,BONS JAUNES BURKINA & SHELL 2003,"PRODUIT PETROLIER, BON JAUNE, BURKINA & SHELL",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2003"
0054/ST,BONS JAUNES MOBIL OIL 2003,"PRODUIT PETROLIER, BON JAUNE, MOBIL OIL",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI, JUIN, JUILLET, AOUT, SEPTEMBRE, OCTOBRE, NOVEMBRE, DECEMBRE 2003"
0055/ST,BONS JAUNES DEPOT JANVIER-FEVRIER 2004,"PRODUIT PETROLIER, BON JAUNE, SONABHY, DEPOT",(BON),"JANVIER, FEVRIER 2004"
0056/ST,BONS JAUNES DEPOT MARS-MAI 2004,"PRODUIT PETROLIER, BON JAUNE, SONABHY, DEPOT",(BON),"MARS, AVRIL, MAI 2004"
0057/ST,BONS JAUNES DEPOT JUIN-JUILLET 2004,"PRODUIT PETROLIER, BON JAUNE, SONABHY, DEPOT",(BON),"JUIN, JUILLET 2004"
0058/ST,BONS JAUNES DEPOT AOUT-SEPTEMBRE 2004,"PRODUIT PETROLIER, BON JAUNE, SONABHY, DEPOT",(BON),"AOUT, SEPTEMBRE 2004"
0059/ST,BONS JAUNES DEPOT OCTOBRE-DECEMBRE 2004,"PRODUIT PETROLIER, BON JAUNE, SONABHY, DEPOT",(BON),"OCTOBRE, NOVEMBRE, DECEMBRE 2004"
0060/ST,BONS JAUNES DROITURE JANVIER-MARS 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEVEMENT, DROITURE",(BON),"JANVIER, FEVRIER, MARS 2000"
0061/ST,BONS JAUNES DROITURE AVVRIL-MAI 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"AVRIL, MAI 2000"
0062/ST,BONS JAUNES DROITURE JUIN-JUILLET 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"JUIN, JUILLET 2000"
0063/ST,BONS JAUNES DROITURE AOUT-SEPTEMBRE 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"AOUT, SEPTEMBRE 2000"
0064/ST,BONS JAUNES DROITURE OCTOBRE-NOVEMBRE 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"OCTOBRE, NOVEMBRE 2000"
0065/ST,BONS JAUNES DROITURE JANVIER-FEVRIER 2001,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"JANVIER, FEVRIER 2001"
0066/ST,BONS JAUNES DROITURE MARS-MAI 2001,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"MARS, AVRIL, MAI 2001"
0067/ST,BONS JAUNES DROITURE JUIN-JUILLET 2001,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"JUIN, JUILLET 2001"
0068/ST,BONS JAUNES DROITURE AOUT-SEPTEMBRE 2001,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"AOUT, SEPTEMBRE 2001"
0069/ST,BONS JAUNES DROITURE OCTOBRE-NOVEMBRE 2001,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE",(BON),"OCTOBRE, NOVEMBRE 2001"
0070/ST,BONS JAUNES DROITURE FEVRIER-AVRIL 2002,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JANVIER, FEVRIER, MARS, AVRIL 2002"
0071/ST,BONS JAUNES DROITURE MAI-JUIN 2002,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"MAI, JUIN 2002"
0072/ST,BONS JAUNES DROITURE JUILLET-AOUT 2002,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JUILLET, AOUT 2002"
0073/ST,BONS JAUNES DROITURE SEPTEMBRE-OCTOBRE 2002,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"SEPTEMBRE, OCTOBRE 2002"
0074/ST,BONS JAUNES DROITURE NOVEMBRE-DECEMBRE 2002,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"NOVEMBRE, DECEMBRE 2002"
0075/ST,BONS JAUNES DROITURE JANVIER-MARS 2003,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JANVIER, FEVRIER, MARS 2003"
0076/ST,BONS JAUNES DROITURE AVRIL-JUIN 2003,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"AVRIL, MAI, JUIN 2003"
0077/ST,BONS JAUNES DROITURE JUILLET-SEPTEMBRE 2003,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JUILLET, AOUT, SEPTEMBRE 2003"
0078/ST,BONS JAUNES DROITURE OCTOBRE-DECEMBRE 2003,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"OCTOBRE, NOVEMBRE, DECEMBRE 2003"
0079/ST,BONS JAUNES DROITURE JANVIER-MARS 2004,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JANVIER, FEVRIER, MARS 2004"
0080/ST,BONS JAUNES DROITURE AVRIL-JUIN 2004,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"AVRIL, MAI, JUIN 2004"
0081/ST,BONS JAUNES DROITURE JUILLET-SEPTEMBRE 2004,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JUILLET, AOUT, SEPTEMBRE 2004"
0082/ST,BONS JAUNES DROITURE OCTOBRE-DECEMBRE 2004,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"OCTOBRE, NOVEMBRE, DECEMBRE 2004"
0083/ST,BONS JAUNES DROITURE JANVIER-FEVRIER 2005,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JANVIER, FEVRIER 2005"
0084/ST,BONS JAUNES DROITURE MARS-AVRIL 2005,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"MARS, AVRIL 2005"
0085/ST,BONS JAUNES DROITURE MAI-JUIN 2005,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"MAI, JUIN 2005"
0086/ST,BONS JAUNES DROITURE JUILLET-AOUT 2005,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"JUILLET, AOUT 2005"
0087/ST,BONS JAUNES DROITURE SEPTEMBRE-OCTOBRE 2005,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, DROITURE, MARKETER",(BON),"SEPTEMBRE, OCTOBRE 2005"
0088/ST,BONS DROITURE DROITURE NOVEMBRE-DECEMBRE 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),"NOVEMBRE, DECEMBRE 2005"
0089/ST,BONS DROITURE SONABHY JANVIER-MAI 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),"JANVIER, FEVRIER, MARS, AVRIL, MAI 2005"
0090/ST,BONS DROITURE SONABHY JUIN 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),JUIN 2005
0091/ST,BONS DROITURE SONABHY JUILLET-AOUT 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),"JUILLET, AOUT 2005"
0092/ST,BONS DROITURE SONABHY SEPTEMBRE 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),SEPTEMBRE 2005
0093/ST,BONS DROITURE SONABHY OCTOBRE 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),OCTOBRE 2005
0094/ST,BONS DROITURE SONABHY NOVEMBRE 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),NOVEMBRE 2005
0095/ST,BONS DROITURE SONABHY DECEMBRE 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE",(BON),2005
0096/ST,BONS JAUNES DROITURE & DEPOT ANNULES 2000-2001,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE, BON DEPOT, ANNULATION",(BON),2000-2001
0097/ST,BONS JAUNES DROITURE & DEPOT ANNULES 2005,"TRANSPORT, PRODUIT PETROLIER, BON DROITURE, BON DEPOT, ANNULATION",(BON),2005
0098/ST,"BONS MARKETER DROITURE JANVIER-DECEMBRE 2002 : TOTAL, SHELL, MOBIL","TRANSPORT, PRODUIT PETROLIER, TOTAL, SHELL, MOBIL",(BON),2002
0099/ST,BONS DE TRANSFERT STSL 2000,"TRANSPORT, PRODUIT PETROLIER, TRANSFERT, DEPOT COTIER",(BON),2000
0100/ST,"BONS MARKETER : BURKINA  & SHELL, TOTAL FINA ELF, MOBIL OIL","TRANSPORT, PRODUIT PETROLIER, BURKINA & SHELL, TOTAL FINA ELF, MOBIL OIL",(BON),2001
0101/ST,"BONS MARKETER, BONS DROITURE, ETATS STSL, STOCKS COULAGE 2004-2005","TRANSPORT, PRODUIT PETROLIER, STSL, COULAGE","(BON, ETAT)",2004-2005
0102/ST,"BONS ET ETATS D'ENLEVEMENT MOBIL OIL, STD SODIGAZ, TAGUI 2000","TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, MOBIL, TAGUI, STD SODIGAZ","(BON, ETAT)",JANVIER-DECEMBRE 2000
0103/ST,BONS ET ETATS D'ENLEVEMENT TOTAL BURKINA 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, TOTAL","(BON, ETAT)",2000
0104/ST,BONS ET ETATS D'ENLEVEMENT ELF OIL BURKINA 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, ELF OIL","(BON, ETAT)",JANVIER-DECEMBRE 2000
0105/ST,BONS ET ETATS D'ENLEVEMENT BURKINA & SHELL 2000,"TRANSPORT, PRODUIT PETROLIER, ENLEVEMENT, BURKINA & SHELL","(BON, ETAT)",JANVIER-DECEMBRE 2000
0106/ST,BONS D'ENLEVEMENT ELF OIL BURKINA 2001,"BON D'ENLEVEMENT, ETAT D'ENLEVEMENT, PRODUIT PETROLIER, ELF OIL","(BON, ETAT)",JANVIER-AVRIL 2001
0107/ST,BONS D'ENLEVEMENT TOTAL BURKINA 2001,"BON D'ENLEVEMENT, ETAT D'ENLEVEMENT, PRODUIT PETROLIER, TOTAL BURKINA","(BON, ETAT)",JANVIER-JUIN 2001
0108/ST,BONS D'ENLEVEMENT TOTAL BURKINA 2001,"BON D'ENLEVEMENT, ETAT D'ENLEVEMENT, PRODUIT PETROLIER, TOTAL BURKINA","(BON, ETAT)",JUILLET-DECEMBRE 2001
0109/ST,BONS D'ENLEVEMENT BURKINA & SHELL 2001,"BON D'ENLEVEMENT, ETAT D'ENLEVEMENT, PRODUIT PETROLIER, BURKINA & SHELL","(BON, ETAT)",JANVIER-DECEMBRE 2001
0110/ST,BONS D'ENLEVEMENT MOBIL OIL 2001,"BON D'ENLEVEMENT, ETAT D'ENLEVEMENT, PRODUIT PETROLIER, MOBIL OIL","(BON, ETAT)",JANVIER-DECEMBRE 2001
0111/ST,BONS D'ENLEVEMENT SONABHY 2001,"BON D'ENLEVEMENT, ETAT D'ENLEVEMENT, PRODUIT PETROLIER, SONABHY","(BON, ETAT)",JANVIER-DECEMBRE 2001
0112/ST,BONS D'ENLEVEMENT BURKINA & SHELL 2002,"ENLEVEMENT, PRODUIT PETROLIER, BURKINA & SHELL","(BON, ETAT, ORDRE DE CHARGEMENT)",JANVIER-AVRIL 2002
0113/ST,BONS D'ENLEVEMENT BURKINA & SHELL 2002,"ENLEVEMENT, PRODUIT PETROLIER, BURKINA & SHELL","(BON, ETAT, ORDRE DE CHARGEMENT)",MAI-DECEMBRE 2002
0114/ST,BONS D'ENLEVEMENT TOTAL FINA ELF 2002,"ENLEVEMENT, PRODUIT PETROLIER, TOTAL FINA ELF","(BON, ETAT)",JANVIER-AVRIL 2002
0115/ST,BONS D'ENLEVEMENT TOTAL FINA ELF 2002,"ENLEVEMENT, PRODUIT PETROLIER, TOTAL FINA ELF","(BON, ETAT)",MAI-DECEMBRE 2002
0116/ST,BONS D'ENLEVEMENT SONABHY 2002,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY","(BON, ETAT)",NOVEMBRE-DECEMBRE 2002
0117/ST,BONS D'ENLEVEMENT SONABHY 2002,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY","(BON, ETAT)",JANVIER-OCTOBRE 2002
0118/ST,BONS ET ETATS D'ENLEVEMENT SONABHY 2003,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY, DEPOT COTIER","(BON, ETAT)",JANVIER-FEVRIER 2003
0119/ST,BONS ET ETATS D'ENLEVEMENT SONABHY 2003,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY, DEPOT COTIER","(BON, ETAT)",MARS-AVRIL 2003
0120/ST,BONS ET ETATS D'ENLEVEMENT SONABHY 2003,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY, DEPOT COTIER","(BON, ETAT)",MAI-JUIN 2003
0121/ST,BONS ET ETATS D'ENLEVEMENT SONABHY 2003,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY, DEPOT COTIER","(BON, ETAT)",JUILLET-AOUT 2003
0122/ST,BONS ET ETATS D'ENLEVEMENT SONABHY 2003,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY, DEPOT COTIER","(BON, ETAT)",SEPTEMBRE-OCTOBRE 2003
0123/ST,BONS ET ETATS D'ENLEVEMENT SONABHY 2003,"ENLEVEMENT, PRODUIT PETROLIER, SONABHY, DEPOT COTIER","(BON, ETAT)",NOVEMBRE-DECEMBRE 2003
0124/ST,"BONS D'ENLEVEMENT DROITURE SONABHY SEPTEMBRE-DECEMBRE 2003, COULIDIATI IDRISSA","ENLEVEMENT, PRODUIT PETROLIER, SONABHY, COULIDIATI IDRISSA, DROITURE",(BON),SEPTEMBRE-DECEMBRE 2003
0125/ST,ETATS D'ENLEVEMENT TOTAL JUILLET-DECEMBRE 2003,"ENLEVEMENT, PRODUIT PETROLIER, TOTAL FINA ELF, DEPÖT COTIER","(BON, ETAT)",JUILLET-DECEMBRE 2003
0126/ST,"ETATS D'ENLEVEMENT BURKINA & SHELL, MOBIL OIL JANVIER-DECEMBRE 2003","ENLEVEMENT, PRODUIT PETROLIER, BURKINA & SHELL, MOBIL OIL, DEPOT COTIER","(BON, ETAT)",JANVIER-DECEMBRE 2003
0127/ST,ETATS D'ENLEVEMENT TOTAL JANVIER-JUIN 2003,"ENLEVEMENT, PRODUIT PETROLIER, TOTAL FINA ELF, DEPOT COTIER","(BON, ETAT)",JANVIER-JUIN 2003
0128/ST,"ETATS D'ENLEVEMENT TOTAL, MOBIL, FADOUL TECHNIBOIS 2003","ENLEVEMENT, PRODUIT PETROLIER, TOTAL, MOBIL, FADOUL TECHNIBOIS, DROITURE","(BON, ETAT)",JANVIER-DECEMBRE 2003
0129/ST,BULLETINS D'ENLEVEMENT DE PRODUITS PETROLIERS SEPTEMBRE-DECEMBRE 2003 ET AVRIL-JUILLET 2004,"ENLEVEMENT, PRODUIT PETROLIER, DEPOT COTIER, TRANSPORT",(BULLETIN),2003-2004
0130/ST,BONS D'ENLEVEMENT DROITURE JANVIER-AVRIL 2004,"ENLEVEMENT, PRODUIT PETROLIER, DROITURE, TRANSPORT",(BON),JANVIER-AVRIL 2004
0131/ST,BONS D'ENLEVEMENT DROITURE SONABHY MAI-AOUT 2004,"ENLEVEMENT, PRODUIT PETROLIER, DROITURE, TRANSPORT",(BON),MAI-AOUT 2004
0132/ST,BONS D'ENLEVEMENT DROITURE SONABHY JANVIER-AOUT 2003,"ENLEVEMENT, PRODUIT PETROLIER, DROITURE, TRANSPORT",(BON),JANVIER-AOUT 2003
0133/ST,BONS D'ENLEVEMENT DEPOT SONABHY SEPTEMBRE-DECEMBRE 2004,"ENLEVEMENT, PRODUIT PETROLIER, DROITURE, TRANSPORT, DEPOT",(BON),SEPTEMBRE-DECEMBRE 2004
0134/ST,BONS D'ENLEVEMENT DROITURE SONABHY SEPTEMBRE-DECEMBRE 2004,"ENLEVEMENT, PRODUIT PETROLIER, DROITURE, TRANSPORT, DROITURE",(BON),SEPTEMBRE-DECEMBRE 2004
0135/ST,ETATS D'EMISSION DES BONS D'ENLEVEMENT DEPOTJANVIER-DECEMBRE 2004,"ENLEVEMENT, PRODUIT PETROLIER, DEPOT, TRANSPORT","(BON, ETAT)",JANVIER-DECEMBRE 2004
