ID,Code,TITRE/DOSSIER,CONTENU,N° PIECES,DATE,OBSERVATIONS,SORT FINAL,ANA. DIPLOM.,PASSAGE GED,BASE GED
00011,0010/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ETS OUEDAF,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, ETS OUEDAF, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00012,0011/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR UNIVERS SERVICE,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, UNIVERS SERVICE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00013,0012/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR IMPRIMERIE SDM LES DIX M,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, IMPRIMERIE SDM, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00014,0013/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ARC,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, ARC, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00015,0014/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR MICROTECH,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, MICROTECH, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00016,0015/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR PCM CONSOMMABLE MAINTENANCE,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, PCM CONSOMMABLE MAINTENANCE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00017,0016/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR WIL.COM,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, WIL.COM, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00018,0017/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSONMMABLE PAR DIACFA DIVISION,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, DIACFA DIVISION, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00019,0018/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR I.A.G. IMPRIMERIE,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, I.A.G. IMPRIMERIE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00020,0019/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR NAWFAL TRADING,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, NAWFAL TRADING, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00021,0020/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR D.K. BURKINA,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, D.K. BURKINA, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00022,0021/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR AMANDINE SERVICE,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, AMANDINE SERVICE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00023,0022/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR ARKO IMPRIMERIE,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, ARKO IMPRIMERIE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00024,0023/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR TECHNIFEU,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, TECHNIFEU, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00025,0024/GRM,DOSSIER D'APPEL D'OFFRES POUR LES FOURNITURES ET CONSOMMABLE PAR GIBCACI-B DIVISION,"APPEL D'OFFRE, CONSOMMABLE INFORMATIQUE, GIBCACI-B DIVISION, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00026,0025/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR AFRICA MOTORS,"APPEL D'OFFRE, VEHICULE, AFRICA MOTORS, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00027,0026/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR DIACFA AUTO,"APPEL D'OFFRE, VEHICULE, DIACFA AUTOMOBILES, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00028,0027/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR MEGA TECH,"APPEL D'OFFRE, VEHICULE, MEGA TECH, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00029,0028/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR SEAB,"APPEL D'OFFRE, VEHICULE, SEAB, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00030,0029/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION DE VINGT (20) VEHICULES AUTOMOBILES PAR CFAO MOTORS BURKINA,"APPEL D'OFFRE, VEHICULE, CFAO MOTORS BURKINA, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00031,0030/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR SOCOMEX,"APPEL D'OFFRE, FOURNITURE DE BUREAU, SOCOMEX, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00032,0031/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR KAROL INTERNATIONAL,"APPEL D'OFFRE, FOURNITURE DE BUREAU, KAROL INTERNATIONAL, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00033,0032/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR HSF SERVICE,"APPEL D'OFFRE, FOURNITURE DE BUREAU, HSF SERVICE, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00034,0033/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR EERI-BF,"APPEL D'OFFRE, FOURNITURE DE BUREAU, EERI-BF, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00035,0034/GRM,DOSSIER D'APPEL D'OFFRES POUR L'ACQUISITION ET FOURNITURE DE BUREAU PAR DIACFA,"APPEL D'OFFRE, FOURNITURE DE BUREAU, DIACFA, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00036,0035/GRM,DOSSIER D'APPEL D'OFFRES POUR LA FOURNITURE CINQ FUTS D'EMULSEUR DE 1000 LITTRES PAR STEA,"APPEL D'OFFRE, FOURNITURE DE BUREAU, STEA, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00038,0036/GRM,DOSSIER D'APPEL D'OFFRES POUR LA FOURNITURE CINQ FUTS D'EMULSEUR DE 1000 LITTRES PAR AFRIQUE - ECO,"APPEL D'OFFRE, FOURNITURE DE BUREAU, AFRIQUE ECO, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00039,0037/GRM,"FOURNITURE DE FLESCIBLES, CLES TRICOISES ET POTES A JAUGER PAR STEA","APPEL D'OFFRE, FLEXIBLE, STEA, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00040,0038/GRM,FOURNITURE DE CAPSULES POUR ROBINETS ET CLAPETS PAR STEA,"APPEL D'OFFRE, CAPSULE, ROBINET, CLAPET, STEA, SONABHY",,2010,,,"(OFFRE FINANCIERE, OFFRE TECHNIQUE )",NON,
00041,0039/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR FASO KANU","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, SONABHY",,2010,,,(CORRESPONDANCE),NON,
00042,0040/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR SEFCO","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, SEFCO, SONABHY",,2010,,,,NON,
00044,0041/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AGENCE PERSPECTIVE","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, AGENCE PERSPECTIVE, SONABHY",,2010,,,,NON,
00045,0042/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR ARCHI CONSULT","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, ARCHI CONSULT, SONABHY",,2010,,,,NON,
00046,0043/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR BECCO","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, BECCO, SONABHY",,2010,,,,NON,
00047,0044/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AGE","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, AGE, SONABHY",,2010,,,,NON,
00048,0045/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AGEIM","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, AGEIM, SONABHY",,2010,,,,NON,
00049,0046/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR MISSION D'ETUDES ET DE MAITRISE D'OUVRAGE","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, MCMO, SONABHY",,2010,,,,NON,
00050,0047/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR CETIS","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, CETIS, SONABHY",,2010,,,,NON,
00051,0048/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR SATA AFRIQUE","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, SATA AFRIQUE, SONABHY",,2010,,,,NON,
00052,0049/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AG.I.R","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, AG.I.R, SONABHY",,2010,,,,NON,
00053,0050/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR PC-BAT BURKINA","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, PC- BAT BURKINA, SONABHY",,2010,,,,NON,
00054,0052/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR LOUIS BERGER","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, LOUIS BERGER, SONABHY",,2010,,,,NON,
00055,0053/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR ARCADE","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, ARCADE, SONABHY",,2010,,,,NON,
00056,0054/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR ETICOB","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, ETICOB, SONABHY",,2010,,,,NON,
00057,0056/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR AICET","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, AICET, SONABHY",,2010,,,,NON,
00058,0057/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR CARURE","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, CARURE, SONABHY",,2010,,,,NON,
00059,0059/GRM,"MANIFESTATION D'INTERET POUR LE SUIVI ET CONTROLE DES TRAVAUX DE CONSTRUCTION ET DE REHABILITATION D'INFRASTRUCTURE A OUAGA,BINGO,BOBO PAR SEREIN","MANIFESTATION D'INTERET, REHABILITATION, INFRASTRUCTURE, SEREIN, SONABHY",,2010,,,,NON,
00060,0060/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR TOTAL,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, TOTAL, SONABHY",,2010,,,,NON,
00061,0061/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR SEFCO,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, SEFCO, SONABHY",,2010,,,,NON,
00062,0062/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR PARLYM,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, PARLYM, SONABHY",,2010,,,,NON,
00063,0063/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR GENIVAR,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, GENIVAR, SONABHY",,2010,,,,NON,
00064,0064/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR AGENCE PERSPECTIVE,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, AGENCE PERSPECTIVE, SONABHY",,2010,,,,NON,
00065,0065/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR AGENCE KHEOPS,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, AGENCE KHEOPS, SONABHY",,2010,,,,NON,
00066,0066/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR CARURE,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, CARURE, SONABHY",,2010,,,,NON,
00067,0067/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR GROUPEMENT CONSULT - GTAM,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, CONSULT GTAM, SONABHY",,2010,,,,NON,
00068,0068/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR PC - BAT-BURKINA,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, PC-BAT -BURKINA, SONABHY",,2010,,,,NON,
00069,0069/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR ARDI,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, ARDI, SONABHY",,2010,,,,NON,
00070,0070/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR SATA AFRIQUE,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, SATA AFRIQUE, SONABHY",,2010,,,,NON,
00071,0071/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR BEM,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, BEM, SONABHY",,2010,,,,NON,
00072,0072/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR INTER - PLAN,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, INTER - PLAN, SONABHY",,2010,,,,NON,
00073,0073/GRM,MANIFESTATION D'INTERET POUR LES ETUDES TECHNIQUES DE CONSTRUCTION D'UN DEPOT DE PRODUIT PETROLIER DANS LA COMMUNE DE PENI PAR ETICOB,"MANIFESTATION D'INTERET, ETUDE, CONSTRUCTION, PRODUIT PETROLIER, PENI, ETICOB, SONABHY",,2010,,,,NON,
00074,0074/GRM,DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR DIACFA,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, DIACFA, SONABHY",,2010,,,,NON,
00075,0075/GRM,DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR E.L.F,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, E.L.F SERVICE, SONABHY",,2010,,,,NON,
00076,0076/GRM,DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PARFOF ELECTRONIQUE,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, FOF ELECTRONIQUE, SONABHY",,2010,,,,NON,
00077,0077/GRM,DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR STEA,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, STEA, SONABHY",,2010,,,,NON,
00078,0078/GRM,DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR GNAKENE MOUSTAPHA TECHNO,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, GNAKENE MOUSTAPHA, SONABHY",,2010,,,,NON,
00079,0079/GRM,DEMANDE DE PRIX POUR LA FOURNITURE DE MATERIEL DE COMMUNICATION PAR D.K. BURKINA,"DEMANDE DE PRIX, MATERIEL DE COMMUNICATION, D.K BURKINA, SONABHY",,2010,,,,NON,
00080,0080/GRM,"DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR EKAF","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, EKAF, SONABHY",,2010,,,,NON,
00081,0081/GRM,"DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR UNISTAR","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, UNISTAR, SONABHY",,2010,,,,NON,
00082,0082/GRM,"DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR ETS BOUGOUMA ADAMA & DISTRIBUTION","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, ETS BOUGOUMA ADAMA, SONABHY",,2010,,,,NON,
00083,0083/GRM,"DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR FODIS-UNIS","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, FODIS - UNIS, SONABHY",,2010,,,,NON,
00084,0084/GRM,"DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR A.C.D ADAMA COMMERCE & DISTRIBUTION","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, A.C.D ADAMA COMMERCE, SONABHY",,2010,,,,NON,
00085,0085/GRM,"DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR ADAM'S","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, BUREAU, ADAM'S, SONABHY",,2010,,,,NON,
00086,0086/GRM,"DEMANDE DE PRIX POUR L'ACQUISITION DE CHAISES,FAUTEILS ET BUREAU PAR IDEAL SERVICE","DEMANDE DE PRIX, CHAISE, FAUTEUIL DE BUREAU, BUREAU, IDEAL SERVICE, SONABHY",,2010,,,,NON,
00087,0087/GRM,DEMANDE DE PRIX POUR FOURNITURE DE MOBILIER DE BUREAU PAR ENTREPRISE NICO-METAL,"DEMANDE DE PRIX, MOBILIER DE BUREAU, ENTREPRISE NICO-METAL, SONABHY",,2010,,,,NON,
00088,0088/GRM,DEMANDE DE PROPOSITION POUR LES ETUDES TECHNIQUES ET ARCHITECTURALES DES INFRASTRUCTURES ET ELABORATION D'ETUDE TECHNIQUE PAR BOUTIQUE DE DEVELOPPEMENT ESROC,"DEMANDE DE PROPOSITION, ETUDE TECHNIQUE, ARCHITECTURE, INFRASTRUCTURE, BOUTIQUE DE DEVELOPPEMENT, SONABHY",,2010,,,,NON,
